徳永靖	とくなが・やすし	横浜港町署刑事課第四係・前係長
前島隆造	まえじま・りゅうぞう	警務部長（階級不明）
富樫正義	とがし・まさよし	刑事課第四係主任（巡査部長）
里中啓一郎	さとなか・けいいちろう	刑事課第四係・係長（警部補）
飯沼玲子	いいぬま・れいこ	刑事（巡査部長）
柴田安春	しばた・やすはる	刑事（巡査部長）
山下学	やました・がく	刑事（巡査部長）
津上譲司	つがみ・じょうじ	刑事（巡査長）
猪原勇作	いのはら・ゆうさく	刑事課第一係・係長（警部補）
石黒孝雄	いしぐろ・たかお	刑事課・課長（警部）
平松亜美	ひらまつ・あみ	交通課・警官（共に階級は巡査）
三枝由美	さえぐさ・ゆみ	交通課・警官（共に階級は巡査）
里中理恵	さとなか・りえ	里中の妻
富樫のぞみ	とくなが・のぞみ	富樫の娘。富樫の妻・紀子の連れ子なので実子ではない。中学二年生。
藤井佐知代	ふじい・さちよ	富樫の妻・紀子の母親。のぞみの祖母。身体が弱いために、富樫やのぞみと同居している。
森川明日香	もりかわ・あすか	フリージャーナリスト
西村和也	にしむら・かずや	玲子の年下の交際相手。実際はヒモ
氷室哲夫	ひむろ・てつお	村雨組の幹部。柴田と顔見知り。
富樫紀子	とくなが・のりこ	富樫正義の妻
緑川麻子	みどりかわ・あさこ	由紀夫の婚約者・被害者
田丸由紀夫	たまる・ゆきお	横浜城東貿易会長の長男・後継者
緑川信子	みどりかわ・のぶこ	麻子の母親
戸田山	とだやま	神奈川県警本部捜査一課刑事の母親
北村一平	きたむら・いっぺい	和田の遊び仲間
