烏龍茶	うーろんちゃ	中国茶のうち青茶と分類され、茶葉を発酵途中で加熱して発酵を止め、半発酵させた茶である。中国語でいう「青」は「黒っぽい藍色」を指す。
緊圧茶	きんあつちゃ	茶葉を圧縮成形して固めた、加工された中国茶の茶葉の形状を表す言葉である。団茶、片茶、圧縮茶、固形茶とも呼ばれる。
黄山毛峰茶	こうざんもうほうちゃ	中国安徽省歙県の名山黄山を産地とする緑茶である。いわゆる「十大名茶」の一つ。
紅茶	こうちゃ	摘み取った茶の葉と芽を萎凋（乾燥）させ、もみ込んで完全発酵させ、乾燥させた茶葉。
磚茶	じゅあんちゃ	英語圏ではTea brickと呼ばれている。
締茶	じんちゃ	沱茶の一種である。キノコあるいは駒のような形状をしている。
青茶	せいちゃ	烏龍茶と同じだ。
たん茶	磚茶	英語圏ではTea brickと呼ばれている。
知覧茶	ちらちゃ	日本有数の緑茶生産地である鹿児島県南九州市にて栽培されている緑茶の総称またはそのブランド。
沱茶	とうちゃ	1917年に雲南省の製茶場が開発した形状である。もともとはお椀のような形状を表す『坨(い)茶』と名付けられていたが、沱江の水で淹れるとおいしいとのことから現在の名称に改名された。
花茶	はなちゃ	は中国茶の一種。緑茶や青茶など茶の製法によって分類する六大分類とは別種に分類される。そのため、最近では六大分類に花茶を加える方法で中国茶を分類するのが主流となっている。
碧螺春	ピールオチュン	１千年前宋王朝には既に存在していたお茶です。
餅茶	びんちゃ	円茶は、丸餅を模した緊圧茶である。表面はやや盛り上がった丘陵状、裏面は中央部にくぼみが作られている。
武夷岩茶	ぶいがんちゃ	拼音：Wŭyíyánchá。福建省北部の武夷山市で生産される青茶（烏龍茶）・他の種類。茶樹が山肌の風化した岩に生育しているためにこの名がある。
佛茶	ぶっちゃ	日本：ぶっちゃ、中国：Fo cha; Buddhist tea
方茶	ほうちゃ	磚茶の一種。平たい正方形に整形される。上面に文字があしらわれていることが多い。
六安瓜片茶	ろくあんかへんちゃ	リュウアンゴピエンちゃ。古く中国茶歴史中にある中国十大名茶の一つです。
緑茶	りょくちゃ	チャノキの葉から作った茶のうち、摘み取った茶葉を加熱処理して発酵を妨げたもの。もしくはそれに湯を注ぎ、成分を抽出した飲料のこと。
龍井茶	ろんじんちゃ	中華人民共和国杭州市特産の緑茶。色が緑、茶葉が平、味が醇和、香が馥郁であることから四絶と中国では称されている。中国を代表的する緑茶であると誰もが答える逸品である。
