安徽省	あんきしょう	英語:Anhui。中華人民共和国の省。名称は安慶の安、徽州（現黄山市）の徽による。省都は合肥市。略称は皖。
雲南省	うんなんしょう	英語:Yunnan。中華人民共和国西南部に位置する省。略称は滇（てん）。省都は昆明市。
杭州	こうしゅうし	英語:Hangzhou。中華人民共和国浙江省の省都（副省級市）。浙江省の省人民政府の所在地。中国八大古都の一であり、国家歴史文化名城に指定されている。13世紀は世界最大の都市であった。
江蘇省	こうそしょう	英語:Jiangsu。東部にある行政区。長江の河口域であり、北部は淮河が流れ黄海に面する。名称は江寧（現南京市）の江、蘇州の蘇による。省都は南京市。略称は蘇。
昆明市	こんめいし	英語: Kunming。中華人民共和国雲南省の省都であり、雲南省の政治、経済、文化、交通の中心地である。また1400年の歴史を有する国家歴史文化名城でもある。
四川省	しせんしょう	英語: Sichuan。中華人民共和国西南部に位置する省。略称は川あるいは蜀。省都は成都。
西湖	せいこ	拼音: Xī Hú。浙江省杭州市にある湖。
浙江省	せっこうしょう	英語:Zhejiang。中華人民共和国の省の一つ。略称は浙。
武夷山	ぶいさん	英語：Wu Yi mountains。福建省にある黄崗山（2,158m）を中心とする山系の総称。
福州市	ふくしゅうし	英語: Fuzhou。中華人民共和国福建省の省都である。
福建省	ふっけんしょう	英語:Fujian。省の一つで、大部分を中華人民共和国が統治し、一部の島嶼を中華民国（台湾）が統治している。省都は福州市。
