宇都宮市	うつのみやし	関東地方の北部、栃木県の中部に位置する市で、同県の県庁所在地である。1996年4月1日より、中核市に指定されている。
大津市	おおつし	滋賀県の南西端に位置する市で、同県の県庁所在地である。中核市に指定されている。
鎌倉市	かまくらし	神奈川県、三浦半島西側の付け根に位置し、鎌倉を中心部とする市である。
甲府市	こうふし	山梨県中部に位置する都市で同県の県庁所在地・特例市。
神戸市	こうべし	兵庫県南部に位置する兵庫県の県庁所在地である。垂水区・須磨区・長田区・兵庫区・中央区・灘区・東灘区・北区・西区から構成される政令指定都市である。
札幌市	さっぽろし	北海道にある政令指定都市で、道庁所在地（都道府県庁所在地）及び石狩振興局所在地となっている。10の行政区がある。
仙台市	せんだいし	宮城県中部に位置する、同県の県庁所在地かつ政令指定都市である。また東北地方最大の都市でもある。
高松市	たかまつし	四国の北東部、香川県の中央に位置する市で、香川県の県庁所在地である。旧香川郡・木田郡・綾歌郡（1890年2月15日の市制当時の区域は旧香川郡）。四国の経済の中心地で、国から中核市に指定されている。高松都市圏の中心都市である。
津市	つし	日本の三重県中部に位置する都市で、三重県の県庁所在地である。
姫路市	ひめじし	近畿地方の西部、兵庫県南西部（播磨地方）に位置する市。旧飾磨郡・神崎郡・揖保郡・印南郡・宍粟郡（1889年の市制当時の区域は旧飾磨郡）。中核市に指定されており、周辺自治体を含めて約74万人の姫路都市圏を形成している。中播磨県民センターの管轄。
別府市	べっぷし	大分県の東海岸の中央にある市。大分県第二の都市である。
那覇市	なはし	沖縄本島南部の中核市で、沖縄県の県庁所在地である。
前橋市	まえばしし	関東地方群馬県の中南部にある中核市。群馬県の県庁所在地である。
松江市	まつえし	島根県東部（出雲地方）に位置する市で、同県の県庁所在地である。2012年（平成24年）4月1日に特例市に移行した。
松本市	まつもとし	長野県中信地方に位置する市。特例市や国際会議観光都市に指定されている。
松山市	まつやまし	愛媛県の中部に位置する中核市。同県の県庁所在地であり、四国地方で最大の人口を擁する。
水戸市	みとし	茨城県の中部に位置する県庁所在地で、特例市である。
盛岡市	もりおかし	岩手県の中部に位置する同県の県庁所在地である。
横浜市	よこはまし	関東地方南部、神奈川県の東部に位置する都市で、同県の県庁所在地。政令指定都市の一つであり、18区の行政区を持つ。現在の総人口は日本の市町村では最も多く、人口集中地区人口も東京23区（東京特別区）に次ぐ。 神奈川県内の市町村では、面積が最も広い。市域の過半は旧武蔵国で、南西部は旧相模国。
龍ケ崎市	りゅうがさきし	茨城県南部に位置する市である。東京都市圏#茨城県。
