赤福餅	あかふくもち	三重県伊勢市の和菓子屋赤福の和菓子商品である。
浅漬け	あさづけ	短時日漬けること。また、漬けた物。大根・なす・きゅうりなどを塩やぬかで漬け、生漬け・早漬け・一夜漬けなどともいう。
亜麻仁	あまに	linfrön
磯辺巻	いそべまき	のりを巻いた料理。ゆでたほうれんそう・やまのいも・しそなどの野菜、肉類などを巻く。風味を添え、食べやすくする。
御好み焼き	おこのみやき	小麦粉の生地 (きじ) とイカ・豚肉・キャベツなどの具材を焼き、ソース・青海苔 (あおのり) などで味付けした料理。
昆布ポン酢	こんぶぽんず	昆布だしと柑橘果汁が見事にマッチした味付けぽん酢です。
鋤焼き	すきやき	牛肉を豆腐やネギなどと一緒にたれで煮焼きしながら食する鍋料理。
寿司	すし	酢で調味した飯に、生、または塩や酢をふりかけた魚などの具を配した料理。握りずし・散らしずし・蒸しずしなど。酢は暑さに耐えるので夏の食品とされた。
鮨	すし	酢で調味した飯に、生、または塩や酢をふりかけた魚などの具を配した料理。握りずし・散らしずし・蒸しずしなど。酢は暑さに耐えるので夏の食品とされた。
鮓	すし	酢で調味した飯に、生、または塩や酢をふりかけた魚などの具を配した料理。握りずし・散らしずし・蒸しずしなど。酢は暑さに耐えるので夏の食品とされた。
ちゃんこ鍋	ちゃんこなべ	大鍋に季節の野菜や魚・鶏肉などを入れて煮立て、つけ汁やポン酢で食べる力士料理。
氷見饂飩	ひみうどん	富山県氷見市周辺の郷土料理である。
べったら漬け	べったらづけ	短時日漬けること。また、漬けた物。大根・なす・きゅうりなどを塩やぬかで漬け、生漬け・早漬け・一夜漬けなどともいう。
饅頭	まんじゅう	小麦粉などの粉をこねた皮であんを包み、蒸すか焼くかしてつくった菓子。そばまんじゅう・酒まんじゅうなど種類が多い。中国で諸葛孔明 (しょかつこうめい) が創始したと伝えられ、日本では、14世紀に宋から渡来した林浄因がつくった奈良饅頭に始まるとされる。
万十	まんじゅう	小麦粉などの粉をこねた皮であんを包み、蒸すか焼くかしてつくった菓子。そばまんじゅう・酒まんじゅうなど種類が多い。中国で諸葛孔明 (しょかつこうめい) が創始したと伝えられ、日本では、14世紀に宋から渡来した林浄因がつくった奈良饅頭に始まるとされる。
万頭	まんじゅう	小麦粉などの粉をこねた皮であんを包み、蒸すか焼くかしてつくった菓子。そばまんじゅう・酒まんじゅうなど種類が多い。中国で諸葛孔明 (しょかつこうめい) が創始したと伝えられ、日本では、14世紀に宋から渡来した林浄因がつくった奈良饅頭に始まるとされる。
曼頭	まんじゅう	小麦粉などの粉をこねた皮であんを包み、蒸すか焼くかしてつくった菓子。そばまんじゅう・酒まんじゅうなど種類が多い。中国で諸葛孔明 (しょかつこうめい) が創始したと伝えられ、日本では、14世紀に宋から渡来した林浄因がつくった奈良饅頭に始まるとされる。
もんじゃ焼き	もんじゃやき	お好み焼きに似た食べ物。ゆるく溶いた小麦粉で鉄板に文字を書いて楽しんだりしたところから、「文字焼 (もんじや) き」の音変化という。
焼餅	やきもち	あぶり焼いた餅の事。餅を参照。
焼蕎麦	やきそば	麺を豚肉等の肉類、キャベツ、人参、玉ねぎ、もやし等の野菜、イカ等の魚介類などと共に炒め（具を入れない場合もある）、調味して作る麺料理。ウスターソースを使用した焼きそばは、日本では普及している。
