一本背負投	いっぽんせおいなげ	投技で手技16本の一つ。前もしくは右（左）前隅に崩しながら、前回りさばきで相手の懐に踏み込む、または、後ろ回りさばきで相手の懐に入って、体を沈め、右（左）腕、すなわち、釣り手で、相手の右肩をつかむか挟むことで固定し、受けの体を背負い上げて、引き手で引いて投げる技。
浮落	うきおとし	投技の一つである。手技15本の一つ。突っ込んで来た相手を、膝を沈めながら、自分の前を通過させる（曲げた足の上を飛び越させる）様に投げる技。
浮腰	うきごし	投技の一つである。腰技11本の一つ。軽く踏み込み、釣り手を脇の下に腕を入れ、その動きに合わせて、後回りさばきで足を引く様に回転し、引き手で袖を引きながら、（腰には乗せず、）腰の回転で投げる技。
後腰	うしろごし	投技の一つ。自然体で相手の背後から左手で腰を抱きかかえ、右手で引きつけ持ち上げた上でたたき落とす難易度の高い技である。
内股	うちまた	投技の足技の一つ。ただし、分類の詳細については歴史の項を参照のこと。
移腰	うつりごし	投技の一つである。腰技11本の一つ。釣込腰や払腰、跳腰といった相手に背を向けて投げる技に対する返し技である。お互いが右組である場合、相手（受）がこれらの技を仕掛けてきた時、自分（取）は相手の技を右にかわしながら膝を曲げながら左手で帯をつかむ。
大内刈	おおうちがり	投げ技の足技21本の一つ。自分の足の外側で相手の足の内側を刈る技。
大腰	おおごし	腰技の一つ。大きく踏み込み、その動きに合わせて、前回りさばきで相手を前に崩し、釣り手を脇の下から腰にまわし、腰を深く入れ（腰に乗せ）、腰を上げて持ち上げる（転がす）ようにして投げる技。
大外刈	おおそとがり	投技の足技21本の一つ。 背負投、内股、巴投と並び、柔道でよく用いられる技である。
大外刈り	おおそとがり	投技の足技21本の一つ。 背負投、内股、巴投と並び、柔道でよく用いられる技である。
送足払	おくりあしばらい	投げ技の足技の一つ。ウラジミール・プーチンの得意技である。相手を横に引きずりながら、足を払って投げる技。
帯落	おびおとし	投技の一つである。手技15本の一つ。右組の場合、自分（取）は右手で相手（受）の前帯を取り引きつける。
踵返	きびすがえし	投げ技の手技の一つ。体を低めながら、片手で相手の踵を内側（もしくは外側）からとって刈り倒す技。
空気投げ	くうきなげ	隅落と同じだ。
朽木倒	くちきたおし	手技の一つ。「取りが片手で受けの片足を刈り、倒す技」が技の起点となる。色々な変化形があり、横に巻き込んで投げ技に転ずるものから、ただ真後ろに倒していくものまである。
袈裟固	けさがため	固技の抑込技7本の一つ。レスリングでも同様の体勢があるため同じ用語が使われることもある。
小内返	こうちがえし	投技の一つである。手技15本の一つ。相手の小内刈をかわし（すかして）浮落の要領で左もしくは右側にひねって返す技である。
小外刈り	こそとがり	投げ技の足技21本の一つ。自分の足の内側で相手の足の外側を刈る技。
支釣込足	ささえつりこみあし	投げ技。足技21本の一つに数えられている。
支え釣り込み腰	ささえつりこみあし	投げ技。足技21本の一つに数えられている。
掬投	すくいなげ	手技の一つ。柔道では掬投と呼ばれる技が二種類あり、それぞれ技の動きは全く違う。
捨身技	すてみわざ	投技の分類の一つ。自ら倒れ込みながら(『体(たい)を捨てる』、という）、その勢いを使って投げる技。
隅落	すみおとし	投げ技の手技16本の一つ。突っ込んで来た相手（相手が踏み込んで来たところ）を自分も踏み込み、隅に投げ落とす技。
背負い投げ	せおいなげ	投技の手技16本の一つ。内股、大外刈、巴投と並んで、柔道の投げ技の定番である。
袖釣込腰	そでつりこみごし	投げ技の腰技16本の一つ。右組の場合、引き手（袖を持った左手）は釣り手側に袖を釣り上げ、釣り手（襟を持った右手）で相手の体前方に崩し、左前回りさばきで踏み込んで体を沈め、肩越しに投げる。
体落	たいおとし	投げ技の手技16本の一つ。後ろ回りさばきで相手を右（左）前すみに崩し、右（左）足を踏み出して相手の出足を止め（自分の足を伸ばして、引っ掛け）、そこを支点にして飛び越させる様に、引き手と押し手（釣り手）をきかせて前方に投げ落とす技。
燕返	つばめがえし	投げ技の足技21本の一つ。受けが足払い系の技（出足払、送足払、払釣込足、支釣込足）又は、小外系の技（小外刈、小外掛）をかけてきたとき、その払ってきた足をすかし、その力を利用して投げる技。
巴投	ともえなげ	真捨身技の一つ。
跳腰返	はねごしがえし	投技の一つである。足技21本の一つ。跳腰に対する返し技である。
払腰	はらいごし	腰技の一つ。相手を腰に乗せ、後ろに足を払って、相手を横に泳がせる様に投げる技。
引込返	ひきこみがえし	投技で真捨身技5本の一つ。現行のルールで引込返とされる技は以下の二つがある。
膝車	ひざぐるま	投げ技の足技21本の一つ。
双手刈	もろてがり	投げ技の手技16本の一つ。現代仮名遣いを用い双手刈りとも表記される。
脇固め	わきがため	基本的には肘を極める技であり、寝技、立ち関節技で使用される。
腋固め	わきがため	基本的には肘を極める技であり、寝技、立ち関節技で使用される。
