天照大神	あまてらすおおみかみ	天岩戸の神隠れで有名であり、記紀によれば太陽を神格化した神であり、皇室の祖神（皇祖神）の一柱とされる。信仰の対象、土地の祭神とされる場所は伊勢神宮が特に有名。天照大神 ＞ 月夜見 ＞ 須佐男。
恵比寿	えびす	イザナミ・イザナギの間に生まれた子供を祀ったもので古くは大漁追福の漁業の神である。時代と共に福の神として商売繁盛や五穀豊穣をもたらす神となった。唯一日本由来の神である。
七福神	しちふくじん	福をもたらすとして日本で信仰されている七柱の神である。
須佐之男命	すさのおのみこと	嵐と暴風雨の神。天照大神や月夜見の弟神である。天照大神 ＞ 月夜見 ＞ 須佐男。
須佐男の男命	すさのおのみこと	嵐と暴風雨の神。天照大神や月夜見の弟神である。天照大神 ＞ 月夜見 ＞ 須佐男。
大黒天	だいこくてん	大黒柱と現されるように食物・財福を司る神となった。インドのヒンドゥー教のシヴァ神の化身マハーカーラ神。
月夜見	つくよみ	『記紀』においては、伊弉諾尊（いざなぎ）によって生み出されたとされる。月を神格化した、夜を統べる神であると考えられているが、異説もある（後述）。天照大神の弟神にあたり、建速須佐之男命（たけはやすさのお）の兄神にあたる。天照大神 ＞ 月夜見 ＞ 須佐男。
八幡神	はちまんじん	信仰される神で、清和源氏、桓武平氏など全国の武家から武運の神（武神）「弓矢八幡」として崇敬を集めた。
風神	ふうじん	風を司る神。風の精霊、或いは妖怪をそう呼ぶこともある。また対になる存在として、雷神がある。
雷神	らいじん	日本の民間信仰や神道における雷の神である。
