韻書	いんしょ	漢字を韻によって分類した書物。元来、詩や詞、曲といった韻文を作る際に押韻可能な字を調べるために用いられたものであるが、音韻は押韻の必要以上に細かく分類されており、字義も記されているので、字書などの辞典のもつ役割も果たした。
鯉幟	こいのぼり	布または紙で、鯉の形に作ったのぼり。端午の節句に戸外に立てる。鯉の滝のぼりにちなんだもの。
少林寺拳法	しょうりんじけんぽう	宗道臣が日本で創始した武道である。武術の体系であると同時に「人づくりの行」であり、「護身錬鍛」「精神修養」「健康増進」の三徳を兼ね備える「身心一如」の修行法をとり、「技」と「教え」と「教育システム」を3本の柱としている。技の特徴は、護身を旨とする拳法。教えの中心思想は「自己確立」と「自他共楽」。
同志社大学	どうししゃだいがく	京都市上京区に本部のある私立大学。明治8年（1875）新島襄が設立した同志社英学校に始まり、大正9年（1920）旧制大学となる。昭和23年（1948）新制大学移行。
花札	はなふだ	花合わせ1に用いるカルタ。1～12月にそれぞれ松・梅・桜・藤・菖蒲 (あやめ) ・牡丹 (ぼたん) ・萩 (はぎ) ・薄 (すすき) ・菊・紅葉・柳（雨）・桐の12の草木を当てて描き、おのおの4枚ずつに点数・価値を決めて計48枚の札にしたもの。また、これを用いてする遊びをいう。花ガルタ。花。
阪神	はんしん	野球のチーム。
百烈拳	ひゃくれつけん	北斗神拳の技。
任天堂	にんてんどう	日本の企業。ゲーム機ハードウェア、ソフトウェアにおいて総合首位。
麻雀	まーじゃん	ゲームの一つ。
三菱グループ	みつびしグループ	かつての三菱財閥の流れを汲む企業を中心とする企業グループである。
蒙古族	モンゴル族	中華人民共和国の55の少数民族の1つ。
天台宗	てんだいしゅう	大乗仏教の宗派のひとつである。妙法蓮華経（法華経）を根本経典とするため、天台法華宗とも呼ばれる。天台教学は中国に発祥し、入唐した最澄（伝教大師）によって平安時代初期に日本に伝えられた。
大和戦艦	やまとせんかん	大日本帝国海軍が建造した史上最大の戦艦で、大和型戦艦の一番艦であった。
