愛知県	あいちけん	太平洋に面するの県。県庁所在地は名古屋市。
青森県	あおもりけん	本州最北端に位置する。県庁所在地は青森市。県の人口は全国31位、面積は全国8位である。令制国の陸奥国で構成される。
秋田県	あきたけん	日本海に面する。県庁所在地は秋田市。
石川県	いしかわけん	本州の中央部、日本海側の北陸地方に位置する。 県域は令制国 の加賀国と能登国 に当たる。県庁所在地は金沢市。
茨城県	いばらきけん	関東地方の北東に位置し、東は太平洋に面する。県庁所在地は水戸市。都道府県人口は全国11位、面積は全国24位である。
岩手県	いわてけん	県庁所在地は盛岡市。
愛媛県	えひめけん	四国地方の北西部から北中部に位置する県。県庁所在地は松山市。令制国の伊予国に当たる。
大分県	おおいたけん	九州地方東部にある県。県庁所在地は大分市。
大阪府	おおさかふ	近畿地方に属する。府庁所在地は大阪市。
岡山県	おかやまけん	中国地方南東部に位置する県。県庁所在地は岡山市。
沖縄県	おきなわけん	南西部、かつ最西端に位置する県。かつては琉球王国が存在し、清に朝貢すると同時に、薩摩藩にも従っていた。明治時代より日本に編入される。
香川県	かがわけん	瀬戸内海に面し四国の北東に位置して、令制国の讃岐国に当たる。県庁所在地は高松市。県名は、讃岐のほぼ中央に存在し、かつて高松が属していた古代以来の郡「香川郡」から取られた。全国一小さい県だが、災害が少なくコンパクトな中に都市の利便性と豊かな自然が調和した生活環境を併せ持つ特徴を有する。
鹿児島県	かごしまけん	九州南部に位置する都道府県である。九州島の南側には離島が点在する。県庁所在地は鹿児島市。
神奈川県	かながわけん	関東地方の南西端、東京都の南に位置する。県庁所在地は横浜市。
京都府	きょうとふ	794年の平安京遷都以来、天皇の御所がある。令制国でいう山城国の全域、丹波国の東部および丹後国の全域を府域とする。府庁所在地は京都市。
岐阜県	ぎふけん	内陸県の一つで、日本の人口重心中央[1]に位置し、その地形は変化に富んでいる。県庁所在地は岐阜市。
熊本県	くまもとけん	九州地方の中央に位置する県。県庁所在地は熊本市。
群馬県	ぐんまけん	関東地方北西部に位置する。県庁所在地は前橋市。県南部に関東平野、県西部・北部に自然豊かな山地を有する。
高知県	こうちけん	四国の太平洋側に位置する。県庁所在地は高知市。
埼玉県	さいたまけん	関東地方の中央西側内陸部、東京都の北と群馬県の南に位置する県。県庁所在地はさいたま市。
佐賀県	さがけん	九州地方の北西部にある県。県庁所在地は佐賀市。
滋賀県	しがけん	琵琶湖を擁する、日本国・近畿地方北東部の内陸県である。県庁所在地は大津市。
静岡県	しずおかけん	太平洋に面するの県。県庁所在地は静岡市。中部地方及び東海地方に含まれる。2014年（平成26年）現在人口は約370万人で都道府県別で第10位であり、静岡市と浜松市の2つの政令指定都市を有する。
島根県	しまねけん	中国地方の日本海側である山陰地方の西部をなす県である。県庁所在地は松江市。
千葉県	ちばけん	関東地方の南東側、東京都の東方に位置する県。房総半島と関東平野の南部にまたがる。県庁所在地は千葉市。
東京都	とうきょうと	関東地方に位置する広域地方公共団体の一つである。東京特別区、多摩地域、島嶼部を管轄する。都庁所在地は新宿区。
徳島県	とくしまけん	四国の東部に位置する。県庁所在地は徳島市。
栃木県	とちぎけん	関東地方北部に位置する。県庁所在地は宇都宮市。県内には日光国立公園が立地し、日光・那須などの観光地・リゾート地を有する。
鳥取県	とっとりけん	西日本有数の豪雪地帯でもある。全国47都道府県中、面積は7番目に小さく、人口は最も少ない。また、市の数も最も少ない。県庁所在地は県東部の鳥取市。
富山県	とやまけん	北陸地方に属し、日本海に面する。令制国の越中国に相当する。県庁所在地は富山市。
長崎県	ながさきけん	九州西端部にある県。県庁所在地は長崎市。
長野県	ながのけん	本州内陸部に位置するの県。令制国名の信濃国に因み「信州」とも呼ばれる。海に面していない、いわゆる内陸県であり、大規模な山岳地があるため可住地面積率は小さい。 県庁所在地は長野市で、善光寺の門前町として発展し、第18回冬季オリンピックの開催地となった自治体である。
奈良県	ならけん	本州中西部、紀伊半島内陸部、近畿地方の中南部に位置する県。令制国の大和国の領域を占める。県庁所在地は奈良市。
新潟県	にいがたけん	中部地方の日本海側、北陸地方に位置する。県庁所在地は新潟市。
兵庫県	ひょうごけん	本州の中西部に位置し、近畿地方に属している。県庁所在地は神戸市。
広島県	ひろしまけん	中国地方に位置する都道府県の一つ。瀬戸内海に面する。県庁所在地は広島市。
福井県	ふくいけん	日本海や若狭湾に面する。県庁所在地は福井市。
福岡県	ふくおかけん	九州地方北部にある県。県庁所在地は福岡市。
福島県	ふくしまけん	東北地方の南部に位置する。県庁所在地は福島市。太平洋に面し奥羽山脈の東西にまたがって存在する。
北海道	ほっかいどう	北部に位置する島である。また、同島および付随する島を管轄する地方公共団体（道）である。島としての北海道は、日本列島を構成する主要4島の一つである。地方公共団体としての北海道は、47都道府県中、唯一の「道」で、道庁所在地は札幌市である。
三重県	みえけん	日本最大の半島である紀伊半島の東側に位置する。県庁所在地は県中部の津市。
宮城県	みやぎけん	東北地方に属する。東は太平洋に面し、西は奥羽山脈に接する。県庁所在地は仙台市。
宮崎県	みやざきけん	は九州南東部に位置する県。県庁所在地は宮崎市。
山形県	やまがたけん	日本海に面する。県庁所在地は山形市。
山口県	やまぐちけん	本州最西端に位置する。九州地方との連接点の地域である。県庁所在地は山口市。
山梨県	やまなしけん	本州の内陸部に位置するの県。県庁所在地は甲府市。令制国の甲斐国に相当する。
和歌山県	わかやまけん	県庁所在地は和歌山市。日本最大の半島である紀伊半島の西側に位置する。県南部には大規模な山地を有する。
