阿蘇神社	あそじんじゃ	熊本県阿蘇市にある神社。式内社（名神大社）、肥後国一宮。旧社格は官幣大社で、現在は神社本庁の別表神社。
伊勢神宮	いせじんぐう	三重県伊勢市にある神社。正式名称は地名の付かない「神宮」（じんぐう）。
厳島神社	いつくしまじんじゃ	広島県廿日市市の厳島（宮島）にある神社。式内社（名神大社）、安芸国一宮。旧社格は官幣中社で、現在は神社本庁の別表神社。
稲荷神社	いなりじんじゃ	1 稲荷神を祀る神社。⇒ 稲荷神 2. 日本各地に鎮座する神社。
宇佐神宮	うさじんぐう	大分県宇佐市にある神社。式内社（名神大社3社）、豊前国一、勅祭社。旧社格は官幣大社で、現在は神社本庁の別表神社。
椿大神社	つばきおおかみやしろ	三重県鈴鹿市にある神社。式内社、伊勢国一宮。
都波岐神社	つばきじんじゃ	三重県鈴鹿市にある神社。両社とも式内社で、旧社格は県社。都波岐神社は伊勢国一宮とされる。
鶴岡八幡宮	つるがおかはちまんぐう	神奈川県鎌倉市にある神社。旧社格は国幣中社で、現在は神社本庁の別表神社。
諏訪大社	すわたいしゃ	長野県の諏訪湖周辺4ヶ所にある神社。式内社（名神大社）、信濃国一宮。旧社格は官幣大社で、現在は神社本庁の別表神社。神紋は「梶の葉」。
八幡宮	はちまんぐう	八幡神を祭神とする神社。八幡神社、八幡社、八幡さまとも表記・呼称される。全国に約44,000社あり、大分県宇佐市の宇佐神宮を総本社とする。
平安神宮	へいあんじんぐう	京都府京都市左京区にある神社である。旧社格は官幣大社、勅祭社。現在は神社本庁の別表神社。
日光東照宮	にっこうとうしょうぐう	日本の関東地方北部、栃木県日光市に所在する神社。江戸幕府初代将軍・徳川家康を神格化した東照大権現（とうしょうだいごんげん）を祀る。
宗像大社	むなかたたいしゃ	福岡県宗像市にある神社。式内社（名神大社）で、旧社格は官幣大社。日本各地に七千余ある宗像神社、厳島神社、および宗像三女神を祀る神社の総本社である。祭祀の国宝を多数有し、全国の弁天様の総本宮ともいえる。裏伊勢と称される。
