鳥羽	とば	平安時代後期の第74代天皇：1107年-1123年
崇徳	すとく	日本の第75代天皇：1123年-1142年
後白河	ごしらかわ	(1127-1192年)平安時代末期の第77代天皇：1155年-1158年。先代：近衛。時代：二条。
二条	にじょう	(1143-1165年)第78代天皇：1158-1165年。後白河天皇の第一皇子。母は、大炊御門経実の娘で、源有仁の養女・贈皇太后懿子。先代：後白河。時代：六条 。
六条	ろくじょう	(1164-1176年)日本の第79代天皇：1165-1168年。先代：二条。次代：高倉。
高倉	たかくら	(1161-1181年)日本の第80代天皇：1168-1180年。先代：六条。次代：安徳。
安徳	あんとく	(1178-1185年)日本の第81代天皇：1180-1185年。高倉天皇の第一皇子。母は平清盛の娘の徳子。先代：高倉。次代：後鳥羽。
後鳥羽	ごとば	(1180-1239年)日本の第82代天皇：1183-1198年。先代：安徳。次代：土御門。
孝明	もうめい	(1831-1867年)江戸時代の第121代天皇：1846-1867年。明治天皇の父に当たる。攘夷実行の条件を付けての承知の意を示した。死因は天然痘と診断されたが、他殺説も存在し議論となっている。陵は、京都府京都市東山区今熊野泉山町の泉涌寺内にある後月輪東山陵に治定されている。先代：仁孝。次代：明治。
明治	めいじ	(1852-1912年)日本の第122代天皇：1867-1912年。先代：孝明。次代：大正。
大正	たいしょう	(1879-1926年)日本の第123代天皇：1912-1926年。先代：明治。次代：昭和。
昭和	しょうわ	(1901-1989年)日本の第124代天皇：1926-1989年。次代：大正。次代：平成。
平成	へいせい	(1933年-現在)日本の第125代天皇：1989年-現在。次代：昭和
