足立区	あだちく	隅田川と荒川に挟まれた地区と、面積の大半を占める荒川以北の地区とに分かれている。
荒川区	あらかわく	町名の数は東京特別区内で最も少ない。
板橋区	いたばしく	現在ではほぼ全域が市街地になっているが、工業地域もある。
江戸川区	えどがわく	最東端の自治体にあたる。
大田区	おおたく	最南部に位置する。東部には羽田空港がある。前身は大森区と蒲田区で、区の商業は大森駅と蒲田駅に、区の行政は蒲田駅に集中している。
葛飾区	かつしかく	区内には、山田洋次監督の映画『男はつらいよ』シリーズで知られる柴又帝釈天や、江戸期の菖蒲文化を伝える堀切菖蒲園、秋本治の漫画『こちら葛飾区亀有公園前派出所』で有名になった亀有（亀有公園はあるが、公園前に派出所（交番）が設置されていたことはない。最も近い実在の交番は亀有駅北口交番）がある。
北区	きたく	。旧武蔵国豊嶋郡。
江東区	こうとうく	東部、隅田川と荒川に挟まれた位置にあり、東京湾に面している。
品川区	しながわく	1947年（昭和22年）に誕生した区の中で唯一、旧区名がそのまま新区名に採用された。
渋谷区	しぶやく	区の成立は1932年で、1962年の住居表示施行後から現在まで32の町名がある。区役所の所在地は、区内宇田川町。
新宿区	しんじゅくく	都条例上は、同区が都庁所在地だが、地図などでは便宜上「東京」と表されることになっている。
墨田区	すみだく	全国的に有名な東京スカイツリーやアサヒビール本社がある。
杉並区	すぎなみく	元来この地域は武蔵国多摩郡であり、江戸時代から明治・大正時代も多摩地域に属していた。地理的に東京区部の扱いになったのは、1929年（昭和4年）の世界恐慌後に東京市に編入されてからである。
世田谷区	せたがやく	元来この地域は武蔵国にあり、江戸時代、明治・大正時代も同地域の地方郡に属していた。
台東区	たいとうく	東京23区の中央からやや北東寄りに位置する。東側は隅田川に接し、対岸の墨田区との区境となっている。また、区南端で隅田川との合流点付近の神田川に接する。
中央区	ちゅうおうく	ほぼ中央に位置する。区内には、日本橋・八重洲・築地・月島・晴海・銀座等といった街がある。
千代田区	ちよだく	1947年（昭和22年）3月15日に麹町区と神田区が合併して誕生した[1]。その際、江戸城の別名である「千代田城」にちなんで「千代田区」となった。
豊島区	としまく	池袋駅を中心とする副都心を擁し、高級住宅街の目白や、「おばあちゃんの原宿」として知られる巣鴨などがある。
中野区	なかのく	中野区は旧東多摩郡の東半にあたる。地形的には武蔵野台地の一角に位置する。区内には、東西に鉄道が数多く通っている。
練馬区	ねりまく	板橋区の一部だった旧北豊島郡練馬町・上練馬村・中新井村・石神井村・大泉村の区域が1947年8月1日に分離して発足した。
文京区	ぶんきょうく	郵便番号（上3桁）は112の地域と113の地域がある。
港区	みなとく	企業が本社を最も多く構える区の一つであり、いわば日本のビジネスの中心である。
目黒区	めぐろく	主に住宅地として発展。平均世帯年収は664万円で、東京都中央区（709万円）やさいたま市浦和区（693万円）に次ぐ水準である。
