間1	あいだ	二つの物・場所にはさまれた部分。ある時からある時までの時間	between; during
間2	あいだ	あるグループの人たちの範囲。関係。間柄	among (e.g. men/pictures); between (us); among (e.g. four pics); (born) of (Greek))
新しい	あたらしい		new
嗚呼	ああ		Ah!, Oh!, Alas!
相	あい		together, mutually, fellow
愛	あい		love
相変わらず	あいかわらず		as ever, as usual, the same
挨拶	あいさつ		greeting
愛情	あいじょう		love, affection
合図	あいず		sign, signal
愛する	あいする		to love
愛想	あいそ		civility, courtesy, compliments, sociability, graces
相対	あいたい		confrontation, facing, between ourselves, no third party, tete-a-tete
間柄	あいだがら		relation(ship)
相手	あいて		companion, partner, company, other party, addressee
愛憎	あいにく		likes and dislikes
合間	あいま		interval
曖昧	あいまい		vague, ambiguous
合う	あう		fit, suit, be correct
会う	あう		to meet, to interview
遭う	あう		meet, encounter (often something unpleasant)
敢えて	あえて		dare (to do), challenge (to do)
青	あお		the color blue, the color green (noun), green light
青い	あおい		blue, pale, green, unripe, inexperienced
扇ぐ	あおぐ		to fan, to flap
仰ぐ	あおぐ		to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take
青白い	あおじろい		pale
亜科	あか		suborder, subfamily
赤	あか		the color red (noun)
赤い	あかい		red
銅1	あかがね		copper
証	あかし		proof, evidence
赤字	あかじ		deficit, go in the red
明かす	あかす		to pass, spend, to reveal, to divulge
赤ちゃん	あかちゃん		baby, infant
明白	あからさま		obvious, overt, plainly, frankly
赤らむ	あからむ		to become red, to redden, to blush
明かり	あかり		lamplight, brightness
上がり	あがり		slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after (rain), ex (official etc.), freshly-drawn green tea (esp. in sushi shops)
上がる	あがる		go up, rise
明るい	あかるい		bright, cheerful
明い	あかるい		bright, light, cheerful, sunny
赤ん坊	あかんぼう		baby
明き	あき		room, time to spare, emptiness, vacant
秋	あき		autumn, fall
空き	あき		room, time to spare, emptiness, vacant
商人1	あきうど		trader, shopkeeper, merchant
空間	あきま		vacancy, room for rent or lease
空き家	あきや	人の住んでいない家。あきいえ。	an unoccupied [a vacant, an uninhabited, an empty] house; a house for rent
明らか	あきらか		obvious, clear
諦め	あきらめ		resignation, acceptance, consolation
諦める	あきらめる		give up, abandon
飽きる	あきる		get tired of, lose interest in
灰1	あく		puckery juice
空く2	あく		become vacant
開く2	あく		open (e.g. a festival)
悪	あく		evil, wickedness
握手	あくしゅ		handshake
悪日	あくび		unlucky day
悪魔	あくま		evil spirit, devil, demon
飽くまで	あくまで		to the end, stubbornly, persistently
悪夢	あくむ	いやな恐ろしい夢。また、不吉な夢。「ーにうなされる」	〔悪い夢〕a bad dream; 〔恐ろしい夢〕a nightmare; 〔不吉な夢〕an ominous dream
明くる	あくる		next, following
明け方	あけがた		dawn
明ける	あける		to dawn, become daylight
開ける	あける		become opened up, be up-to-date, become civilized
上げる	あげる		give, raise, elevate, praise, increase, advance, promote, admit, offer, present, leave with, finish, observe, perform, quote, mention, bear (a child), improve (talents), arrest, engage, fry
挙げる	あげる		to raise, to fly, to give (an example)
顎	あご		chin
憧れ	あこがれ		yearning, longing, aspiration
憧れる	あこがれる		long for, yearn after, admire, be attracted by
朝	あさ		morning
麻	あさ		flax, linen, hemp
字1	あざ		section of village
浅い	あさい		shallow, superficial
朝御飯	あさごはん		breakfast
明後日1	あさって		day after tomorrow
朝寝坊	あさねぼう		over sleep
浅ましい	あさましい		wretched, miserable, shameful, mean, despicable, abject
欺く	あざむく		to deceive
鮮やか	あざやか		vivid, clear, brilliant
あざ笑う	あざわらう		to sneer at, to ridicule
足	あし		foot, pace, gait, leg
味	あじ		taste
足跡	あしあと		footprints
明日1	あした		tomorrow
味わい	あじわい		flavour, meaning, significance
味わう	あじわう		to taste, savor, relish
明日2	あす		tomorrow
預かる	あずかる		take charge of, receive deposit
預ける	あずける		put in charge of, to deposit
東1	あずま		east, Eastern Japan
汗	あせ		sweat
焦る	あせる		to be in a hurry, to be impatient
彼処	あそこ		(uk) there, over there, that place, (X) (col) genitals
遊び	あそび		play
遊ぶ	あそぶ		play, make a visit (esp. for pleasure), be idle, do nothing
値1	あたい		value, price, cost, worth, merit
値する	あたいする		to be worth, to deserve, to merit
与える	あたえる		give, to award
私1	あたし		I (fem)
暖かい	あたたかい		warm, mild, genial
暖まる	あたたまる		to warm oneself, to sun oneself, to warm up, to get warm
暖める	あたためる		to warm, to heat
他人1	あだびと		another person, unrelated person, outsider, stranger
頭	あたま		head
辺り2	あたり		neighbourhood, vicinity, nearby
当たり	あたり		hit, success, reaching the mark, per ..., vicinity, neighborhood
当たり前	あたりまえ		usual, common, ordinary, natural, reasonable, obvious
当たる	あたる		be hit, be successful, confront, lie (in the direction of), undertake, be equivalent to, be applicable, be assigned
彼方此方1	あちこち		here and there
彼方	あちら		there, yonder, that
彼方此方2	あちらこちら		here and there
厚い	あつい		thick, deep, cordial, kind, warm(hearted)
暑い	あつい		hot, warm
熱い	あつい		hot (thing)
悪化	あっか		deterioration, growing worse, aggravation, degeneration, corruption
扱い	あつかい		treatment, service
扱う	あつかう		to handle, deal with
厚かましい	あつかましい		impudent, shameless, brazen
呆気ない	あっけない		not enough, too quick (short long etc.)
悪口1	あっこう		abuse, insult, slander, evil speaking
圧縮	あっしゅく		compression, condensation, pressure
圧迫	あっぱく		pressure, coercion, oppression
集まり	あつまり		gathering, meeting, assembly, collection
集まる	あつまる		gather
集める	あつめる		get (things) together
圧力	あつりょく		stress, pressure
当て	あて		object, aim, end, hopes, expectations
宛	あて		addressed to
当て字	あてじ		phonetic-equivalent character, substitute character
宛名	あてな		address, direction
当てはまる	あてはまる		to apply (a rule)
当てはめる	あてはめる		to apply, to adapt
当てる	あてる		to hit
宛てる	あてる		to address
後3	あと		afterwards, since then, in the future
跡	あと		trace, tracks, mark, sign, remains, ruins, scar
跡継ぎ	あとつぎ		heir, successor
後回し	あとまわし		putting off, postponing
穴	あな		hole
貴女	あなた		you, lady
兄	あに		older brother
姉	あね		older sister
暴れる	あばれる		act violently, struggle
浴びる	あびる		bathe, take a shower, bask in the sun
危ない	あぶない		dangerous, critical, grave, uncertain, unreliable, limping, narrow, close, watch out!
脂	あぶら		fat, lard
油	あぶら		oil
油絵	あぶらえ		oil painting
甘い2	あまい		delicious
甘える	あまえる		to behave like a spoiled child, to fawn on
雨具	あまぐ		rain gear
甘口	あまくち		sweet flavour, mildness, flattery, stupidity
天	あまつ		heavenly, imperial
雨戸	あまど		(sliding) storm door
甘やかす	あまやかす		pamper, spoil
余り2	あまり		remainder, remnant, surplus, balance, excess, scraps, residue
余り3	あまり		not very, not much
余る	あまる		remain, be left over, be too many
網	あみ		net, network
編物	あみもの		knitting, web
編む	あむ		to knit, to braid, compile (anthology, dictionary, etc.), edit
雨	あめ		rain
天地	あめつち		heaven and earth, the universe, nature, top and bottom, realm, sphere, world
危うい	あやうい		dangerous, watch out!
怪しい	あやしい	不思議な力がある。神秘的な感じがする。変な。「ー・い魅力」「宝石がー・く光る」	suspicious, doubtful
操る	あやつる		to manipulate, to operate, to pull strings
危ぶむ	あやぶむ		to fear, to have misgivings, to be doubtful, to mistrust
過ち	あやまち		fault, error, indiscretion
誤り	あやまり		error
謝る	あやまる		apologize
誤る	あやまる		to make a mistake
歩み	あゆみ		walking
歩む	あゆむ		to walk, to go on foot
荒い	あらい		rough, rude, wild
粗い	あらい		coarse, rough
洗う	あらう		to wash
予め	あらかじめ		beforehand, in advance, previously
嵐	あらし		storm
荒らす	あらす		to lay waste, to devastate, to damage, to invade, to break into
粗筋	あらすじ		outline, summary
争い	あらそい		dispute, strife, quarrel, dissension, conflict, rivalry, contest
争う	あらそう		argue, dispute
新た	あらた		new
有難う	ありがとう		thanks
改まる	あらたまる		to be renewed
改める1	あらためる	新しくする。古いもの、旧来のものを新しいものと入れ替える。「日を＿・める」「第一項は次のように＿・める」	renew; change; reform
改める2	あらためる	悪い点、不備な点をよいほうへ変える。改善する。「態度をー・める」「悪習をー・める」	correct; reform; improve upon
改める3	あらためる	正しいかどうか詳しく調べて確かめる。吟味する。「罪状をー・める」「財布の中身をー・める」	examine; count
改めて	あらためて		again
荒っぽい	あらっぽい		rough, rude
あらゆる		あるかぎりの。すべての。「ー角度から検討する」	"all; every"
現す	あらわす		indicate, show, display
著す	あらわす		write, publish
表す	あらわす		express, show, reveal
現われ	あらわれ		embodiment, materialization
現れ	あらわれ		embodiment
現われる	あらわれる		to appear, to come in sight, to become visible, to come out, to embody, to materialize, to express oneself
現れる	あらわれる		appear, embody, express oneself
有難い	ありがたい		grateful, thankful, welcome, appreciated
有様	ありさま		state, condition, circumstances, the way things are or should be, truth
有りのまま	ありのまま		the truth, fact, as it is, frankly
有る	ある		to be, to have
在る	ある		to live, to be
歩く	あるく		to walk
彼此	あれこれ		one thing or another, this and that, this or that
泡	あわ		bubble, foam, froth
合わす	あわす		to join together, to face, to unite, to be opposite, to combine, to connect, to add up, to mix, to match, to overlap, to compare, to check with
合わせ	あわせ		joint together, opposite, facing
合わせる	あわせる		join together, connect, unite, combine, add up, mix, match, overlap, be opposite, face, compare, check with
慌ただしい	あわただしい		busy, hurried, confused, flurried
慌てる	あわてる		to become confused (disconcerted disorganized)
哀れ	あわれ		helpless, pathos, pity, sorrow, grief, misery, compassion
案	あん		plan, suffix meaning draft
安易	あんい		easygoing
案外	あんがい		unexpectedly
暗記	あんき		memorization
暗殺	あんさつ		assassination
暗算	あんざん		mental arithmetic
暗示	あんじ		hint, suggestion
案じる	あんじる		to be anxious, to ponder
安心	あんしん		peace of mind, relief
安静	あんせい		rest
安全	あんぜん		safety
安定	あんてい		stability, equilibrium
案内	あんない		information, guidance
案の定	あんのじょう		sure enough, as usual
余り1	あんまり		not very (this form only used as adverb), not much, remainder, rest, remnant, surplus, balance, excess, remains, scraps, residue, fullness, other, too much
