亥1	い	十二支の12番目。	〔十二支の一つ〕the Boar (the last of the twelve signs of the Chinese zodiac); 〔方角〕north-northwest; 〔時刻〕the hour of the Boar (10:00 p.m. or the hours between 9:00 p.m. and 11:00 p.m.)
犬1	いぬ	食肉目イヌ科の哺乳類。嗅覚・聴覚が鋭く、古くから猟犬・番犬・牧畜犬などとして家畜化。多くの品種がつくられ、大きさや体形、毛色などはさまざま。警察犬・軍用犬・盲導犬・競走犬・愛玩犬など用途は広い。	a dog; 〔雌犬〕a bitch, a she-dog; 〔猟犬〕a hound
狗	いぬ	食肉目イヌ科の哺乳類。嗅覚・聴覚が鋭く、古くから猟犬・番犬・牧畜犬などとして家畜化。多くの品種がつくられ、大きさや体形、毛色などはさまざま。警察犬・軍用犬・盲導犬・競走犬・愛玩犬など用途は広い。	a dog; 〔雌犬〕a bitch, a she-dog; 〔猟犬〕a hound
戌1	いぬ	十二支の11番目。	〔十二支の一つ〕the Dog, the eleventh of the twelve signs of the Chinese zodiac; 〔方角〕west-northwest; 〔時刻〕the hour of the Dog (8:00 p.m. or the hours between 7:00 p.m. and 9:00 p.m.)
蚊	か		mosquito
戌2	じゅつ	十二支の11番目。	〔十二支の一つ〕the Dog, the eleventh of the twelve signs of the Chinese zodiac; 〔方角〕west-northwest; 〔時刻〕the hour of the Dog (8:00 p.m. or the hours between 7:00 p.m. and 9:00 p.m.)
猪1	い	豚の原種で、肉は山鯨 (やまくじら) ・牡丹 (ぼたん) といわれ食用。しし。いのこ。	a wild boar
猪2	いのしし	豚の原種で、肉は山鯨 (やまくじら) ・牡丹 (ぼたん) といわれ食用。しし。いのこ。	a wild boar
寅1	いん	十二支の一つで、その3番目。	〔十二支の一つ〕the Tiger (the third of the twelve signs of the Chinese zodiac); 〔方角〕east-northeast; 〔時刻〕the hour of the Tiger (4:00 a.m. or the hours between 3:00 a.m. and 5:00 a.m.)
卯2	う	十二支の4番目。	〔十二支の一つ〕the Rabbit (the fourth of the twelve signs of the Chinese zodiac); 〔時刻〕the hour of the Rabbit (6:00 a.m. or the hours between 5:00 a.m. and 7:00 a.m.); 〔方角〕east
兎	う		rabbit
兔	うさぎ		rabbit
兎	うさぎ		rabbit
丑1	うし	十二支の2番目。	〔十二支の一つ〕the Ox (the second of the twelve signs of the Chinese zodiac); 〔時刻〕the hour of the Ox (2:00 a.m. or the hours between 1:00 a.m. and 3:00 a.m.); 〔方角〕north-northeast
牛1	うし		cow
鰻	うなぎ		eel
午2	うま	十二支の7番目。うま。	〔十二支の一つ〕the Horse (the seventh of the twelve signs of the Chinese zodiac); 〔時刻〕the hour of the Horse (noon or the hours between 11:00 a.m. and 1:00 p.m.); 〔方角〕south
馬	うま		horse
亥2	ぐ	十二支の12番目。	〔十二支の一つ〕the Boar (the last of the twelve signs of the Chinese zodiac); 〔方角〕north-northwest; 〔時刻〕the hour of the Boar (10:00 p.m. or the hours between 9:00 p.m. and 11:00 p.m.)
孔雀	くじゃく	キジ目キジ科クジャク属の鳥の総称。	〔雄〕a peacock; 〔雌〕a peahen; 〔通称〕a peafowl; 〔ひな〕a peachick
熊	くま		bear
孔雀	くじゃく		peacock
午1	ご	十二支の7番目。うま。	〔十二支の一つ〕the Horse (the seventh of the twelve signs of the Chinese zodiac); 〔時刻〕the hour of the Horse (noon or the hours between 11:00 a.m. and 1:00 p.m.); 〔方角〕south
駒	こま		pony
魚2	さかな		fish
鮭	さけ		bass
