べき		当然の意を表す。〜して当然だ。〜のはずだ。〜しなければならない	must; should
べし		当然の意を表す。〜して当然だ。〜のはずだ。〜しなければならない	must; should
別	べつ		distinction, difference, different, another, particular, separate, extra, exception
別荘	べっそう		holiday house, villa
別に	べつに		(not) particularly. nothing
別々	べつべつ		separately, individually
弁解	べんかい		explanation, justification, defence, excuse
便宜	べんぎ		convenience, accommodation, advantage, expedience
勉強	べんきょう		study, diligence, discount, reduction
弁護	べんご		defense, pleading, advocacy
便所	べんじょ		toilet, lavatory, rest room, latrine
弁償	べんしょう		next word, compensation, reparation, indemnity, reimbursement
弁当	べんとう		lunch box
便利	べんり		convenient, handy, useful
弁論	べんろん		discussion, debate, argument
