美	び		beauty
美術	びじゅつ	視覚的、空間的な美を表現する造形芸術。絵画・彫刻・建築・工芸など。明治時代は、広く文学・音楽なども含めていった。「古ー」「仏教ー」	art, fine arts
美術館	びじゅつかん		art gallery
微笑	びしょう		smile
美人	びじん		beautiful person (woman)
吃驚	びっくり		be surprised, be amazed, be frightened, astonishment
微妙	びみょう		delicate, subtle
白虎	びゃっこ		white tiger
白虎隊	びゃっこたい		white tiger squad
秒	びょう		second (time)
病2	びょう	やむ。やまい。「病気」悪いこと。欠点。「病弊」	sickness; bad point
美容	びよう		beauty of figure or form
病院	びょういん		hospital
病気	びょうき		illness, disease, sickness
描写	びょうしゃ		depiction, description, portrayal
平等	びょうどう		equality, impartiality, evenness
微量	びりょう		minuscule amount, extremely small quantity
便	びん		mail, post, flight (e.g. airline flight), service, opportunity, chance, letter
瓶2	びん		bottle, vase, vial
敏感	びんかん		sensibility, susceptibility, sensitive (to), well attuned to
便箋	びんせん		writing paper, stationery
瓶詰	びんづめ		bottling, bottled
貧乏	びんぼう		poverty, destitute, poor
