暴力	ぼうりょく		violence
暴力的	ぼうりょくてき		violent
棒	ぼう		pole, rod, stick
卯	ぼう		fourth sign of Chinese zodiac (The Hare 5am-7am east February)
防衛	ぼうえい	他からの攻撃に対して、防ぎ守ること。「祖国をーする」「タイトルをーする」「正当ー」	defense, protection, self-defense
貿易	ぼうえき		trade
望遠鏡	ぼうえんきょう		telescope
防火	ぼうか		fire prevention, fire fighting, fire proof
妨害	ぼうがい		disturbance, obstruction, hindrance, jamming, interference
防御	ぼうぎょ	敵の攻撃などを防ぎ守ること。「攻撃は最大のー」「敵の猛攻をーする」	defense
冒険	ぼうけん		risk, venture, adventure
坊さん	ぼうさん		Buddhist priest, monk
帽子	ぼうし		hat
防止	ぼうし		prevention, check
紡績	ぼうせき		spinning
呆然	ぼうぜん		dumbfounded, overcome with surprise, in blank amazement
膨大	ぼうだい		huge, bulky, enormous, extensive, swelling, expansion
膨脹	ぼうちょう		expansion, swelling, increase, growth
冒頭	ぼうとう		beginning, start, outset
暴動	ぼうどう		insurrection, rebellion, revolt, riot, uprising
防犯	ぼうはん		prevention of crime
暴風	ぼうふう		storm, windstorm, gale
坊や	ぼうや		boy
暴力	ぼうりょく		violence
募金	ぼきん		fund-raising, collection of funds
僕2	ぼく		I (used by men with close acquaintances)
牧師	ぼくし		pastor, minister, clergyman
牧場	ぼくじょう		farm (livestock), pasture land, meadow, grazing land
牧畜	ぼくちく		stock-farming
母語	ぼご	人が生まれて最初に習い覚えた言語。母国語。	mother tongue
母校	ぼこう		alma mater
募集	ぼしゅう		recruiting, taking applications
没収	ぼっしゅう		forfeited
坊ちゃん	ぼっちゃん		son (of others)
勃発	ぼっぱつ	事件などが突然に起こること。「内乱がーする」	outbreak; sudden occurance
没落	ぼつらく		ruin, fall, collapse
藍褸	ぼろ		rag, scrap, tattered clothes, fault (esp. in a pretense), defect, run-down or junky
盆	ぼん		Lantern Festival, Festival of the Dead, tray
盆地	ぼんち		basin (e.g. between mountains)
