分2	ぶ		rate, part, percentage, one percent, thickness, odds, chance of winning, one-hundredth of a shaku, one-quarter of a ryou
部	ぶ		department, part, category, counter for copies of a newspaper or magazine
部下	ぶか		subordinate person
武器	ぶき		weapon, arms, ordinance
不気味	ぶきみ	気味が悪いこと。また、そのさま。「―な笑い声」	〜な weird; 〔幽霊などを暗示させる〕eerie; 〔不吉な〕ominous; 〔不可解な〕uncanny; 〔この世のものでない〕unearthly
無沙汰	ぶさた		neglecting to stay in contact
武士	ぶし		warrior, samurai
無事	ぶじ		safety, peace, quietness
武士道	ぶしどう		bushido
部首	ぶしゅ		radical of a kanji
部署	ぶしょ	それぞれに役割や分担を決めること。また、その役割や担当した場所。持ち場。「ーを移る」	one's post; one's station
侮辱	ぶじょく		insult, contempt, slight
武装	ぶそう		arms, armament, armed
舞台	ぶたい		stage (theatre), scene or setting (e.g. of novel, play, etc.)
部隊	ぶたい		forces
豚肉	ぶたにく		pork
斑	ぶち		spots, speckles, mottles
打つ1	ぶつ		hit, strike
物価	ぶっか		prices of commodities, prices (in general), cost-of-living
物議	ぶつぎ		public discussion (criticism)
打付ける	ぶつける		to knock, to run into, to nail on, to strike hard, to hit and attack
物資	ぶっし		goods, materials
物質	ぶっしつ		material, substance
物騒	ぶっそう		dangerous, disturbed, insecure
仏像	ぶつぞう		Buddhist image (statue)
物体	ぶったい		body, object
佛茶	ぶっちゃ		日本：ぶっちゃ、中国：Fo cha; Buddhist tea
物理	ぶつり		physics
武道	ぶどう		budo
無難	ぶなん		safety, security
部品	ぶひん		parts, accessories
部門	ぶもん		class, group, category, department, field, branch
ぶら下げる	ぶらさげる		to hang, to suspend, to dangle, to swing
武力	ぶりょく		armed might, military power, the sword, force
無礼	ぶれい		impolite, rude
分3	ぶん		part, segment, share, ration, rate, degree, one´s lot, one´s status, relation, duty, kind, lot, in proportion to, just as much as
文2	ぶん		sentence
文化	ぶんか		culture
分解	ぶんかい		analysis, disassembly
文学	ぶんがく		literature
文化財	ぶんかざい		cultural assets, cultural property
分割	ぶんかつ	いくつかに分けること。「土地を―して分け与える」	division; partition
分業	ぶんぎょう		division of labor, specialization, assembly-line production
文芸	ぶんげい		literature, art and literature
文献	ぶんけん		literature, books (reference)
分権	ぶんけん	権力を1か所に集中しないで、分散すること。「地方ー」反：集権。	splitting
文語	ぶんご		written language, literary language
分散	ぶんさん		dispersion, decentralization, variance (statistics)
分子	ぶんし		numerator, molecule
文書	ぶんしょ		document, writing, letter, note, records, archives
文章	ぶんしょう		sentence, article
分数	ぶんすう		(mathematics) fraction
分析	ぶんせき	 複雑な事柄を一つ一つの要素や成分に分け、その構成などを明らかにすること。「情勢の―があまい」「事故の原因を―する」	analysis
文体	ぶんたい		literary style
分担	ぶんたん		apportionment, sharing
分配	ぶんぱい		division, sharing
分布	ぶんぷ		distribution
分母	ぶんぼ		denominator
文法	ぶんぽう		grammar
文房具	ぶんぼうぐ		stationery
文脈	ぶんみゃく		context
文明	ぶんめい	人知が進んで世の中が開け、精神的、物質的に生活が豊かになった状態。特に、宗教・道徳・学問・芸術などの精神的な文化に対して、技術・機械の発達や社会制度の整備などによる経済的・物質的文化をさす。；シビリゼーション	civilization
分野	ぶんや		field, sphere, realm, division, branch
分離	ぶんり		separation, detachment, segregation, isolation
分量	ぶんりょう		amount, quantity
分類	ぶんるい		classification
分裂	ぶんれつ	一つのまとまりが、いくつかのものに分かれること。「会がーする」	split, division, break up
