逐一	ちくいち	順を追って、一つ残らず取り上げていくこと。何から何まで全部。いちいち。副詞的にも用いる。一つ一つ。詳しく。「事のーはあとで話そう」	 one by one; in detail
遅刻	ちこく	決められた時刻に遅れること。「待ち合わせにーする」	be late; late for
知事	ちじ	各都道府県を統轄し、代表する首長。	a (prefectural) governor
秩序	ちつじょ	物事を行う場合の正しい順序・筋道。順番。「ーを立てて考える」	order; systematically
地方	ちほう	広い地域；中央に対して	district; the country; the provinces
地方分権	ちほうぶんけん	中央集権を排し、統治権力を地方に分散させること。日本国憲法は地方自治を保障し、地方分権主義を採っている。反：中央集権。	decentralization of power
ちゃう	null	»ちまう»てしまう。壱）その動作・行為が完了する、すっかりその状態になる意を表す。弐）そのつもりでないのに、ある事態が実現する意を表す。	to do something by accident; to finish completely
茶葉	ちゃば	null	tea leaves
ちゃんと	null	少しも乱れがなく、よく整っているさま。	regularly; neatly
注射	ちゅうしゃ	注射器を使って薬液などを体内に注入すること。注入する部位によって皮下注射・筋肉注射・静脈注射などという。	injection
抽象的	ちゅうしょうてき	頭の中だけで考えていて、具体性に欠けるさま。反：具体的	abstract
丁度	ちょうど	ある基準に、過不足なく一致するさま。きっかり。ぴったり。きっちり。	exactly; precisely
