抱く	だく	持つ	hold?
脱出	だっしゅつ	危険な場所や好ましくない状態から抜け出すこと。	an escape
段々	だんだん	いくつかの段のあるもの。また特に、階段。「石のーを上る」	gradually; more and more; little by little; step by step
大	だい		great, large
題	だい		title, subject, theme, topic
台	だい		stand, rack, table, support
第	だい		ordinal
第一	だいいち		first, foremost, # 1
大学	だいがく		university
大学院	だいがくいん		graduate school
大学生	だいがくせい		university student
代金	だいきん		price, payment, cost, charge, the money, the bill
大工	だいく		carpenter
大事2	だいじ		important
大小	だいしょう		size
大丈夫	だいじょうぶ		safe, all right, O.K.
大臣	だいじん		cabinet minister
大好き	だいすき		very likeable, like very much
大体	だいたい		general, substantially, outline, main point
代替	だいたい	それに見合う他のもので代えること。かわり。「路面電車を廃止しバスで―する」「―地」	substitution
大胆	だいたん		bold, daring, audacious
大統領	だいとうりょう		president, chief executive
台所	だいどころ		kitchen
台無し	だいなし		mess, spoiled, (come to) nothing
代表	だいひょう		representative, representation, delegation, type, example, model
大分1	だいぶ		very, many, a lot
大部分	だいぶぶん		most part, greater part, majority
大分2	だいぶん		considerably, greatly, a lot
大便	だいべん		feces, excrement, shit
代弁	だいべん		pay by proxy, act for another, speak for another
台本	だいほん		libretto, scenario
題名	だいめい		title
代名詞	だいめいし		pronoun
代用	だいよう		substitution
代理	だいり		representation, agency, proxy, deputy, agent, attorney, substitute, alternate, acting (principal, etc.)
楕円	だえん		ellipse
打開	だかい		break in the deadlock
妥協	だきょう		compromise, giving in
丈2	だけ		only, just, as
打撃	だげき		blow, shock, strike, damage, batting (baseball)
妥結	だけつ		agreement
駄作	ださく		poor work, rubbish
出す	だす		take out, put out, send
脱出	だっしゅつ		escape
脱する	だっする		to escape from, to get out
脱線	だっせん		derailment, digression
脱退	だったい		secession
妥当	だとう		valid, proper, right, appropriate
黙る	だまる		be silent
駄目	だめ		no, no good, hopeless
だらけ		それのために汚れたり、それが一面に広がったりしているさまを表す。「血―」「どろ―」	all over; full; smeared; riddled; everything (has gone wrong)
怠い	だるい		sluggish, feel heavy, languid, dull
誰2	だれ		who
誰か	だれか		someone, somebody
壇	だん		platform, podium, rostrum, (arch) mandala
段	だん		step, stair, flight of steps, grade, rank, level
段階	だんかい		gradation, grade, stage
断崖	だんがい	垂直に切り立ったがけ。きりぎし。「ー絶壁」	cliff; pricipace
断崖絶壁	だんがいぜっぺき	切り立ったがけ。非常に危機的な状況のたとえとして用いられることもある。	a precipitous cliff
団結	だんけつ		unity, union, combination
断言	だんげん		declaration, affirmation
男子	だんし		youth, young man
断水	だんすい		water outage
男性	だんせい		male
断然	だんぜん		firmly, absolutely, definitely
団体	だんたい		party of tourists
段々	だんだん		gradually, by degrees
団地	だんち		multi-unit apartments
断定	だんてい		conclusion, decision
旦那	だんな		master (of house), husband (informal)
暖房	だんぼう		heating
断面	だんめん		cross section
弾力	だんりょく		elasticity, flexibility
