度2	ど		time (occurrence), system
同	どう		the same, the said, ibid.
胴	どう		trunk, body, frame
銅2	どう		copper
働	どう		work, labor
同意	どうい		agreement, consent, same meaning, same opinion, approval
同一	どういつ		identity, sameness, similarity, equality, fairness
動員	どういん		mobilization
同格	どうかく		the same rank, equality, apposition
同感	どうかん		agreement, same opinion, same feeling, sympathy, concurrence
動機	どうき		motive, incentive
同期	どうき		sync (on a computer)
同級	どうきゅう		the same grade, same class
同居	どうきょ		living together
道具	どうぐ		tool
洞窟	どうくつ		cave; cavern
動向	どうこう		trend, tendency, movement, attitude
同行	どうこう	一緒に連れ立って行くこと。主たる人に付き従って行くこと。また、その人。同道。「警察へ―を求める」「社長に―する」	accompany; go with; party (of three);
動作	どうさ		action, movements, motions, bearing, behaviour, manners
洞察	どうさつ		insight, discernment
同志	どうし		same mind, comrade, kindred soul
同士	どうし		fellow, companion, comrade
動詞	どうし		verb
同時	どうじ		simultaneous(ly), concurrent, same time, synchronous
如何しても	どうしても		by all means, at any cost, no matter what, after all, in the long run, cravingly, at any rate, surely
同情	どうじょう		sympathy, compassion, sympathize, pity, feel for
道場	どうじょう		dojo, hall used for martial arts training, mandala
同じる	どうじる	「どう（同）ずる」（サ変）の上一段化。「政府案には―・じない意向だ」	 concede, admit, allow
どうせ		経過がどうであろうと、結果は明らかだと認める気持ちを表す語。いずれにせよ。結局は。	anyhow; after all
同級生	どうきゅうせい	同性を性愛の対象とすること。また、そのような関係。	homosexuality
銅線	どうせん		copper cable
どうぞ宜しく	どうぞよろしく		pleased to meet you
胴体	どうたい		body, torso
撞着語法	どうちゃくごほう	つじつまが合わないこと。矛盾。「話の前後が―する」「自家―」	oxymoron; contradictional expression
同調	どうちょう		sympathy, agree with, alignment, tuning
動的	どうてき		dynamic, kinetic
同等	どうとう		equality, equal, same rights, same rank
堂々	どうどう		magnificent, grand, impressive
道徳	どうとく		morals
導入	どうにゅう		introduction, bringing in, leading in
同伴	どうはん		companion
同封	どうふう		enclosure (e.g. in a letter)
動物	どうぶつ		animal
動物園	どうぶつえん		zoo
同盟	どうめい		alliance, union, league
動揺	どうよう		disturbance, unrest, shaking, trembling, pitching, rolling, oscillation, agitation, excitement, commotion
童謡	どうよう		nursery rhyme, children's song
同様	どうよう	同じであること	same; like
同僚	どうりょう		coworker, colleague, associate
動力	どうりょく		power, motive power, dynamic force
道路	どうろ		road, highway
童話	どうわ		fairy-tale
退かす	どかす	物や人を他の場所へ移して場所をあける。のかせる。「障害物を―・す」	to move (e.g. a heavy stone/car)
退く2	どく		retreat, recede, withdraw
毒	どく		poison
独裁	どくさい		dictatorship, despotism
毒死	どくし	毒薬によって死ぬこと。	poisoning death
独自	どくじ		original, peculiar, characteristic
読者	どくしゃ		reader
読書	どくしょ	本を読むこと。	reading
独身	どくしん		bachelorhood, single, unmarried, celibate
独占	どくせん		monopoly
独創	どくそう		originality
独特	どくとく	そのものだけが特別にもっていること。また、そのさま。「―な（の）雰囲気」	peculiarity, uniqueness, characteristic
独得	どくとく	そのものだけが特別にもっていること。また、そのさま。「―な（の）雰囲気」	peculiarity, uniqueness, characteristic
独房	どくぼう	刑務所や拘置所で、収容者を一人だけ入れておく居室。	a (solitary) cell
独立	どくりつ		independence, self-support
髑髏	どくろ	風雨にさらされて肉が落ち、むきだしになった頭蓋骨。されこうべ。しゃれこうべ。	a skull
退ける2	どける		remove, take away, dislodge, put something out of the way
土産1	どさん		product of the land
土壌	どじょう	地殻の最上部にある、岩石の風化物に動植物の遺体あるいはその分解物が加わったもの。地表からの深さはせいぜい1、2メートルまで。つち。	soil⇒つち(土)
土台1	どだい	物事の基礎。物事の根本。「信頼関係をーから揺るがす事件」	(stone or building) foundation, base, basis
土台2	どだい	根本から。はじめから。もともと。「ー無理な相談だ」「ー勝てるはずがない」	foundation (of a person's character); base on (observations)
何方	どちら		which, who
土手	どて		embankment, bank
怒鳴る	どなる		to shout, to yell
何の	どの		which, what
土俵	どひょう		arena
土木	どぼく		public works
土曜	どよう		Saturday
土曜日	どようび		Saturday
泥	どろ		mud
努力	どりょく	ある目的のために力を尽くして励むこと。「ーが実る」「たゆまずーする」「ー家」	great effort, exertion, endeavour, effort
何れ2	どれ		well, now, let me see, which (of three or more)
何れ位	どれくらい		to what degree; (nobody knows) how (sad I am); how (tall he is)
どれだけ		⇒どれくらい(何れ位)	to what degree; (nobody knows) how (sad I am); how (tall he is)
何々1	どれどれ		which (emphatic)
泥沼	どろぬま		quagmire, march
泥棒	どろぼう		robber
度忘れ	どわすれ		lapse of memory, forget for a moment
鈍感	どんかん		thickheadedness, stolidity
丼	どんぶり		porcelain bowl, bowl of rice with food on top
貪欲	どんよく		gluttonous, ravenous, insatiable
