永遠	えいえん	いつまでも果てしなく続くこと。時間を超えて存在すること。永久。「＿に残る名曲」「＿のスター」	〔永久〕eternity; permanence; 〔不滅〕immortality
永久	えいきゅう	いつまでも限りなく続くこと。永遠。「ーに平和を守る」「ー不変」	eternity; permanence
襟を正す	えりをただす	自己の乱れた衣服や姿勢を整える	straighten up; shape up
援交	えんこう	金銭の援助を伴う交際。主に未成年の女子が行う売春をいう俗語。	compensated dating; prostitute
会1	え		understanding
柄1	え		handle, grip
絵	え		picture, drawing, painting, sketch
重	え		-fold, -ply
映画	えいが		movie, film
映画館	えいがかん		movie theatre (theater), cinema
影響	えいきょう		influence, effect
営業	えいぎょう		business, trade, sales, operations
英語	えいご		the English language
英字	えいじ		English letter (character)
映写	えいしゃ		projection
衛生	えいせい		health, hygiene, sanitation, medical
衛星	えいせい		satellite
映像	えいぞう		reflection, image
英文	えいぶん		sentence in English
英雄	えいゆう		hero, great man
栄養	えいよう		nutrition, nourishment
英和	えいわ		English-Japanese (e.g. dictionary)
笑顔	えがお		smiling face
描く	えがく		draw, paint, sketch, depict, describe
役1	えき		war, campaign, battle
液	えき		liquid, fluid
駅	えき		station
液体	えきたい		liquid, fluid
餌	えさ		bait, feed
枝	えだ		branch
枝豆	えだまめ	大豆を未熟なうちに茎ごと取ったもの。さやのままゆでて食べる。月見豆。	green soybeans
謁見	えっけん		audience
閲覧	えつらん		inspection, reading
絵の具	えのぐ		colors, paints
絵巻	えまき		picture scroll
獲物	えもの		game, spoils, trophy
偉い	えらい		great, celebrated, eminent, terrible, awful, famous, remarkable, excellent
選ぶ	えらぶ		choose
襟	えり		neck, collar, lapel, neckband
得る2	える		get, gain, win
園1	えん		garden (esp. man-made)
縁1	えん		chance, fate, destiny, relation, bonds, connection, karma
塩1	えん		salt
艶1	えん		charming, fascinating, voluptuous
円1	えん		yen, circle
宴会	えんかい		party, banquet
円滑	えんかつ		harmony, smoothness
縁側	えんがわ		veranda, porch, balcony, open corridor
沿岸	えんがん		coast, shore
延期	えんき		postponement, adjournment
演技	えんぎ		acting, performance
婉曲	えんきょく		euphemistic, circumlocution, roundabout, indirect, insinuating
円空	えんくう	［1632?～1695］江戸初期の臨済宗の僧。美濃の人。生涯に12万体の造像を発願し、諸国を遍歴、布教しながら、円空仏とよばれる仏像を多数制作した。	enkuu
園芸	えんげい		horticulture, gardening
演劇	えんげき		theatre play
円周	えんしゅう		circumference
演習	えんしゅう		practice, exercises, manoeuvers
演出	えんしゅつ		production (e.g. play), direction
援助	えんじょ		assistance, aid, support
演じる	えんじる		to perform (a play), to play (a part), to act (a part), to commit (a blunder)
演ずる	えんずる		to perform, to play
演説	えんぜつ		speech, address
沿線	えんせん		along railway line
演奏	えんそう		musical performance
遠足	えんそく		trip, hike, picnic
縁談	えんだん		marriage proposal, engagement
延長	えんちょう		extension, elongation, prolongation, lengthening
煙突	えんとつ		chimney
鉛筆	えんぴつ		pencil
遠方	えんぽう		long way, distant place
円満	えんまん		perfection, harmony, peace, smoothness, completeness, satisfaction, integrity
遠慮	えんりょ		diffidence, restraint, reserve
