街1	がい		~street, ~quarters
害	がい		injury, harm, damage, evil influence
蓋1	がい		cover, lid, cap
外貨	がいか		imported goods, foreign money
外観	がいかん		appearance, exterior, facade
外交	がいこう	外国との交渉・交際。国家相互の関係。ディプロマシー。	diplomacy
外国	がいこく		foreign country
外国人	がいこくじん		foreigner
外出	がいしゅつ	自宅や勤め先などから、よそへ出かけること。「急用でーする」	go outside;
外相	がいしょう		Foreign Minister
害する	がいする		to injure, to damage, to harm, to kill, to hinder
概説	がいせつ		general statement, outline
街頭	がいとう		in the street
該当	がいとう		corresponding, answering to, coming under
概念	がいねん		general idea, concept, notion
外部	がいぶ		the outside, external
概要	がいよう	全体の要点をとりまとめたもの。大要。あらまし。「事件の―」	an outline, a summary ((of))⇒がいりゃく(概略)
外来	がいらい		imported, outpatient clinic
概略	がいりゃく		outline, summary, gist, in brief
概論	がいろん		introduction, outline, general remarks
画家	がか		painter, artist
餓鬼1	がき	生前の悪行のために餓鬼道に落ち、いつも飢えと渇きに苦しむ亡者。	〔餓鬼道の亡者〕a starving ghost
餓鬼2	がき	《食物をがつがつ食うところから》子供を卑しんでいう語。「手に負えないーだ」	〔子供〕a brat
額1	がく		picture (framed), amount (of money)
学	がく		learning, scholarship, erudition, knowledge
学芸	がくげい		arts and sciences, liberal arts
学士	がくし		university graduate
学者	がくしゃ		scholar
学習	がくしゅう		study, learning
学術	がくじゅつ		science, learning, scholarship
学生	がくせい		student
学説	がくせつ		theory
学年	がくねん		year in school, grade in school
楽譜	がくふ		score (music)
学部	がくぶ		department of a university, undergraduate
額縁	がくぶち		frame
学問	がくもん		scholarship, study, learning
学力	がくりょく		scholarship, knowledge, literary ability
学歴	がくれき		academic background
崖	がけ		cliff
雅致	がち		artistry, good taste, elegance, grace
学科	がっか	科目。課程。	department
学会	がっかい		scientific society, academic meeting
がっかり		 元気を出せ・失望する様子	 disappointed
楽器	がっき		musical instrument
学期	がっき		school term
学級	がっきゅう		grade in school
学校	がっこう		school
合唱	がっしょう		chorus, singing in a chorus
合致	がっち		agreement, concurrence, conforming to
月日1	がっぴ		(the) date
合併	がっぺい		combination, union, amalgamation, consolidation, merger, coalition, fusion, annexation, affiliation, incorporation
我慢	がまん		patience, endurance, perseverance, tolerance, self-control, self-denial
画面	がめん	描かれている絵の表面。	〔映画・テレビなどの〕a screen
柄2	がら		pattern, design
絡み	がらみ	密接に関連していること。また、入り組んだ関係。「予算との―があって実現は難しい」→がらみ	about / concerning / related to,
側2	がわ		side, row, surroundings, part, (watch) case
眼科	がんか		ophthalmology
眼球	がんきゅう		eyeball
眼鏡1	がんきょう		spectacles, glasses
頑固	がんこ		stubbornness, obstinacy
願書	がんしょ		written application or petition
頑丈	がんじょう		solid, firm, stout, burly, strong, sturdy
岩石	がんせき		rock
元年	がんねん		first year (of a specific reign)
頑張る	がんばる	困難にめげないで我慢してやり抜く。「一致団結して―・る」	〔踏ん張る〕hold out, hang on
贋物	がんぶつ		imitation, counterfeit, forgery, sham
元来	がんらい		originally, primarily, essentially, logically, naturally
