芸術	げいじゅつ		fine art, the arts
芸能	げいのう		public entertainment, accomplishments, attainments
迎賓館	げいひんかん		reception hall
外科	げか		surgical department
劇	げき		performance, play
激辛	げきから		spicy; hot (spice)
劇作	げきさく	演劇の脚本をつくること。また、その脚本。	play writing
劇作家	げきさく	演劇の脚本や戯曲を書くことを職業とする人。	a playwright; a dramatist
劇場	げきじょう		theatre
激増	げきぞう		sudden increase
劇団	げきだん		troupe, theatrical company
激励	げきれい		encouragement
下車	げしゃ		alighting, getting off
下宿	げしゅく		lodge
下旬	げじゅん	月の21日から末日までの間	last third of month
下水	げすい		drainage, sewage, ditch, gutter
下駄	げた		wooden clogs
月下	げっか		late, under the moon, in the moonlight
月給	げっきゅう		monthly salary
月謝	げっしゃ		monthly tuition fee
月賦	げっぷ		monthly installment
月末	げつまつ		end of the month
月曜	げつよう		Monday
月曜日	げつようび		Monday
下品2	げひん		inferior article
下痢	げり		diarrhoea
原1	げん		original, primitive, primary, fundamental, raw
原因	げんいん	ある物事や、ある状態・変化を引き起こすもとになること。また、その事柄。「失敗の―をつきとめる」「不注意に―する事故」「―不明の病気」⇔結果。	cause
限界	げんかい		limit, bound
弦楽	げんがく		(musical instrument) string
玄関	げんかん		entranceway, entry hall
元気	げんき		health(y), robust, vigor, energy, vitality, vim, stamina, spirit, courage, pep
現金	げんきん		cash, ready money, mercenary, self-interested
原形	げんけい		original form, base form
言語	げんご		language
原稿	げんこう		manuscript, copy
現行	げんこう		present, current, in operation
元号	げんごう		period (of e.g. power)
現在	げんざい		present, up to now, nowadays, modern times, current
原作	げんさく		original work
原産	げんさん	最初に産出したこと。また、したもの。「ヒマラヤ―の品種」	place of origin, habitat
原子	げんし		atom
原始	げんし		origin, primeval
現実	げんじつ		reality
現時点	げんじてん	現在の時点。今 (いま) 現在。「―でははっきりしたことは言えない」	〜で at present; at this time [stage]
元首	げんしゅ		ruler, sovereign
厳重	げんじゅう		strict, severe, firm, strong, secure, rigour
原書	げんしょ		original document
減少	げんしょう		decrease, reduction, decline
現象	げんしょう		phenomenon
現状	げんじょう		present condition, existing state, status quo
現場1	げんじょう		actual spot, scene, scene of the crime
現職	げん‐しょく	現在、ある職務に就いていること。また、その職業や職務。「―の警官」	one's (present) post [office]
現職者	げんしょくしゃ		an incumbent (the holder of an office or post.)
元帥	げんすい		marshal, admiral
元素	げんそ		chemical element
現像	げんぞう		developing (film)
原則	げんそく		principle, general rule
現代	げんだい		nowadays, modern times, present-day
現地	げんち		actual place, local
限定	げんてい		limit, restriction
原典	げんてん		original (text)
原点	げんてん		origin (coordinates), starting point
減点	げんてん		subtract, give a demerit
限度	げんど		limit, bounds
現に	げんに		actually, really
現場2	げんば		actual spot, scene, scene of the crime
原爆	げんばく		atomic bomb
原発	げんぱつ	原子炉で発生した熱エネルギーで蒸気をつくり、タービン発電機を運転して発電する方法。原発 (げんぱつ) 。	「原子力発電」「原子力発電所」の略。nuclear power
原文	げんぶん		the text, original
玄米	げんまい		brown rice
厳密	げんみつ		strict, close
原油	げんゆ		crude oil
原理	げんり		principle, theory, fundamental truth
原料	げんりょう		raw materials
言論	げんろん		discussion
