不正	ふせい	正しくないこと。正義に反する。道義に反する。法律に反する。	injustice; unjust; dishonest; unlawful; illegal
普通	ふつう	特に変わっていないこと。；通常	usual; common
不当	ふとう	正当・適当でないこと	unjust
不凍液	ふとうえき	不凍剤。 アンチフリーズ	antifreeze
歩	ふ		pawn (in chess or shogi)
不安	ふあん		anxiety, uneasiness, insecurity, suspense
不意	ふい		sudden, abrupt, unexpected, unforeseen
封	ふう		seal
風景	ふうけい		scenery
封鎖	ふうさ		blockade, freezing (funds)
封じる	ふうじる		to seal (letter) (2) to prevent; to forbid; to block
風習	ふうしゅう		custom
風船	ふうせん		balloon
風俗	ふうぞく		manners, customs, sex service, sex industry
風土	ふうど		natural features, topography, climate, spiritual features
封筒	ふうとう		envelope
夫婦	ふうふ		married couple, spouses, husband and wife, couple, pair
不運	ふうん		unlucky, misfortune, bad luck, fate
笛	ふえ		flute
増える	ふえる		increase
殖える	ふえる		increase, multiply
不可	ふか		wrong, bad, improper, unjustifiable, inadvisable
深い1	ふかい	表面から底まで、また入り口から奥までの距離が長い。「―・い川」「―・い茶碗」「椅子に―・く腰掛ける」「山―・く分け入る」「彫りの―・い顔」⇔浅い。	〔底までの隔たりが大きい〕deep
深い2	ふかい	密度が濃い。また、密生している。程度が大きい。「霧が―・い」「―・い草むら」	〔程度が大きい〕
深い3	ぶかい	程度のはなはだしいさまを表す。「情け―・い」「疑り―・い」	〔程度が大きい〕
不可欠	ふかけつ		indispensable, essential
深さ	ふかさ	ふかいこと。また、その度合い。	〔穴などの〕depth
更かす	ふかす	夜遅くまで起きている。夜ふかしをする。「議論で夜をー・す」	stay up 「till late [at night]
深まる	ふかまる		deepen, heighten, intensify
深める	ふかめる		to deepen, to heighten, to intensify
不規則	ふきそく		irregularity, unsteadiness, disorderly
不吉	ふきつ	縁起が悪いこと。不運の兆しがあること。また、そのさま。不祥。「―な予感がする」「―な夢」	ominous, sinister, bad luck, ill omen, inauspiciousness
普及	ふきゅう		diffusion, spread
不況	ふきょう		recession, depression, slump
布巾	ふきん		tea-towel, dish cloth
付近	ふきん		neighbourhood, vicinity, environs
吹く	ふく		blow (wind, etc.), emit
福	ふく		good fortune
服	ふく		clothes
拭く	ふく		wipe, dry
復旧	ふくきゅう		restoration, restitution, rehabilitation
複合	ふくごう		composite, complex
複雑	ふくざつ		complicated
副詞	ふくし		adverb
福祉	ふくし	公的配慮によって社会の成員が等しく受けることのできる安定した生活環境。「公共ー」「ー事業」	welfare, well-being
複写	ふくしゃ		copy, duplicate
復習	ふくしゅう		review
復讐	ふくしゅう	かたきうちをする。仕返しをする。報復。「―する機会を待つ」	revenge; 〔激しい復しゅう〕vengeance
複数	ふくすう		plural, multiple
服装	ふくそう		garments
含む	ふくむ		hold in the mouth, bear in mind, understand, cherish, harbor, contain, comprise, have, hold, include, embrace, be full of
含める	ふくめる		include, instruct, make one understand, put in one´s mouth
覆面	ふくめん		mask, veil, disguise
膨らます	ふくらます		swell, expand, inflate, bulge
膨らむ	ふくらむ		expand, get big, become inflated
膨れ	ふくれ	ふくれること。また、ふくれたところや、もの。「水―」「火―」	bulge, bump
脹れ	ふくれ	ふくれること。また、ふくれたところや、もの。「水―」「火―」	bulge, bump
膨れる	ふくれる		to get cross, to get sulky, to swell (out), to expand, to be inflated, to distend, to bulge
袋	ふくろ		bag, sack
不景気	ふけいき		business recession, hard times, depression, gloom, sullenness, cheerlessness
不潔	ふけつ		unclean, dirty, filthy, impure
更ける	ふける		get late, advance, wear on,
老ける	ふける		to age
不幸	ふこう		unhappiness, sorrow, misfortune, disaster, accident, death
富豪	ふごう		wealthy person, millionaire
符号	ふごう		sign, mark, symbol
布告	ふこく		edict, ordinance, proclamation
負債	ふさい		debt, liabilities
夫妻	ふさい		man and wife, married couple
不在	ふざい		absence
塞がる	ふさがる		be plugged up, be shut up
塞ぐ	ふさぐ		stop up, close up, block (up), occupy, fill up, take up, stand in another´s way, plug up, shut up
不山戯る	ふざける		to romp, to gambol, to frolic, to joke, to make fun of, to flirt
相応しい	ふさわしい		appropriate
節2	ふし		node, section, occasion, time
不思議	ふしぎ		wonder, miracle, strange, mystery, marvel, curiosity
不死鳥	ふしちょう		phoenix
不自由	ふじゆう		discomfort, disability, inconvenience, destitution
不順	ふじゅん		irregularity, unseasonableness
負傷	ふしょう		injury, wound
不祥事	ふしょうじ	関係者にとって不都合な事件、事柄。類語：凶事・弔事「社員がーを起こす」	scandal; a disgraceful [deplorable] affair
不振	ふしん		dullness, depression, slump, stagnation
不審	ふしん		incomplete understanding, doubt, question, distrust, suspicion, strangeness, infidelity
夫人	ふじん		wife, Mrs., madam
婦人	ふじん		woman, female
伏す	ふす	腹ばいになる。また、地面にひざをつくなどして頭を深く下げる。「地にー・す」	bow down; bend down
風情1	ふぜい	風流・風雅の趣・味わい。情緒。「ーのある庭」	tasteful; elegant; poetic
風情2	ふぜい	けはい。ようす。ありさま。「どことなく哀れなー」	appearance
風情3	ふぜい	名詞に付いて、...のようなもの、...に似通ったもの、などの意を表す。	(traders and) the like; (no place for a fellow) like (that)
防ぐ	ふせぐ		defend (against), protect, prevent
不足	ふそく		insufficiency, shortage, deficiency, lack
付属	ふぞく		attached, belonging, affiliated, annexed, associated, subordinate, incidental, dependent, auxiliary
附属	ふぞく		attached, belonging, affiliated, annexed, associated, subordinate, incidental, dependent, auxiliary
蓋2	ふた		cover, lid, cap
双子	ふたご		twins, a twin
再び	ふたたび		again, once more, a second time
二つ	ふたつ		two
二人2	ふたり		two persons, two people, pair, couple
負担	ふたん	荷物を肩や背にかつぐこと。また、その荷物。義務・責任などを引き受けること。また、その義務・責任など。「費用は全員でーする」	burden, charge, responsibility
普段	ふだん		usually, habitually, ordinarily, always
縁2	ふち		(surrounding) edge
不調	ふちょう		bad condition, not to work out (ie a deal), disagreement, break-off, disorder, slump, out of form
仏1	ふつ		French
不通	ふつう		suspension, interruption, stoppage, tie-up, cessation
二日	ふつか		second day of the month, two days
復活	ふっかつ		revival (e.g. musical), restoration
復興	ふっこう		revival, renaissance, reconstruction
払拭	ふっしょく	はらいぬぐい去ること。すっかり取り除くこと。一掃。ふっしき。「因習をーする」「保守色をーする」	wiping; sweeping away
沸騰	ふっとう		boiling, seething
不定1	ふてい	決まっていないこと。一定しないこと。また、そのさま。「居所が―な人」「住所―」	〜の〔不安定な〕unsettled; 〔不明確な〕indefinite
不定2	ふじょう	さだまらないこと。確かでないこと。また、そのさま。ふてい。「老少―」「生死 (しょうじ) ―」	unforseen; uncertain; unexpected
筆	ふで		writing brush
太い	ふとい		fat, thick
不動産	ふどうさん		real estate
不透明	ふとうめい	透明でないこと。事の成り行きや実状などが、はっきり示されないこと。また、そのさま。「金の流れがーだ」	opaque
太る	ふとる		grow fat
布団	ふとん		futon
船便	ふなびん		surface mail (ship)
赴任	ふにん		(proceeding to) new appointment
舟	ふね		ship, boat, watercraft, shipping, vessel, steamship
船	ふね		ship, boat, watercraft, shipping, vessel, steamship
腐敗	ふはい		decay, depravity
不評	ふひょう		bad reputation, disgrace, unpopularity
不便1	ふびん		pity, compassion
吹雪	ふぶき		snow storm
不服	ふふく		dissatisfaction, discontent, disapproval, objection, complaint, protest, disagreement
不平	ふへい		complaint, discontent, dissatisfaction
普遍	ふへん		universality, ubiquity, omnipresence
不便2	ふべん		inconvenience
不法	ふほう	法律従わない	illegal
滞在	たいざい	止めること	stay
不法滞在	ふほうたいざい	一般に人が出入国関係法令に違反した状態で外国に滞在している状態をさす。不法滞留。	illegal stay
不法滞留	ふほうたいりゅう一	般に人が出入国関係法令に違反した状態で外国に滞在している状態をさす。不法滞在。	illegal stay
不法滞在者	ふほうたいざいしゃ		illegal immigrant
父母2	ふぼ		father and mother, parents
踏まえる	ふまえる		to be based on, to have origin in
不満	ふまん	もの足りなく、満足しないこと。また、そのさまやそう思う気持ち。不満足。「―を口にする」「―な点が残る」「欲求―」	dissatisfaction, displeasure, discontent, complaints, unhappiness
不満気	ふまんげ	不満お様子	discontent;
文1	ふみ		letter, writings
不味	ふみ		distaste
踏切	ふみきり		railway crossing, level crossing, starting line, scratch, crossover
踏む	ふむ		step on
不明	ふめい		unknown, obscure, indistinct, uncertain, ambiguous, ignorant, lack of wisdom, anonymous, unidentified
麓	ふもと		foot, the bottom, base (of a mountain)
増やす	ふやす		to increase, to add to, to augment
殖やす	ふやす		to increase, to add to, to augment
冬	ふゆ		winter
富裕	ふゆう	財産が多くあって、生活が豊かなこと。また、そのさま。裕福。「―な生活」	wealth; ⇒ゆうふく(裕福)　affluence [ǽfluns]; wealth
扶養	ふよう		support, maintenance
不利	ふり		disadvantage, handicap, unfavorable, drawback
振り	ふり		pretence, show, appearance
振り返る	ふりかえる	後方へ顔を向ける。振り向く。「背後の物音に―・る」	〔振り向く〕turn around [round]; look back
振り仮名	ふりがな		hiragana over kanji, pronunciation key
振り込む	ふりこむ		Make a payment via bank deposit transfer
振り出し	ふりだし		outset, starting point, drawing or issuing (draft)
不良	ふりょう		badness, delinquent, inferiority, failure
浮力	ふりょく		buoyancy, floating power
降る	ふる		to precipitate, to fall (e.g. rain)
振る	ふる		wave, shake, swing, sprinkle, cast (actor), allocate (work)
古い	ふるい		old (not person), aged, ancient, antiquated, stale, threadbare, outmoded, obsolete article
震える	ふるえる		shiver, shake, quake
振舞う	ふるまう		behave, conduct oneself, entertain
震わせる	ふるわせる		to be shaking, to be trembling
触れる	ふれる		touch, be touched, touch on a subject, feel, violate (law, copyright, etc.), perceive, be moved (emotionally)
風呂	ふろ		bath
付録	ふろく		appendix, supplement
風呂敷	ふろしき		wrapping cloth, cloth wrapper
分1	ふん		minute
糞2	ふん	動物が肛門から排泄 (はいせつ) する食物のかす。大便。くそ。	excrement; ((文))((米)) feces，((英)) faeces [físiz]; ((俗)) a turd; ((卑)) shit; 〔牛・馬など大きい動物の〕dung; 〔特に鳥の〕droppings
雰囲気	ふんいき		atmosphere (e.g. musical), mood, ambience
噴火	ふんか		eruption
憤慨	ふんがい		indignation, resentment
紛糾	ふんきゅう		complication, confusion
紛失	ふんしつ		losing something
