生かす	いかす	生き返らせる	spare a person's life; bring ((a person)) back to life; revive ((a person)); make use of; utilize
行き成り	いきなり	何の前触れもなく急に事が起きるさま。突然。知らせなしに。	suddenly; all of a sudden; without (any) warning
意識	いしき	心が知覚を有しているときの状態。「ーを取り戻す」	consciousness;
何れ	いずれ	いろいろな過程を経たうえでの結果をいう。いずれにしても。結局。どのみち	anyhow; in any case;
何れにしても	いずれにしても	どちらを選ぶにしても。事情がどうであろうとも。どっちみち。いずれにせよ。	whichever
何れにせよ	いずれにせよ	経過がどうであろうと、結果は明らかだと認める気持ちを表す語。どうせ。結局は。	at any rate; anyhow
何時の間に	いつのまに	いつ。いつかわからないうちに。「ー仕上げたのだろう」	all too soon; without our noticing it; before (we) know it; not sure since when
何時までも	いつまでも	ある事柄が終わるときの限度がないさま。末長く。「―お幸せに」	forever; as long as you like
糸口1	いとぐち	巻いてある糸の端。糸の先。	the end of a thread
糸口2	いとぐち	きっかけ。手がかり。	a lead; a clue
隠蔽	いんぺい	人の所在、事の真相などを故意に覆い隠すこと。「証拠をーする」「ー工作」	hiding; concealment
胃	い		stomach
依	い		depending on
伊井	いい		that one, Italy
良い	いい		good
いい加減	いいかげん		moderate, right, random, not thorough, vague, irresponsible, halfhearted
言い方	いいかた	話のしかた。言葉づかい。言いよう。「持って回ったー」「もう少し何とかーがあったろうに」	expression; saying; way of speech
言い出す	いいだす		start talking, propose, suggest, break the ice
言い付ける	いいつける		tell, tell on (someone), to order, to charge, to direct
言い訳	いいわけ		excuse, explanation
委員	いいん		committee member
委員会	いいんかい	上位の合議体のために作業する、委員によって構成される組織体。また、その会議。	a committee ((on)); 〔特に政府任命の〕a commission on, a board; 〔会議〕a committee meeting
言う	いう		to say
家	いえ		house, family
家出	いえで		running away from home, leaving home
家主1	いえぬし		landlord
以下	いか		~ or less than?not more than
以外	いがい		except for, other than
意外	いがい		unexpected, surprising
如何	いかが		how, in what way
医学	いがく		medical science
雷1	いかずち		thunder
如何に	いかに		how?, in what way?, how much?, however, whatever
如何にも	いかにも		indeed, really, phrase meaning agreement
怒り	いかり		anger, hatred
怒る1	いかる		to get angry, to be angry
息	いき		breath, tone
行き	いき		going
粋	いき		chic, style, purity, essence
意義	いぎ		meaning, significance
異議	いぎ		objection, dissent, protest
生き生き	いきいき		vividly, lively
勢い	いきおい		force, vigor, energy, spirit, life, authority, influence, power, might, tendency, necessarily
域外	いきがい		outside the area
意気込む	いきごむ		to be enthusiastic about
経緯	いきさつ		details, whole story, sequence of events, particulars, how it started, how things got this way, complications, position
行き違い	いきちがい		misunderstanding, estrangement, disagreement, crossing without meeting, going astray
生き物	いきもの		animal
生きる	いきる		live, exist
行く	いく		to go
軍1	いくさ		war, battle, campaign, fight
戦	いくさ		war, battle, campaign, fight
育児	いくじ		childcare, nursing, upbringing
育成	いくせい		rearing, training, nurture, cultivation, promotion
幾多	いくた		many, numerous
幾つ	いくつ		how many?, how old?
幾分	いくぶん		somewhat
幾ら	いくら		how much?, how many?
池	いけ		pond
生け花	いけばな		flower arrangement
活ける	いける		to arrange (flowers)
異見	いけん		different opinion, objection
意見	いけん		opinion
以後	いご		from now on, thereafter
意向	いこう		intention, idea, inclination
移行	いこう		switching over to
以降	いこう		on and after, hereafter, thereafter
些か	いささか	数量・程度の少ないさま。ほんの少し。わずか。ついちょっと。「ーなりともお役に立ちたい」「この問題はー難しい」	a little; a bit; slightly
勇ましい	いさましい		brave, valiant, gallant, courageous
石	いし		stone
意志	いし		will, volition
意思	いし		intention, purpose
医師	いし		doctor
意地	いじ		disposition, spirit, willpower, obstinacy, backbone, appetite
維持	いじ		maintenance, preservation
碑	いしぶみ		stone monument bearing an inscription
苛める	いじめる		to tease, to torment, to persecute, to chastise
医者	いしゃ		doctor (medical)
移住	いじゅう		migration, immigration
衣装	いしょう		clothing, costume, outfit, garment, dress
以上	いじょう		more than, over
異常	いじょう		strangeness, abnormality, disorder
衣食住	いしょくじゅう		necessities of life (food, clothing, etc.)
弄る	いじる		to touch, to tamper with
意地悪	いじわる		malicious, ill-tempered, unkind
椅子	いす		chair
泉	いずみ		spring, fountain
異性	いせい		the opposite sex
遺跡	いせき		historic ruins (remains relics)
依然	いぜん		still, as yet
以前	いぜん		ago, since, before, previous
忙しい	いそがしい		busy, irritated
急ぐ	いそぐ		hurry (up)
依存	いそん		dependence, dependent, reliance
板	いた		board, plank
痛い	いたい		painful
偉大	いだい	すぐれて大きいさま。りっぱであるさま。「ーな業績」「ーな人物」	greatness
委託	いたく		consign (goods (for sale) to a firm), entrust (person with something), commit
抱く	いだく		embrace, hug, harbour, entertain, sleep with
致す	いたす		do
悪戯	いたずら		tease, prank, trick, practical joke, mischief
頂	いただき		(top of) head, summit, spire
頂く1	いただく	頭にのせる。かぶる。また、頭上にあるようにする。「王冠を―・く」「雪を―・いた山々」「星を―・いて夜道を行く」	〔上に載せる〕have (a hat) on; wear (a hat, a crown); be crowned (with)
頂く2	いただく	「食う」「飲む」の謙譲語。	take food or drink
頂く3	いただく	「もらう」の謙譲語。「激励の言葉を―・く」	receive (polite)
頂く4	いただく	（動詞の未然形に使役の助動詞「せる」「させる」の連用形、接続助詞「て」を添えた形に付いて）自己がある動作をするのを、他人に許してもらう意を表す。「させてもらう」の謙譲語。「あとで読ませて―・きます」「本日は休業させて―・きます」	receiving something for oneself;   (knitt this/explain this) for me
至って	いたって		very much, exceedingly, extremely
痛み	いたみ		pain, ache, sore, grief, distress
痛む	いたむ		to hurt, to feel a pain, to be injured
痛める	いためる		to hurt, to injure, to cause pain, to worry, to bother, to afflict, to be grieved over
至る	いたる		come, arrive
労る	いたわる		to pity, to sympathize with, to console, to care for, to be kind to
一	いち		one
市1	いち		market, fair
位地	いち		place, situation, position, location
位置	いち		location, position
一々	いちいち		one by one, separately
一応	いちおう		once, tentatively, in outline, for the time being
一概に	いちがいに		unconditionally, as a rule
一言1	いちげん		single word
一見	いちげん		unfamiliar, never before met
一時	いちじ		one hour, short time, once, temporarily, at one time
一日1	いちじつ		one day, first of month
一定1	いちじょう		fixed, settled, definite, uniform, regularized, defined, standardized, certain, prescribed
著しい	いちじるしい		remarkable, considerable
一段と	いちだんと		greater, more, further, still more
一度	いちど		once, one time
一同	いちどう		all present, all concerned, all of us
一度に	いちどに		all at once
一日2	いちにち		first of month
一人1	いちにん		one person
市場	いちば		town market, the marketplace (economics)
一番	いちばん		best, first, number one, a game, a round, a bout, a fall, an event (in a meet)
一部	いちぶ		one copy e.g. of a document, a part, partly, some
一部分	いちぶぶん		a part
一別	いちべつ		parting
一面	いちめん		one side, one phase, front page, the other hand, the whole surface
一目	いちもく		a glance, a look, a glimpse
一様	いちよう		uniformity, evenness, similarity, equality, impartiality
一律	いちりつ		evenness, uniformity, monotony, equality
