可	か		passable
仮	か		tentative, provisional
個	か		article counter
課	か		counter for chapters (of a book)
科	か		department, section
蚊	か		mosquito
下位	かい		low rank, subordinate, lower order (e.g. byte)
貝	かい		shell, shellfish
回	かい		counter for occurrences
会2	かい		meeting, assembly, party, association, club
階	かい		-floor (counter), stories
改悪	かいあく		deterioration, changing for the worse
会員	かいいん		member, the membership
海運	かいうん		maritime, marine transportation
絵画	かいが		picture
開会	かいかい		opening of a meeting
海外	かいがい		foreign, abroad, overseas
改革	かいかく		reform, reformation, innovation
貝殻	かいがら		shell
会館	かいかん		meeting hall, assembly hall
海岸	かいがん		sea shore
会議	かいぎ		meeting
階級	かいきゅう		class, rank, grade
海峡	かいきょう		channel
快挙	かいきょ	胸のすくような、すばらしい行為。痛快な行動。	a splendid [heroic] achievement
解禁	かいきん	法律などで禁止していたことを解くこと。「アユ漁がーされる」	lifting of ban; unlocking
会計	かいけい		account, finance, accountant, treasurer, paymaster, reckoning, bill
解決	かいけつ		settlement, solution, resolution
会見	かいけん		interview, audience
介護	かいご		nursing
会合	かいごう		meeting, assembly
開催	かいさい	 集会や催し物を開き行うこと	holding (of an event opening)
改札	かいさつ		examination of tickets
解散	かいさん		breakup, dissolution
開始	かいし		start, commencement, beginning
会社	かいしゃ		company, corporation
解釈	かいしゃく		explanation, interpretation
介錯	かいしゃく	切腹に際し、本人を即死させてその負担と苦痛を軽減するため、介助者が背後から切腹人の首を刀で斬る行為。	hara-kiri assistant (2nd in command)
介錯人	かいしゃくにん	切腹する人のそばに付き添っていて、その人が刀を腹に突き刺すと同時に、その首を斬って死を助けてやること。また、その人。	a person assisting an act of hara-kiri
改修	かいしゅう		repair, improvement
回収	かいしゅう		collection, recovery
怪獣	かいじゅう		monster
解除	かいじょ		cancellation, rescinding, release, calling off
会場	かいじょう		the place of meeting
海水浴	かいすいよく		sea bathing, seawater bath
回数	かいすう		number of times, frequency
回数券	かいすうけん		book of tickets
改正	かいせい		revision, amendment, alteration
快晴	かいせい		good weather
解説	かいせつ		explanation, commentary
回線	かいせん	電信・電話をつなぐ線。「通信ー」	circuit; (communication) line
改善	かいぜん		betterment, improvement, incremental and continuous improvement
回送	かいそう		forwarding
階層	かいそう		class, level, stratum, hierarchy
改造	かいぞう	改装	remodeling; reshuffle
開拓	かいたく		reclamation (of wasteland), cultivation, pioneer
会談	かいだん		conversation, conference, discussion, interview
階段	かいだん		stairs
開通	かいつう		opening, open
改訂	かいてい		revision
改定	かいてい		reform
快適	かいてき		pleasant, agreeable, comfortable
回転	かいてん		rotation, revolution, turning
回答	かいとう		reply, answer
解答	かいとう		answer, solution
街道	かいどう		highway
介入	かいにゅう		intervention
開発	かいはつ		development, exploitation
海抜	かいばつ		height above sea level
開封	かいふう	郵便物などの封を切ること。「無断でーする」	open (a letter)
回復	かいふく		recovery (from illness), improvement, rehabilitation, restoration
介抱	かいほう		nursing, looking after
解放	かいほう		release, liberation, emancipation
開放	かいほう		open, throw open, liberalization
解剖	かいぼう		dissection, autopsy
買い物	かいもの		shopping
海洋	かいよう		ocean
回覧	かいらん		circulation
海流	かいりゅう		ocean current
改良	かいりょう		improvement, reform
回路	かいろ		circuit (electric)
会話	かいわ		conversation
買う	かう		buy
飼う	かう		keep, raise, feed
返す	かえす		return (something)
帰す	かえす		to send back
却って	かえって		on the contrary, rather, all the more, instead
帰り	かえり		return (noun)
省みる	かえりみる		to reflect
顧みる	かえりみる		to look back, to turn around, to review
変える	かえる	変化する	change
反る	かえる		change, turn over, turn upside down
返る	かえる		to return, to come back, to go back
替える	かえる		to exchange, to interchange, to substitute, to replace
代える	かえる		to exchange, to interchange, to substitute, to replace
換える	かえる		to exchange, to interchange, to substitute, to replace
帰る	かえる		go back, go home, come home, return
家屋	かおく		house, building
顔付き	かおつき		(outward) looks, features, face, countenance, expression
香り	かおり		aroma, fragrance, scent, smell
課外	かがい		extracurricular
抱える	かかえる		hold or carry under or in the arms
価格	かかく		price, value, cost
化学	かがく		chemistry
科学	かがく		science
掲げる	かかげる		to publish, to print, to carry (an article), to put up, to hang out, to hoist, to fly (a sail), to float (a flag)
鏡	かがみ		mirror
輝く	かがやく		shine, glitter, sparkle
係り	かかり		official, duty, person in charge
係長	かかりちょう	官庁・会社などでの役職の一。その部署の係員の長で、普通は課長の下の地位。	a subsection chief
掛かる	かかる		take (time), need, cost
