毛	け		fur, hair, wool
計	けい		plan
刑	けい		penalty, sentence, punishment
傾	けい		lean, incline
系	けい	ある関係のもとにつながった統一体。体系。	system, lineage, group
頃1	けい		time, about, toward, approximately (time)
敬意	けいい		respect, honour
経営	けいえい		management, administration
経過	けいか		passage, expiration, progress
警戒	けいかい		warning, admonition, vigilance
軽快	けいかい		rhythmical (e.g. melody), casual (e.g. dress), light, nimble
計画	けいかく	ある事を行うために、あらかじめ方法や順序などを考えること。また、その考えの内容。もくろみ。プラン。予定。つもり。「―を立てる」「―を練る」「工場移転を―する」	plan
警官	けいかん		policeman
計器	けいき		meter, gauge
景気	けいき		condition, state, business conditions, the times
契機	けいき		opportunity, chance
敬具	けいぐ		Sincerely yours
経験	けいけん	実際に見たり、聞いたり、行ったりすること。また、それによって得られた知識や技能など。「―を積む」「―が浅い」「いろいろな部署を―する」	experience
軽減	けいげん		abatement
稽古	けいこ		practice, training, study
敬語	けいご		honorific, term of respect
傾向	けいこう		tendency, trend, inclination
蛍光灯	けいこうとう		fluorescent lamp, person who is slow to react
警告	けいこく	よくない事態が生じそうなので気をつけるよう、告げ知らせること。「再三の―を無視する」「事前に―する」	warning, advice
渓谷	けいこく		valley
掲載	けいさい		appearance (e.g. article in paper)
経済	けいざい		economy
警察	けいさつ	社会公共の秩序と安全を維持するため、国家の統治権に基づき、国民に命令・強制する作用。行政・・。	the police
警察官	けいさつかん		a policeman
計算	けいさん		calculation, reckoning
掲示	けいじ		notice, bulletin
刑事	けいじ		criminal case, (police) detective
形式	けいしき		form, formality, format, mathematics expression
傾斜	けいしゃ		inclination, slant, slope, bevel, list, dip
形成	けいせい		formation
形勢	けいせい		condition, situation, prospects
継続1	けいぞく	そのまま続くこと	continuation (of)
継続2	けいぞく	中断してはまた続くこと	(〜に) continual(ly)
軽率	けいそつ		rash, thoughtless, careless, hasty
携帯	けいたい		carrying something
形態	けいたい		form, shape, figure
毛糸	けいと		knitting wool
経度	けいど		longitude
系統	けいとう		system, family line, lineage, ancestry, geological formation
競馬	けいば		horse racing
刑罰	けいばつ		judgement, penalty, punishment
経費	けいひ		expenses, cost, outlay
警備	けいび		defense, guard, policing, security
警部	けいぶ		police inspector
軽蔑	けいべつ		scorn, disdain
契約	けいやく	二人以上の当事者の意思表示の合致によって成立する法律行為。売買・交換・贈与・貸借・雇用・請負・委任・寄託など。「―を結ぶ」「三年間の貸借を―する」→単独行為 →合同行為	contract, compact, agreement
経由	けいゆ		go by the way, via
形容詞	けいようし		"true" adjective
形容動詞	けいようどうし		adjectival noun, quasi-adjective
経歴	けいれき		personal history, career
経路	けいろ		course, route, channel
怪我	けが		injury, get hurt, be injured
汚す1	けがす		to disgrace, to dishonour
汚らわしい	けがらわしい		filthy, unfair
汚れ	けがれ		uncleanness, impurity, disgrace
汚れる1	けがれる		to get dirty, to become dirty
毛皮	けがわ		fur, skin, pelt
今朝	けさ		this morning
景色	けしき		scenery
消しゴム	けしゴム		eraser, India rubber
化粧	けしょう		make-up (cosmetic)
化粧室	けしょうしつ	化粧や身づくろいをするための部屋。洗面所。便所。	bath room
消す	けす		erase, delete, turn off power
削る	けずる		shave (wood or leather), sharpen, plane, whittle, scrape off, reduce, remove, erase
桁	けた		column, beam, digit
獣	けだもの		beast, brute
傑	けつ		excellence
血圧	けつあつ		blood pressure
決意	けつい		decision, determination
血液	けつえき		blood
結果	けっか		result, consequence; outcome
結核	けっかく		tuberculosis, tubercule
欠陥	けっかん		defect, fault, deficiency
血管	けっかん		blood vessel
決議	けつぎ		resolution, vote, decision
結局	けっきょく		after all, eventually
決行	けっこう		doing (with resolve), carrying out (i.e. a plan)
結構	けっこう		splendid, nice, wonderful, delicious, sweet, construction, architecture, well enough, tolerably
結合	けつごう		combination, union
結婚	けっこん		marriage
傑作	けっさく	作品が非常にすぐれたできばえであること。また、その作品。「数々のーを残す」	a masterpiece; a fine piece of work
決算	けっさん		balance sheet, settlement of accounts
決して	けっして		definitely, by no means, not at all
結晶	けっしょう		crystal, crystallization
決勝	けっしょう		decision of a contest, finals (in sports)
決心	けっしん		determination, resolution
結成	けっせい		formation
欠席	けっせき		absence, non-attendance
結束	けっそく		union, unity
欠損	けっそん	物の一部が欠けてなくなること	a deficit, loss
決断	けつだん		decision, determination
決定	けってい		decision, determination
欠点	けってん		faults, defect, weakness
欠乏	けつぼう		want, shortage, famine
結論	けつろん		reason, sum up, conclude
蹴飛ばす	けとばす		to kick away, to kick off, to kick (someone), to refuse, to reject
気配2	けはい		indication, market trend, worry
煙い	けむい		smoky
煙たい	けむたい		smoky, feeling awkward
煙	けむり		smoke, fumes
煙る	けむる		to smoke (e.g. fire)
家来	けらい		retainer, retinue, servant
蹴る	ける		kick
険しい	けわしい		inaccessible place, impregnable position, steep place, sharp eyes
県	けん		prefecture
権	けん		authority, the right (to do something)
券	けん		ticket, coupon, bond, certificate
圏	けん		sphere, circle, range
剣1	けん	両刃 (もろは) の刀。また、広く両刃・片刃の区別なく大刀 (だいとう) をいう。つるぎ。太刀 (たち) 	a sword; 〔フェンシング用〕an epee; 〔短剣〕a dagger
権威	けんい		authority, power, influence
検閲	けんえつ	査察	inspection
見解	けんかい		opinion, point of view
見学	けんがく		inspection, study by observation, field trip
研究	けんきゅう		study, research
研究室	けんきゅうしつ		study (room)
謙虚	けんきょ		modesty, humility
検挙	けんきょ	検察官・司法警察職員などが認知した犯罪行為について被疑者を取り調べること。容疑者を関係官署に引致する場合をさすこともある。「収賄容疑で―する」	arrest
兼業	けんぎょう		side line, second business
県警	けんけい	県の警察	prefecture police
権限	けんげん		power, authority, jurisdiction
健康	けんこう	異状があるかないかという面からみた、からだの状態。「ーがすぐれない」	health
検査	けんさ		inspection (e.g. customs, factory), examination
健在	けんざい		in good health, well
検事	けんじ		public prosecutor
研修	けんしゅう		training
懸賞	けんしょう		offering prizes, winning, reward
検証1	けんしょう	実際に物事に当たって調べ、仮説などを証明すること。「理論の正しさを―する」	〔実証〕(a) verification; verify (a hypothesis)
