機会	きかい	事をするのに最も都合のよい時機。ちょうどよい折。チャンス。	a chance; an opportunity
聞く	きく	null	null
危険	きけん	null	danger
寄生	きせい	生物の寄生。(スル)人に頼って暮らすこと	parasitism; (スル) be parasitic
機銃	きじゅう	機の銃	machine gun
切っ掛け1	きっかけ	初め	a start; 〜で triggered
切っ掛け2	きっかけ	機会	chance; opportunity
切っ掛け3	きっかけ	物事を始める手がかり。糸口。手掛かり	a clue; a lead
決める	きめる	null	null
規約	きやく	団体内で協議して決めた規則。「組合ー」「連盟ー」	an agreement; the articles (of an association); the bylaws (of a corporation); rules
教育	きょういく	訓練；教えること	education
凶器	きょうき	人を殺傷するために用いられる道具	a (lethal) weapon
救出	きゅうしゅつ	危険な状態から救い出すこと。	rescue
窮地	きゅうち	追い詰められて逃げ場のない苦しい状態や立ち場。苦境「ーに陥る」	a difficult situation; a predicament; 「ーに陥った」caught in a dilemma.
強要	きょうよう	無理に要求すること。無理やりさせようとすること。	extortion; coercion; strong persuation
着る1	きる	衣類などを身につける。	put on; wear
謹慎	きんしん	null	penitence; discipline; house arrest
謹慎処分	null	 discipline罰	null
木	き		tree, wood, timber
生1	き		pure, undiluted, raw, crude
期	き		period, time
気	き		spirit, mind
気圧	きあつ		atmospheric pressure
黄色2	きいろ		the color yellow (noun)
黄色い	きいろい		yellow
消える	きえる		go out, vanish, disappear
記憶	きおく		memory, recollection, remembrance
気温	きおん		temperature
器械	きかい		instrument
機械	きかい		machine, mechanism
危害	きがい		injury, harm, danger
着替え	きがえ		changing clothes, change of clothes
規格	きかく		standard, norm
企画	きかく		planning, project
着飾る	きかざる		to dress up
気兼ね	きがね		hesitance, diffidence, feeling constraint, fear of troubling someone, having scruples about doing something
気軽	きがる		cheerful, buoyant, lighthearted
器官	きかん		organ (of body), instrument
季刊	きかん		quarterly (e.g. magazine)
機関	きかん		organ, mechanism, facility, engine
期間	きかん		period, term
機関車	きかんしゃ		locomotive, engine
危機	きき		crisis
聞き取り	ききとり		listening comprehension
効き目	ききめ		effect, virtue, efficacy, impression
帰京	ききょう		returning to Tokyo
企業	きぎょう		enterprise, undertaking
基金	ききん		fund, foundation
飢饉	ききん		famine
効く	きく		be effective
器具	きぐ		utensil
喜劇	きげき		comedy, funny show
棄権	きけん		abstain from voting, renunciation of a right
起源	きげん		origin, beginning, rise
機嫌	きげん		humour, temper, mood
期限	きげん		term, period
機構	きこう		mechanism, organization
気候	きこう		climate
記号	きごう		symbol, code
聞こえる	きこえる		audible, can hear
既婚	きこん		marriage, married
気障	きざ		affectation, conceit, snobbery
記載	きさい		mention, entry
兆し	きざし		signs, omen, symptoms
刻む	きざむ		mince, chop up, carve, engrave, cut fine, hash, chisel, notch
岸	きし		bank, shore, coast
生地	きじ		cloth, material, texture, one´s true character, unglazed pottery
記事	きじ		article, news story, report, account
期日	きじつ		fixed date, settlement date
汽車	きしゃ		train (locomotive)
記者	きしゃ		reporter
記述	きじゅつ		describing, descriptor
基準	きじゅん		standard, basis, criteria, norm
規準	きじゅん		standard, basis, criteria, norm
起床	きしょう		rising, getting out of bed
気象	きしょう		weather, climate
傷2	きず		wound, injury, hurt, cut, gash, bruise, scratch, scar, weak point
奇数	きすう		odd number
築く	きずく		to build, to pile up, to amass
傷付く	きずつく		to be hurt, to be wounded, to get injured
規制	きせい		regulation
季節	きせつ		season
着せる	きせる		put on clothes
汽船	きせん		steamship
基礎	きそ		foundation, basis
寄贈	きそう		donation, presentation
規則	きそく		regulations
貴族	きぞく		noble, aristocrat
北	きた		north
期待	きたい		expectation, anticipation, hope
気体	きたい		vapour, gas
鍛える	きたえる		to forge, to drill, to temper, to train, to discipline
帰宅	きたく		returning home
気立て	きだて		disposition, nature
汚い	きたない		dirty, unclean, filthy
来る1	きたる		to come, to arrive, to be due to, to be next, to be forthcoming
基地	きち		base
貴重	きちょう		precious, valuable
几帳面	きちょうめん		methodical, punctual, steady
気付く	きづく		notice, recognize, become aware of, perceive, realize
喫茶	きっさ		tea drinking, tea house
喫茶店	きっさてん		coffee shop
切手	きって		stamp
屹度	きっと		(uk) surely, undoubtedly, certainly, without fail, sternly, severely
切符	きっぷ		ticket
規定	きてい		regulation, provisions
起点	きてん		starting point
軌道	きどう		orbit, railroad track
気に入る	きにいる		be pleased with, to suit
記入	きにゅう		entry, filling in of forms
絹	きぬ		silk
記念	きねん		commemoration, memory
昨日	きのう		yesterday
機能	きのう		function, faculty
甲	きのえ		1st in rank, first sign of the Chinese calendar, shell, instep, grade A
気の毒	きのどく		pitiful, a pity
気配1	きはい		indication, market trend, worry
規範	きはん		model, standard, pattern, norm, criterion, example
基盤	きばん		foundation, basis
厳しい	きびしい		strict
気品	きひん		aroma
寄付	きふ		contribution, donation
気風	きふう		character, traits, ethos
起伏	きふく		undulation
気分	きぶん		mood
規模	きぼ		scale, scope, plan, structure
希望	きぼう		hope, wish, aspiration
基本	きほん		foundation, basis, standard
気まぐれ	きまぐれ		whim, caprice, whimsy, fickle, moody, uneven temper
生真面目	きまじめ		too serious, person who is too serious, honesty, sincerity
期末	きまつ		end of term
決まり	きまり		settlement, conclusion, regulation, rule, custom
決まり悪い	きまりわるい		feeling awkward, being ashamed
決まる	きまる		be decided
気味	きみ		sensation, feeling
君2	きみ		you
奇妙	きみょう		strange, queer, curious
記名	きめい		signature, register
気持ち	きもち		feelings
着物	きもの		Japanese traditional dress
客1	きゃく		guest, customer
客2	きゃく		guest
脚色	きゃくしょく		dramatization (e.g. film)
客席	きゃくせき		guest seating
脚本	きゃくほん		scenario
客間	きゃくま		parlor, guest room
客観	きゃっかん		objective
九2	きゅう		nine
旧	きゅう		ex-
球1	きゅう		globe, sphere, ball
急	きゅう		urgent
級	きゅう		class, grade, rank
救援	きゅうえん		relief, rescue, reinforcement
休暇	きゅうか		holiday, day off, furlough
休学	きゅうがく		temporary absence from school, suspension
休業	きゅうぎょう		closed (e.g. store), business suspended, shutdown, holiday
究極	きゅうきょく		ultimate, final, eventual
