榎	えのき		enoki-take;  long, thin white mushroom used in East Asian cuisine
榎茸	えのきたけ		enoki-take;  long, thin white mushroom used in East Asian cuisine
エリンギ			Eryngii (trumpet mushroom); kungsmussling; king trumpet mushroom, French horn mushroom, king oyster mushroom, king brown mushroom, boletus of the steppes, trumpet royale
えりんぎ			Eryngii (trumpet mushroom); kungsmussling; king trumpet mushroom, French horn mushroom, king oyster mushroom, king brown mushroom, boletus of the steppes, trumpet royale
椎茸	しいたけ		Shiitake; Lentinula edodes
占地	シメジ		shimeji; group of edible mushrooms native to East Asia, but also found in northern Europe.
湿地	シメジ		shimeji; group of edible mushrooms native to East Asia, but also found in northern Europe.
占地茸	シメジたけ		shimeji; group of edible mushrooms native to East Asia, but also found in northern Europe.
湿地茸	シメジたけ		shimeji; group of edible mushrooms native to East Asia, but also found in northern Europe.
シメジ			shimeji; group of edible mushrooms native to East Asia, but also found in northern Europe.
しめじ			shimeji; group of edible mushrooms native to East Asia, but also found in northern Europe.
滑子	ナメコ		Nameko; Namekotofsskivling; Pholiota nameko
橅占地	ブナシメジ		buna-shimeji; Hypsizygus marmoreus
橅湿地	ブナシメジ		buna-shimeji; Hypsizygus marmoreus
ブナシメジ			buna-shimeji; Hypsizygus marmoreus
ぶなしめじ			buna-shimeji; Hypsizygus marmoreus
舞茸	まいたけ		maitake; Grifola frondosa; Korallticka
松茸	まつたけ		Matsutake; Goliatmusseron
