故意	こい	わざとすること。また、その気持ち。「ーに取り違える」	intention
請う	こう	他人に、物を与えてくれるよう求める。訊く	ask; inquire
講じる	こうじる	手段を取る。「講ずる」の上一段化。	take (an action; the right step); try (a possibiliy)
肯定	こうてい	そうだと言うこと。認めりこと	affirmation; acknowledgement
凍り付く	こおりつく	硬く凍る	be frozen；freeze to
国産	こくさん		domestic manifacturing
告発	こくはつ	悪事や不正を明らかにして、世間に知らせること。告訴。訴え	a formal charge [accusation]((against))
越す	こす	来る	come over (here to e.g. the hospital)
骨頂	こっちょう	程度がこれ以上ないこと。	pinnacle
子供	こども		children; kids
この間1	このかん		during this time
殺す	ころす		kill
今後	こんご		future
児	こ		child, the young of animals
子	こ		child
故	こ		the late (deceased)
巨	こ		big, large, great
戸1	こ		counter for houses
恋	こい		love, tender passion
濃い	こい		thick (as of color, liquid), dense, strong
恋しい	こいしい		dear, beloved, darling,yearned for
恋する	こいする		to fall in love with, to love
恋人	こいびと		lover, sweetheart
校	こう		-school, proof
溝	こう		10^38, hundred undecillion (American), hundred sextillion (British)
好意	こうい		good will, favor, courtesy
行為	こうい		act, deed, conduct
行員	こういん		bank clerk
工員	こういん		factory worker
幸運	こううん		good luck, fortune
光栄	こうえい	業績や行動を褒められたり、重要な役目を任されたりして、名誉に思うこと。栄えること。「ーの至り」「身に過ぎてーなこと」	honor; privilage; glory
交易	こうえき		trade, commerce
公園	こうえん		(public) park
公演	こうえん		public performance
講演	こうえん		lecture, address
高価	こうか		high price
硬貨	こうか		coin
効果	こうか		effect, effectiveness, efficacy, result
航海	こうかい		sail, voyage
後悔	こうかい		regret, repentance
公開	こうかい		presenting to the public
郊外	こうがい		suburbs
公害	こうがい		public nuisance, pollution
工学	こうがく		engineering
交換	こうかん		exchange, interchange, reciprocity, barter, substitution
講義	こうぎ		lecture
抗議	こうぎ		protest, objection
高級	こうきゅう		high class, high grade
皇居	こうきょ		Imperial Palace
好況	こうきょう		prosperous conditions, healthy economy
公共	こうきょう		public, community, public service, society, communal
工業	こうぎょう		industry
鉱業	こうぎょう		mining industry
興業	こうぎょう		industrial enterprise
航空	こうくう		aviation, flying
光景	こうけい		scene, spectacle
工芸	こうげい		industrial arts
攻撃	こうげき		attack, strike, offensive, criticism, censure
貢献	こうけん	ある物事や社会のために役立つように尽力すること。貢ぎ物を奉ること。また、その品物。「学界の発展にーする」「ー度」	contribution, services
高原	こうげん		tableland, plateau
交互	こうご		mutual, reciprocal, alternate
高校	こうこう		high school
孝行	こうこう		filial piety
高校生	こうこうせい		high school student
考古学	こうこがく		archaeology
広告	こうこく		advertisement
交差	こうさ		cross
交際	こうさい		company, friendship, association, society, acquaintance
工作	こうさく		work, construction, handicraft, maneuvering
耕作	こうさく		cultivation, farming
交錯	こうさく	いくつかのものが入りまじること。「夢と現実がーする」	mix; intertwine
交差点	こうさてん		crossing, intersection
鉱山	こうざん		mine (ore)
講師	こうし		lecturer
工事	こうじ		construction work
公式	こうしき		formula, formality, official
口実	こうじつ		excuse
校舎	こうしゃ		school building
後者	こうしゃ		the latter
侯爵	こうしゃく	もと五等爵の第二位。伯爵の上。公爵の下。爵	marquis
講習	こうしゅう		short course, training
公衆	こうしゅう		the public
口述	こうじゅつ		verbal statement
控除	こうじょ		subsidy, deduction
高尚	こうしょう		high, noble, refined, advanced
交渉	こうしょう		negotiations, discussions, connection
向上	こうじょう		elevation, rise, improvement, advancement, progress
工場2	こうじょう		factory
行進	こうしん		march, parade
更新	こうしん		update
香辛料	こうしんりょう		spices
降水	こうすい		rainfall, precipitation
香水	こうすい		perfume
洪水	こうずい		flood
構成	こうせい		organization, composition
公正	こうせい		justice, fairness, impartiality
功績	こうせき		achievements, merit, meritorious service, meritorious deed
光線	こうせん		beam, light ray
公然	こうぜん		open (e.g. secret), public, official
高層	こうそう		upper
構想	こうそう		plan, plot, idea, conception
抗争	こうそう		dispute, resistance
構造	こうぞう		structure, construction
高速	こうそく		high speed, high gear
拘束	こうそく		restriction, restraint
交替	こうたい		alternation, change, shift, relief, relay
後退	こうたい		retreat, backspace (BS)
光沢	こうたく		brilliance, polish, lustre, glossy finish (of photographs)
公団	こうだん		public corporation
耕地	こうち		arable land
紅茶	こうちゃ		black tea
好調	こうちょう		favourable, promising, satisfactory, in good shape
校長	こうちょう		principal
交通	こうつう		traffic
交通機関	こうつうきかん		transportation facilities
校庭	こうてい		campus
高度	こうど		altitude, height, advanced
口頭	こうとう		oral
高等	こうとう		high class, high grade
講堂	こうどう		lecture hall
行動	こうどう		action, conduct, behaviour, mobilization
