悔い改める	くいあらためる	過去の過ちを反省して心がけを変える。	repent; is sorry for
空間	くうかん	スペース；宇宙	space
繰り返す	くりかえす		repeat
九1	く		nine
句	く		phrase, clause, sentence, passage, paragraph, expression, line, verse, stanza, 17-syllable poem
区	く		ward, district, section
区域	くいき		limits, boundary, domain, zone, sphere, territory
食い違う	くいちがう		to cross each other, to run counter to, to differ, to clash, to go awry
食う	くう		eat
空気	くうき		air
空港	くうこう		air port
空想	くうそう		daydream, fantasy, fancy, vision
空中	くうちゅう		sky, air
空腹	くうふく		hunger
区画	くかく		division, section, compartment, boundary, area, block
区間	くかん		section (of track etc)
茎	くき		stalk
区切り	くぎり		an end, a stop, punctuation
区切る	くぎる		punctuate, cut off, mark off, stop, put an end to
潜る1	くぐる		to drive, to pass through, to evade, to hide, to dive (into or under water), to go underground
草	くさ		grass
種々	くさぐさ		variety
鎖	くさり		chain
腐る	くさる		rot, go bad
旧事	くじ		past events, bygones
籤引	くじびき		lottery, drawn lot
苦情	くじょう		complaint, troubles, objection
苦心	くしん		pain, trouble, anxiety, diligence, hard work
崩す	くずす		destroy, pull down, make change (money)
薬	くすり		medicine
薬指	くすりゆび		ring finger
崩れる	くずれる		collapse, crumble
癖	くせ		a habit (often a bad habit, i.e. vice), peculiarity
管2	くだ		pipe, tube
砕く	くだく		break, smash
砕ける	くだける		break, be broken
下さい	ください	「くれ」の尊敬語。相手に物や何かを請求する意を表す。ちょうだいしたい。「手紙を―」「しばらく時間を―」	please; (I) would like
下さる	くださる		give (polite)
草臥れる	くたびれる		to get tired, to wear out
果物	くだもの		fruit
下り	くだり		down-train (going away from Tokyo)
下る1	くだる		go down, descend, leave
件	くだん		example, precedent, the usual, the said, the above-mentioned, (man) in question
口	くち		mouth, orifice, opening
口ずさむ	くちずさむ		to hum something, to sing to oneself
唇	くちびる		lips
口紅	くちべに		lipstick
朽ちる	くちる		to rot
靴	くつ		shoes, footwear
苦痛	くつう		pain, agony
覆す	くつがえす		to overturn, to upset, to overthrow, to undermine
靴下	くつした		socks
屈折	くっせつ		bending, indentation, refraction
くっ付く	くっつく		to adhere to, to keep close to
くっ付ける	くっつける		to attach
句読点	くとうてん		punctuation marks
国	くに		country
国境1	くにざかい		national or state border
国番号	くにばんごう		〔国際電話の〕the country code ((for the U.S.))
配る	くばる		deliver, distribute
首	くび		neck
首飾り	くびかざり		necklace
首輪	くびわ		necklace, choker
工夫	くふう		device, scheme
区分	くぶん		division, section, compartment, demarcation, (traffic) lane, classification, sorting
区別	くべつ		distinction, differentiation, classification
組	くみ		class, group, team, set
組合	くみあい		association, union
組み合わせ	くみあわせ		combination
組み合わせる	くみあわせる		to join together, to combine, to join up
組み込む	くみこむ		to insert, to include, to cut in (printing)
組み立てる	くみたてる		assemble, set up, construct
酌む	くむ		serve sake
組む	くむ		put together
雲	くも		the clouds
曇り	くもり		cloudiness, cloudy weather, shadow
曇る	くもる		become cloudy, become dim
悔しい	くやしい		regrettable, mortifying, vexing
悔やむ	くやむ		mourn
蔵	くら		warehouse, cellar, magazine, granary, godown, depository, treasury, elevator
暗い	くらい		dark, gloomy
位	くらい		grade, rank, court order, dignity, nobility, situation, throne, crown, occupying a position, about, almost, as, rather, at least, enough to
暮らし	くらし		living, livelihood, subsistence, circumstances
暮らす	くらす		live, get along
比べる	くらべる		compare
栗	くり		chestnut
来る2	くる		come, come to hand, arrive, approach, call on, set in, be due, become, grow, get, come from, be caused by, derive from
狂う	くるう		go mad, get out of order
苦しい	くるしい		painful, difficult
苦しむ	くるしむ		suffer, groan, be worried
苦しめる	くるしめる		to torment, to harass, to inflict pain
車	くるま		car, vehicle, wheel
包む1	くるむ		to be engulfed in, to be enveloped by, to wrap up, to tuck in, to pack, to do up, to cover with, to dress in, to conceal
暮れ	くれ		year end, sunset, nightfall, end
呉々も	くれぐれも	何度も心をこめて依頼・懇願したり、忠告したりするさま。「―お大事に」	very best (wishes); upmost
呉呉も	くれぐれも	何度も心をこめて依頼・懇願したり、忠告したりするさま。「―お大事に」	very best (wishes); upmost
くれぐれも	呉々も	何度も心をこめて依頼・懇願したり、忠告したりするさま。「―お大事に」	very best (wishes); upmost
暮れる	くれる		get dark
呉れる	くれる		to give, to let one have, to do for one, to be given
黒	くろ		the color black (noun)
黒い	くろい		black, dark
苦労	くろう		troubles, hardships
玄人	くろうと		expert, professional, geisha, prostitute
黒字	くろじ		balance (figure) in the black
加える	くわえる		append, sum up, include, increase, inflict
詳しい	くわしい		knowing very well, detailed, full, accurate
加わる	くわわる		join in, accede to, increase, gain in (influence)
訓	くん		native Japanese reading of a Chinese character
君1	くん		Mr (junior), master, boy
君主	くんしゅ		ruler, monarch
訓練	くんれん		practice, training
