間4	ま	時間	time
間5	ま	空間	space
間6	ま	ころあい	chance; opportune moment
貧しさ	まずしさ	財産や金銭がとぼしく、生活が苦しい；乏しい；必要量に足りない	poverty
真に受ける	まにうける	言葉どおりに受け取る。「冗談をー・ける」	take seriously
満場一致	まんじょういっち	その場にいるすべての人の意見が一致すること。「ーで可決」	unanimous
枚	まい		counter for flat objects (e.g. sheets of paper)
毎朝	まいあさ		every morning
毎月	まいげつ		every month, each month, monthly
迷子	まいご		lost (stray) child
毎週	まいしゅう		every week
枚数	まいすう		the number of flat things
埋蔵	まいぞう		buried property, treasure trove
毎度	まいど		each time, common service-sector greeting
毎日	まいにち		every day
毎晩	まいばん		every night
参る	まいる		come (polite )
舞う	まう		to dance, to flutter about, to revolve
真上	まうえ		just above, right overhead
前2	まえ		front
前売り	まえうり		advance sale, booking
前置き	まえおき		preface, introduction
前もって	まえもって		in advance, beforehand, previously
負かす	まかす		to defeat
任す	まかす		to entrust, to leave to a person
任せる	まかせる		entrust to another, leave to, do something at one´s leisure
賄う	まかなう		to give board to, to provide meals, to pay
曲がる	まがる		to turn, to bend
曲る	まがる		curve, be bent, be crooked, turn
巻	まき		volume
薪	まき		fire wood
紛らわしい	まぎらわしい		confusing, misleading, equivocal, ambiguous
紛れる	まぎれる		to be diverted, to slip into
膜	まく		membrane, film
幕2	まく		curtain, screen
巻く	まく		wind, coil, roll
枕	まくら		pillow, bolster
負け	まけ		defeat, loss, losing (a game)
負ける	まける		lose
曲げる	まげる		bend, lean, be crooked
孫	まご		grandchild
真心	まこころ		sincerity, devotion
誠	まこと		truth, faith, fidelity, sincerity, trust, confidence, reliance, devotion
真に	まことに		truly, actually, really
正しく	まさしく		surely, no doubt, evidently
摩擦	まさつ		friction, rubbing, rubdown, chafe
正に	まさに		correctly, surely
勝る	まさる		to excel, to surpass, to outrival
混ざる	まざる		to be mixed, to be blended with, to associate with, to mingle with, to join
交ざる	まざる		to be mixed, to be blended with, to associate with, to mingle with, to join
増し	まし		extra, additional, less objectionable, better, preferable
交える	まじえる		to mix, to converse with, to cross (swords)
真下	ました		right under, directly below
況して	まして		still more, still less (with neg. verb), to say nothing of, not to mention
呪い2	まじない	神仏その他不可思議なものの威力を借りて、災いや病気などを起こしたり、また除いたりする術。「―をかける」「人前でもあがらないお―」	(an) incantation
真面目	まじめ		diligent, serious, honest
混じる	まじる		to be mixed, to be blended with, to associate with, to mingle with, to interest, to join
交じる	まじる		to be mixed, to be blended with, to associate with, to mingle with, to interest, to join
交わる	まじわる		to cross, to intersect, to associate with, to mingle with, to interest, to join
増す	ます		increase, grow
先ず	まず		at first
麻酔	ますい		anaesthesia
不味い	まずい		unappetising, unpleasant (taste appearance situation), ugly, unskilful, awkward, bungling, unwise, untimely
貧しい	まずしい		poor, needy
益々	ますます		increasingly, more and more
混ぜる	まぜる		mix, stir
交ぜる	まぜる		be mixed, be blended with
又	また		again, and
股	また		groin, crotch, thigh
未だ2	まだ		yet, still, more, besides
瞬き	またたき		wink, twinkling (of stars), flicker (of light)
又は	または		or, the other
町	まち		town, street, road
街2	まち		street
待合室	まちあいしつ		waiting room
待ち合わせ	まちあわせ		appointment
待ち合わせる	まちあわせる		rendezvous, meet at a prearranged place and time
間違い	まちがい		mistake
間違う	まちがう		to make a mistake, to be incorrect, to be mistaken
間違える	まちがえる		make a mistake
街角	まちかど		street corner
待ち遠しい	まちどおしい		looking forward to
待ち望む	まちのぞむ		to look anxiously for, to wait eagerly for
区々	まちまち		several, various, divergent, conflicting, different, diverse, trivial
松	まつ		pine tree, highest (of a three-tier ranking system)
待つ	まつ		wait
真っ赤	まっか		deep red, flushed (of face)
末期	まっき		closing years (period days), last stage
真っ暗	まっくら		total darkness, pitch dark, shortsightedness
真っ黒	まっくろ		pitch black
真っ青	まっさお		deep blue, ghastly pale
真っ先	まっさき		the head, the foremost, beginning
真っ白	まっしろ		pure white
真っ直ぐ	まっすぐ		straight (ahead), direct, upright, erect, honest, frank
全く	まったく		really, truly, entirely, completely, wholly, perfectly, indeed
真っ二つ	まっぷたつ		in two equal parts
祭	まつり		festival, feast
祭る	まつる		deify, enshrine
祀る	まつる	儀式をととのえて神霊をなぐさめ、また、祈願する。「先祖のみ霊 (たま) を―・る」「死者を―・る」	worship
的2	まと		mark, target
窓	まど		window
惑う	まどう	どうしたらよいか判断に苦しむ。	be perplexed
窓口	まどぐち		ticket window
まとめ	纏め	まとめること。また、まとめたもの。「―の段階に入る」	〔集める〕collect; gather together〔整える〕put in order, arrange; 〔統一する〕unify
学ぶ	まなぶ		learn, study (in depth)
間に合う	まにあう		to be in time (for)
免れる	まぬかれる		to escape from, to be rescued from, to avoid, to evade, to avert, to elude, to be exempted, to be relieved from pain, to get rid of
真似	まね		mimicry, imitation, behavior, pretense
招き	まねき		invitation
招く	まねく		invite
真似る	まねる		mimic, imitate
麻痺	まひ		paralysis, palsy, numbness, stupor
目蓋	まぶた		eyelid
眩しい	まぶしい		blinding (light)
幻	まぼろし		visionary
間々	まま		occasionally, frequently
豆	まめ		beans, peas, (as a prefix) miniature, tiny
間もなく	まもなく		soon, before long, in a short time
守る	まもる		protect, obey, guard, abide (by the rules)
迷う	まよう	まぎれて、進むべき道や方向がわからなくなる。「山中で道に―・う」	〔道が分からなくなる〕get lost, lose one's way ((in a wood)); 〔はぐれる〕stray
迷う2	まよう	どうしたらよいか決断がつかない。「進学か就職かで―・う」「判断に―・う」	〔思い惑う〕be at a loss; 〔決断できない〕be irresolute
眉	まゆ		eyebrow
丸	まる		circle
円2	まる		circle, money
丸い	まるい		round, circular, spherical
円い	まるい		round, circular, spherical
丸ごと	まるごと		in its entirety, whole, wholly
丸で	まるで	（下に否定的な意味の語を伴って）まさしくその状態であるさま。すっかり。まったく。「―だめだ」「兄弟だが―違う」	〔通例，否定語を伴って，全く…ない〕⇒まったく(全く) no(not) at ALL; entirely (out of question); (don't have the) slightest (idea)
丸っきり	まるっきり		completely, perfectly, just as if
丸々	まるまる		completely
丸める	まるめる		to make round, to round off, to roll up, to curl up, to seduce, to cajole, to explain away
回す	まわす		turn, revolve
周り	まわり		surroundings
回り	まわり		circumference, surroundings, circulation
回り道	まわりみち		detour, diversion
回る	まわる		go round
万2	まん		10,000, ten thousand, myriad(s), all, everything
万一	まんいち		by some chance, by some possibility, if by any chance, 10,000:1 odds
満員	まんいん		full house, no vacancy, sold out, standing room only, full (of people), crowded
漫画	まんが		cartoon
満月	まんげつ		full moon
満場	まんじょう		unanimous, whole audience
満足	まんぞく		satisfaction
満点	まんてん		perfect score
真ん中	まんなか		middle, center, half way
万年筆	まんねんひつ		fountain pen
真ん前	まんまえ		right in front, under the nose
真ん丸い	まんまるい		perfectly circular
