迷惑	めいわく	ある行為がもとで、他の人が不利益を受けたり、不快を感じたりすること。「人にーをかける」	trouble; a nuisance; (an) annoyance
迷惑メール	めいわくめーる	受信者の同意を得ず、広告や勧誘などの目的で不特定多数に大量に配信される電子メール。スパムメール。スパム。ジャンクメール。	junk email; spam
めっきり		状態の変化がはっきり感じられるさま。著しい。明白な	remarkably; noticeably; _quite_ (a few)
目に遭う	めにあう	直接に経験する。体験する。多く、好ましくないことにいう。目を見る。「つらいー・う」「今度ばかりはひどいー・ったよ」	(bad) experience
目	め		eye, eyeball
芽	め		sprout
明確	めいかく		clear up, clarify, define
名作	めいさく		masterpiece
名産	めいさん		noted product
名刺	めいし		business card
名詞	めいし		noun
名所	めいしょ		famous place
名称	めいしょう		name
命じる	めいじる		to order, command, appoint
迷信	めいしん		superstition
名人	めいじん		master, expert
命ずる	めいずる		to command, appoint
命中	めいちゅう		a hit
明白2	めいはく	あきらかで疑う余地のないこと。また、そのさま。「―な証拠」	obvious
名物	めいぶつ		famous product, speciality
名簿	めいぼ		register of names
銘々	めいめい		each, individual
名誉	めいよ		honor, credit, prestige
明瞭	めいりょう		clarity
命令	めいれい		order, command, decree, directive, (software) instruction
明朗	めいろう		bright, clear, cheerful
目上	めうえ		superior(s), senior
目方	めかた		weight
眼鏡2	めがね		spectacles, glasses
恵まれる	めぐまれる		be blessed with, be rich in
恵み	めぐみ		blessing
恵む	めぐむ		to bless, to show mercy to
巡る	めぐる		go around
目指す	めざす		aim at, have an eye on
目覚し	めざまし		alarm clock (abbreviation)
目覚しい	めざましい		brilliant, splendid, striking, remarkable
目覚める	めざめる		to wake up
飯	めし		meal(s), food
召し上がる	めしあがる		eat (polite)
目下	めした		subordinate(s), inferior(s), junior
目印	めじるし		mark, sign, landmark
召す	めす		to call, to send for, to put on, to wear, to take (a bath), to ride in, to buy, to eat, to drink, to catch (a cold)
雌	めす		female (animal)
珍しい	めずらしい		unusual, strange
目立つ	めだつ		be conspicuous, stand out
滅茶苦茶	めちゃくちゃ		absurd, unreasonable, excessive, messed up, spoiled, wreaked
目付き	めつき		look, expression of the eyes, eyes
滅多に	めったに		rarely (with negative verb), seldom
滅亡	めつぼう		downfall, ruin, collapse, destruction
愛でたい	めでたい		auspicious
目眩	めまい		dizziness, giddiness
目盛	めもり		scale, gradations
目安	めやす		criterion, aim
綿1	めん		raw cotton
面2	めん		face, surface, facial features, mask, side or facet, corner, page
面会	めんかい		interview
免許	めんきょ		license, permit, certificate
免除	めんじょ		exemption, exoneration, discharge
面する	めんする		to face on, to look out on to
免税	めんぜい		tax exemption
面積	めんせき		area
面接	めんせつ		interview
面談	めんだん	面会して直接話をすること。「来客と―する」「委細―」	an interview; talk; conversation
面倒	めんどう		trouble, difficulty, care, attention
面倒臭い	めんどうくさい		bother to do, tiresome
面目	めんぼく		face, honour, reputation, prestige, dignity, credit
