見事1	みごと	すばらしいこと	excellent; splendid; fine; supurb; admirable
見事2	みごと	完全に	completely; proper; real
魅する	みする	不思議な力で人の心をひきつける。「歌声にー・せられる」	charm
民族	みんぞく	言語・人種・文化・歴史的運命を共有し、同族意識によって結ばれた人々の集団	nationality
三1	み		(num) three
身	み		body, main part, oneself, sword
実2	み		fruit, nut, seed, content, good result
見合い	みあい		formal marriage interview
見合わせる	みあわせる		to exchange glances, to postpone, to suspend operations, to refrain from performing an action
見える	みえる		see, can be seen
見送り	みおくり		seeing one off, farewell, escort
見送る	みおくる		see off, escort, let pass, wait and see
見落とす	みおとす		to overlook, to fail to notice
見下ろす	みおろす		overlook, command a view of
未開	みかい		savage land, backward region, uncivilized
味覚	みかく		taste, palate, sense of taste
磨く	みがく		to polish, shine, brush, refine, improve
見掛け	みかけ		outward appearance
見掛ける	みかける		to (happen to) see, to notice, to catch sight of
三日月1	みかずき		new moon, crescent moon
見方	みかた		viewpoint
味方	みかた		friend, ally, supporter
三日月2	みかづき		new moon, crescent moon
右	みぎ		right hand side
見苦しい	みぐるしい		unsightly, ugly
見込み	みこみ		hope, prospects, expectation
未婚	みこん		unmarried
岬	みさき		cape (on coast)
短い	みじかい		short
惨め	みじめ		miserable
未熟	みじゅく		inexperience, unripeness, raw, unskilled, immature, inexperienced
微塵	みじん		particle, atom
水	みず		water
湖	みずうみ		lake
見すぼらしい	みすぼらしい		shabby, seedy
店2	みせ		store, shop, establishment
見せびらかす	みせびらかす		to show off, to flaunt
見せ物	みせもの		show, exhibition
店屋	みせや		store, shop
見せる	みせる		to show, to display
味噌	みそ		miso (bean paste), key (main) point
見出し	みだし		heading, caption, subtitle, index
満たす	みたす		to satisfy, to ingratiate, to fill, to fulfill
乱す	みだす		to throw out of order, to disarrange, to disturb
乱れる	みだれる		to get confused, to be disordered, to be disturbed
未知	みち		not yet known
道	みち		road, street, way, method
身近	みぢか		near oneself, close to one, familiar
道順	みちじゅん		itinerary, route
導く	みちびく		to be guided, to be shown
満ちる	みちる		be full, rise (tide), mature, expire
密	みつ		mystery
蜜	みつ		nectar, honey
三日	みっか		three days, the third day (of the month)
見付かる	みつかる		be found, be discovered
見つかる	みつかる		be found
見付ける	みつける		discover, find fault, detect, find out, locate, be familiar
見つける	みつける		find out
密集	みっしゅう		crowd, close formation, dense
密接	みっせつ		related, connected, close, intimate
三つ	みっつ		three
密度	みつど		density
見積り	みつもり		estimation, quotation
密輸	みつゆ	法を犯してひそかに輸出入すること。「麻薬をーする」	smuggling
未定	みてい		not yet fixed, undecided, pending
見通し	みとおし		perspective, unobstructed view, outlook, forecast, prospect, insight
認める2	みとめる		recognize, appreciate, approve, admit, notice
緑	みどり		green
皆	みな		all, everything
見直す	みなおす		look again, form a better opinion of
皆さん	みなさん		everyone
港	みなと		seaport, harbor
南2	みなみ		South, proceeding south
源	みなもと		source, origin
身なり	みなり		personal appearance
見慣れる	みなれる		become used to seeing, be familiar with
醜い	みにくい		ugly
峰	みね		peak, ridge
見逃す	みのがす		to miss, to overlook, to leave at large
実る	みのる		bear fruit, ripen
見晴らし	みはらし		view
身振り	みぶり		gesture
身分	みぶん		social position, social status
見本	みほん		sample
見舞	みまい		enquiry, expression of sympathy, expression of concern
見舞い	みまい		enquiry, expression of sympathy or concern
見舞う	みまう		ask after (health), visit
見守る	みまもる		watch over
未満	みまん		less than, insufficient
耳	みみ		ear
脈	みゃく		pulse
土産2	みやげ		product of the land
都2	みやこ		capital
雅び	みやび	上品で優美なこと。また、そのさま。風雅。優雅。「衣装にーを競う」「ーな祭事」⇔俚 (さと) び。	〔優美さ〕elegance; 〔しとやかな上品さ〕grace
妙	みょう		strange, unusual
明後日2	みょうごにち		day after tomorrow
名字	みょうじ		surname, family name
明星	みょうじょう		Venus / MorningStar
未来	みらい		future tense, the future (usually distant), the world to come
魅力	みりょく		charm, fascination, glamour
味醂	みりん		wine extract
見る	みる		to see, to watch
診る	みる		(medicine) examine
未練	みれん		lingering affection, attachment, regret(s), reluctance
見渡す	みわたす		to look out over, to survey (scene), to take an extensive view of
民間	みんかん		private, civilian, civil, popular, folk, unofficial
民主	みんしゅ		democratic, the head of the nation
民宿	みんしゅく		private home providing lodging for travelers
民俗	みんぞく		people, race, nation, racial customs, folk customs
民謡	みんよう		folk song, popular song
