息子	むすこ		son
無駄1	むだ	役に立たないこと。それをしただけのかいがないこと。益がないこと	useless; no use
無駄2	むだ	浪費	waste; wastefulness
六1	む		(num) six
無	む		nothing, nil, zero
六日	むいか		six days, sixth (day of month)
無意味	むいみ		nonsense, no meaning
向かい	むかい		facing, opposite, across the street, other side
向かう	むかう		to face, to go towards
向う	むかう		to face, go towards
迎え	むかえ		meeting, person sent to pick up an arrival
迎え入れる	むかえいれる	来る人を迎えて中に入れる。「客間にー・れる」	receive; to usher in
迎える	むかえる		meet, welcome, greet
昔	むかし	時間的にさかのぼった過去の一時期・一時点。時間の隔たりの多少は問わずに用いるが、多く、遠い過去をいう。「―の話」「―のままの姿」「とっくの―」	old time, before, ago
向き	むき		direction, situation, exposure, aspect, suitability
麦	むぎ		barley
向く	むく		to face
剥く	むく		peel, skin, pare, hull
報う	むくう		to reward / recompensate / repay (むch くうstomers is * by having good service)
無口	むくち		reticence
向け	むけ		for ~, oriented towards ~
向ける	むける		turn towards, point
無限	むげん		infinite
婿	むこ		son-in-law
向こう	むこう		beyond, over there, opposite direction, the other party
無効	むこう		invalid, no effect, unavailable
無言	むごん		silence
虫	むし		insect
無視	むし		disregard, ignore
無地	むじ		plain, unfigured
蒸し暑い	むしあつい		humid, sultry
虫歯	むしば		cavity, tooth decay, decayed tooth
無邪気	むじゃき		innocence, simple-mindedness
武者修行	むしゃしゅぎょう	武士が武芸の修行のために諸国を巡って歩くこと。	a journey around the country to learn from the great masters of the martial arts; acquire greater skill (in music)
矛盾	むじゅん		contradiction, inconsistency
矛盾した表現	むじゅんしたひょうげん		oxomoron
寧ろ	むしろ		rather, better, instead
蒸す	むす		to steam, poultice, be sultry
無数	むすう		countless number, infinite number
難しい	むずかしい	理解や習得がしにくい。複雑でわかりにくい。難解である。「説明が―・い」「―・い文章」⇔易しい。	difficult
結び	むすび		ending, conclusion, union
結び付き	むすびつき		connection, relation
結び付く	むすびつく		to be connected or related, to join together
結び付ける	むすびつける		to combine, to join, to tie on, to attach with a knot
結ぶ	むすぶ	1 ひも帯などの両端をからませてつなぎ合わせる。2 他人と関係をもつ。約束をする。「条約をーぶ」「靴のひもをーぶ」「ネクタイをーぶ」	tie, bind, link
娘	むすめ		daughter
無線	むせん		wireless, radio
無駄遣い	むだづかい		waste money on, squander money on, flog a dead horse
無断	むだん		without permission, without notice
無知	むち		ignorance
無茶	むちゃ		absurd, unreasonable, excessive, rash, absurdity, nonsense
無茶苦茶	むちゃくちゃ		confused, jumbled, mixed up, unreasonable
夢中	むちゅう		daze, (in a) trance, ecstasy, delirium, engrossment
六つ	むっつ		six
無敵	むてき	非常に強くて敵対するものがないこと。対抗できるものがないこと。また、そのさま。「―な（の）猛将」「天下―」	invincible; unrivaled; can not be matched
空しい	むなしい		vacant, futile, vain, void, empty, ineffective, lifeless
胸	むね		breast, chest
無念	むねん		chagrin, regret
無能	むのう		inefficiency, incompetence
謀反	むほん	時の為政者に反逆すること。国家・朝廷・君主にそむいて兵を挙げること。律の八虐の規定では国家に対する反逆をいい、「謀叛」の字を用い、謀反 (むへん) 、謀大逆 (ぼうたいぎゃく) に次いで3番目の重罪とされる。	rebellion
無闇に	むやみに		unreasonably, absurdly, recklessly, indiscreetly, at random
無用	むよう		useless, futility, needlessness, unnecessariness
村	むら		village
群がる	むらがる		to swarm, to gather
紫	むらさき		purple, violet (color)
無理	むり		compulsion
無料	むりょう		free, no charge
群れ	むれ		group, crowd, flock, herd, bevy, school, swarm, cluster (of stars), clump
無論	むろん		of course, naturally
