内閣	ないかく	カビネット	cabinet
半ば1	なかば	壱：半分	half
半ば2	なかば	弐：ある程度	partly; in part; half; nearly
半ば3	なかば	参：真ん中あたり	mid-;halfway
ながら		二つの動作・状態が並行して行われる意を表す。「ラジオを聞きー勉強する」	as; while; although
生茶	なまちゃ		raw tea
ならでは		ただ＿だけ。	only (he is capable); (eat) only (in Japan)
名	な		name, reputation
内科	ないか		internist clinic, internal medicine
乃至	ないし		from...to, between...and, or
内線	ないせん		phone extension, indoor wiring, inner line
内臓	ないぞう		internal organs, intestines, viscera
内部	ないぶ		interior, inside, internal
内容	ないよう		subject, contents, matter, substance, detail, import
内乱	ないらん		civil war, insurrection, rebellion, domestic conflict
内陸	ないりく		inland
苗	なえ		rice seedling
尚	なお		furthermore, still, yet, more, still more, greater, further, less
尚更	なおさら		all the more, still less
直す	なおす		repair
治す	なおす		cure, heal, fix, correct, repair
直る	なおる		be repaired
治る	なおる		get well
中2	なか		inside, middle, among
仲	なか		relation, relationship
永い	ながい		long, lengthy
長い	ながい		long
流し	ながし		sink
流す	ながす		drain, float, shed (blood, tears)
仲直り	なかなおり		reconciliation, make peace with
中々	なかなか		very, considerably, easily, readily, by no means (neg), fairly, quite, highly, rather
長々	ながなが		long, drawn-out, very long
長引く	ながびく		be prolonged, drag on
中程	なかほど		middle, midway
仲間	なかま		company, fellow, colleague, associate, comrade, mate, group, circle of friends, partner
中味	なかみ		contents, interior, substance, filling, (sword) blade
中身	なかみ		contents, interior, substance, filling, (sword) blade
眺め	ながめ		scene, view, prospect, outlook
眺める	ながめる		view, gaze at
中指2	なかゆび		middle finger
仲良し	なかよし		intimate friend, close friend
流れ	ながれ		stream, current
流れる	ながれる		stream, flow, be washed away, run (ink)
泣く	なく		cry
鳴く	なく		bark, purr, chirp, make sound (animal)
慰める	なぐさめる		comfort, console
亡くす	なくす		lose something or someone, get rid of
無くす	なくす		lose
亡くなる	なくなる		die
無くなる	なくなる		be lost
殴る	なぐる	相手を乱暴に強く打つ。乱暴に物事をする。「ー・る蹴るの暴行」	to strike, to hit
嘆く	なげく		to sigh, to lament, to grieve
投げ出す	なげだす		to throw down, to abandon, to sacrifice, to throw out
投げる	なげる		throw
和やか	なごやか		mild, calm, gentle, quiet, harmonious
名残	なごり		remains, traces, memory
情け	なさけ		sympathy, compassion
情け深い	なさけぶかい		tender-hearted, compassionate
為さる	なさる		to do
無し	なし		without
詰る	なじる		to rebuke, to scold, to tell off
為す	なす		accomplish, do
何故	なぜ		why, how
謎	なぞ		riddle, puzzle, enigma
名高い	なだかい		famous, celebrated, well-known
傾らか	なだらか		gently-sloping, gentle, easy
雪崩	なだれ		avalanche
夏	なつ		summer
納豆	なっとう	よく蒸した大豆に納豆菌を加え、適温の中で発酵させた食品。粘って糸を引くので糸引き納豆ともいい、関東以北でよく用いる。《季 冬》「ーの糸引張って遊びけり／一茶」	fermented soybeans
懐かしい	なつかしい		dear, desired, missed
懐く	なつく		to become emotionally attached
名付ける	なづける		to name (someone)
納得	なっとく		consent, assent, understanding, agreement, comprehension, grasp
夏休み	なつやすみ		summer vacation, summer holiday
等2	など		etc., and the like
七つ	ななつ		seven
斜め	ななめ		obliqueness
何	なに		what
何か	なにか		something
何気ない	なにげない		casual, unconcerned
何しろ	なにしろ		at any rate, anyhow, anyway, in any case
何卒	なにとぞ		please
何々2	なになに		such and such, What?, What is the matter?
何分	なにぶん		anyway, please
何も	なにも		nothing
何やら	なにやら	実体がはっきりわからないさま。なにかしら。「ー物音がする」	somewhat; some; something of a
何より	なにより		most, best
七日1	なのか		seven days, the seventh day (of the month)
七日2	なのか		seven days, the seventh day of the month
名札	なふだ		name plate, name tag
鍋	なべ		saucepan, pot
生2	なま		raw, unprocessed
生意気	なまいき		impertinent, saucy, cheeky, conceit, audacious, brazen
名前	なまえ		name
生臭い1	なまぐさい		smelling of fish or blood, fish or meat<br />臭い(くさい): stinking<br />面倒臭い(めんどうくさい): bother to do, tiresome
生臭い2	なまぐさい		smelling of fish or blood, fish or meat
怠ける	なまける		be idle, neglect
生温い	なまぬるい		lukewarm, halfhearted
生身	なまみ		living flesh, flesh and blood, the quick
鉛	なまり		lead (the metal)
鈍る	なまる		to become less capable, to grow dull, to become blunt, to weaken
波	なみ		wave
浪	なみ	風や震動によって起こる海や川の水面の高低運動。波浪。「ーが寄せてくる」「ーが砕ける」「逆巻くー」	waves
並み	なみ		average, medium, common, ordinary
並木	なみき		roadside tree, row of trees
涙	なみだ		tear
滑らか	なめらか		smoothness, glassiness
悩ましい	なやましい		seductive, melancholy, languid
悩ます	なやます		to afflict, to torment, to harass, to molest
悩み	なやみ		trouble(s), worry, distress, anguish, agony, problem
悩む	なやむ		be worried, be troubled
習う	ならう		learn
倣う	ならう		imitate, follow, emulate
平均1	ならし		equilibrium, balance, average, mean
慣らす	ならす		to accustom
鳴らす	ならす		ring, sound, chime, beat
並びに	ならびに		and
並ぶ	ならぶ		line up, stand in a line
並べる	ならべる		line up, set up
成り立つ	なりたつ		to conclude, to consist of, to be practical (logical feasible viable), to hold true
成る	なる		become
生る	なる		bear fruit
為る2	なる		change, be of use, reach to
鳴る	なる		sound, ring
成る丈	なるたけ		as much as possible, if possible
成るべく	なるべく		as much as possible
成程	なるほど	他人の言葉を受け入れて、自分も同意見であることを示す。たしかに。まことに。「ーそれはいい」	indeed; really
慣れ	なれ		practice, experience
慣れる	なれる		get used to
縄	なわ		rope, hemp
難	なん		difficulty, hardships, defect
南1	なん		south
南極	なんきょく		south pole, Antarctic
何だか	なんだか		a little, somewhat, somehow
何て	なんて	驚いたり、あきれたり、感心したりする気持ちを表す。なんという。->何と「ーだらしないんだ」「ーすばらしい絵だ」	how...!, what...!
何で	なんで		Why? What for?
何でも	なんでも		by all means, everything
何と	なんと	どんなふうに。どのように。驚いたり、あきれたり、感心したりする気持ちを表す。	what, how, whatever
何とか	なんとか		somehow, anyhow, one way or another
何となく	なんとなく		somehow or other, for some reason or another
何とも	なんとも		nothing (with neg. verb), quite, not a bit
何なり	なんなり		any, anything, whatever
南米	なんべい		South America
南北	なんぼく		south and north
