妬む	ねたむ	他人が自分よりすぐれている状態をうらやましく思って憎む。ねたましく思う。そねむ。	to be jealous/envious
熱心	ねっしん	ある物事に深く心を打ち込むこと。	eagerness; enthusiasm; 〜な eager (about)/ enthusiastic (about); 〜に enthusiastically/ eagerly/ zealously;
狙い	ねらい	弓や鉄砲などで、目標に当てようとねらうこと。	aim
年度	ねんど	暦年とは別に、事務などの便宜のために区分した1年の期間。	year; school year
音1	ね		sound, note
値2	ね		value, price, cost, worth, merit, (computer programming) variable
根	ね		root
値打ち	ねうち		value, worth, price, dignity
願い	ねがい		desire, wish, request, prayer, petition, application
願う	ねがう		to desire, wish, request, beg, hope, implore
寝かせる	ねかせる		to put to bed, to lay down, to ferment
猫	ねこ		cat
猫背	ねこぜ	首をやや前に出し、背を丸めた姿勢。また、そのようなからだつき。	stoop (hunched posture)
捻子	ねじ		screw, helix, spiral
ねじ回し	ねじまわし		screwdriver
捻じれる	ねじれる		to twist, to wrench, to screw
強請る	ねだる		to tease, to coax, to solicit, to demand
値段	ねだん		price, cost
熱	ねつ		heat, fever
熱意	ねつい		zeal, enthusiasm
熱する	ねっする		to heat
熱帯	ねったい		tropics
熱中	ねっちゅう		enthusiasm, zeal, mania
熱湯	ねっとう		boiling water
熱量	ねつりょう		temperature
寝床	ねどこ	寝るための床。寝るために敷かれた敷物・布団など。「―に入る」	〔ベッド〕a bed; 〔汽車・汽船などの〕a berth
粘り	ねばり		stickyness, viscosity
粘る	ねばる		to be sticky, to be adhesive, to persevere, to persist, to stick to
値引き	ねびき		price reduction, discount
寝坊	ねぼう		sleeping in late
寝巻	ねまき		sleep-wear, nightclothes, pyjamas, nightgown, nightdress
根回し	ねまわし		making necessary arrangements
眠い	ねむい		sleepy
眠たい	ねむたい		sleepy
眠る	ねむる		sleep
狙う	ねらう		to aim at
寝る	ねる		go to bed, lie down, sleep
練る	ねる		to knead, to work over, to polish up
念	ねん		sense, idea, thought, feeling, desire, concern, attention, care
年鑑	ねんかん		yearbook
年間	ねんかん		year (interval of time)
年月2	ねんげつ		months and years
年号	ねんごう		name of an era, year number
年中	ねんじゅう		whole year, always, everyday
燃焼	ねんしょう		burning, combustion
年生	ねんせい		pupil in .... year, student in .... year
年代	ねんだい		age, era, period, date
年長	ねんちょう		seniority
燃料	ねんりょう		fuel
年輪	ねんりん		annual tree ring
年齢	ねんれい		age, years
