野垂れ死にする	のたれしにする	die a dog's death	die a dog's death
之	の		of
野	の		field
脳	のう		brain, memory
能	のう		talent, gift, function, Noh play
農家	のうか		farmer, farm family
農業	のうぎょう		agriculture
農耕	のうこう		farming, agriculture
農産物	のうさんぶつ		agricultural produce
農場	のうじょう		farm (agriculture)
農村	のうそん		agricultural community, farm village, rural
農地	のうち		agricultural land
濃度	のうど		concentration, brightness
納入	のうにゅう		payment, supply
農民	のうみん		farmers, peasants
農薬	のうやく		agricultural chemicals
能率	のうりつ		efficiency
能力	のうりょく		ability, faculty
逃す	のがす		to let loose, to set free, to let escape
逃れる	のがれる		to escape
軒	のき		eaves, house
軒並み	のきなみ		row of houses
残す	のこす		leave (behind, over), bequeath, save, reserve
残らず	のこらず		all, entirely, completely, without exception
残り	のこり		remnant, residue, remaining, left-over
残る	のこる		remain
載せる	のせる		to place on (something), to take on board, to give a ride, to let (one) take part, to impose on, to record, to mention, to load (luggage), to publish, to run (an ad)
乗せる	のせる		to place on (something), to take on board, to give a ride, to let (one) take part, to impose on, to record, to mention, to load (luggage), to publish, to run (an ad)
除く	のぞく		remove, exclude
望ましい	のぞましい		desirable, hoped for
望み	のぞみ		wish, desire, hope
望む	のぞむ		to desire, wish for, see, command (a view of)
臨む	のぞむ	向かい対する	to look out on, to face, to deal with, to attend (function)
後2	のち		afterwards, since then, in the future
乗っ取る	のっとる		to capture, to occupy, to usurp
喉	のど		throat
長閑	のどか		tranquil, calm, quiet
罵る	ののしる		to speak ill of, to abuse
延ばす	のばす		to lengthen, to stretch, to reach out, to postpone, to prolong, to extend, to grow (beard)
伸ばす	のばす		to lengthen, to stretch, to reach out, to postpone, to prolong, to extend, to grow (beard)
延びる	のびる		to be prolonged
伸びる	のびる		to stretch, to extend, to make progress, to grow (beard body height), to grow stale (soba), to lengthen, to spread, to be postponed, to be straightened, to be flattened, to be smoothed, to be exhausted
延べ	のべ		futures, credit (buying), stretching, total
述べる	のべる		state, express, mention
上り	のぼり		ascent, climbing, up-train (i.e. going to Tokyo)
昇る	のぼる		to arise, to ascend, to go up
上る	のぼる		to rise, to ascend, to be promoted, to go up, to climb, to go to (the capital), to add up to, to advance (in price), to sail up, to come up (on the agenda)
登る	のぼる		climb
飲み込む	のみこむ		to gulp down, to swallow deeply, to understand, to take in, to catch on to, to learn, to digest
飲み物	のみもの		drink, beverage
飲む	のむ		to drink
乗り換え	のりかえ		transfer (trains buses etc.)
乗換	のりかえ		transfer (trains, buses, etc.)
乗り換える	のりかえる		transfer
乗り込む	のりこむ		to board, to embark on, to get into (a car), to ship (passengers), to man (a ship), to help (someone) into, to march into, to enter
乗り物	のりもの		vehicle, vessel
載る	のる		get on, ride in, board, mount, get up on, be taken in, share in, join, be found in (a dictionary), feel like doing, be mentioned in, be in harmony with, appear (in print), be recorded
乗る	のる		get on, get up on, ride in, be taken in, share in, join, feel like doing, be mentioned in, be in harmony with
鈍い2	のろい		dull (e.g. a knife), thickheaded, slow, stupid
呑気	のんき		carefree, optimistic, careless, reckless, heedless, happy-go-lucky, easygoing
