御2	お		honorific prefix
尾	お		tail, ridge
甥	おい	自分の兄弟・姉妹が生んだ男の子。	nephew
追い掛ける	おいかける		pursue, chase
追い越す	おいこす		to pass (e.g. car), outdistance
追い込む	おいこむ		to herd, to corner, to drive
美味しい	おいしい		delicious
追い焚き	おいだき		reheating
追い出す	おいだす		to expel, to drive out
追い付く	おいつく		overtake, catch up (with)
お出でになる	おいでになる		to be
老いる	おいる		to age, to grow old
お祝い	おいわい		celebration
負う	おう		to bear, to owe
王	おう		king
追う	おう		chase
応援	おうえん		aid, assistance, help, reinforcement, support, cheering
応急	おうきゅう		emergency
王国	おうこく		kingdom
黄金	おうごん		gold
王様	おうさま		king
王子	おうじ		prince
王女	おうじょ		princess
応じる1	おうじる	呼びかけに返事をする。応答する。	in answer to (your question); in response to (his call)
応じる2	おうじる	相手の働きかけに対応して行動を起こす。こたえる。従う	consent; agree (to conditions); accept (an order or challenge); meet/satisfy (a demand)
応じる3	おうじる	物事の変化に合わせて、それにふさわしく対応する。適合する。「その場に―・じた処置」	according to; in proportion to; depends on
欧州	おうしゅう		europe
黄色1	おうしょく		yellow
応ずる	おうずる		answer, respond, meet, satisfy, accept
応接	おうせつ		reception
応対	おうたい		receiving, dealing with
横断	おうだん		crossing
応答	おうとう		reply, comply (compatible)
往復	おうふく		round trip, coming and going, return ticket
欧米	おうべい		Europe and America, the West
応募	おうぼ		subscription, application
応用	おうよう		application, put to practical use
終える	おえる		to finish
多い	おおい		have a lot of
大いに	おおいに		very, much, greatly
覆う	おおう		cover, hide, conceal, wrap, disguise
大方	おおかた		perhaps, almost all, majority
大型	おおがた	物事の内容・規模、また、人物などが他のものより大きいこと。また、そのさま。「―の台風」「―の新人」「―バス」⇔小型。	large; large-sized
大柄	おおがら		large build, large pattern
大きい	おおきい		big, large, great
大きな	おおきな		big, large
大げさ	おおげさ		grandiose, exaggerated
大事1	おおごと		important, valuable, serious matter
大ざっぱ	おおざっぱ		rough (as in not precise), broad, sketchy
大筋	おおすじ		outline, summary
大勢	おおぜい		many, a great number (of people)
大空	おおぞら		heaven, firmament, the sky
大通り	おおどおり		main street
大幅	おおはば	普通より幅の広いこと。また、そのさま。⇔小幅。	full width, large scale, drastic
大水	おおみず		flood
大晦日	おおみそか	1年の最終の日。12月31日。おおつごもり。	the last day of the year; 〔その晩〕New Year's Eve
大家	おおや		landlord, landlady
公	おおやけ		official, public, formal, open, governmental
大凡	おおよそ		about, roughly, approximately, as a rule
丘	おか		hill
お母さん	おかあさん		(polite) mother
お蔭様で	おかげさまで		Thanks to god, thanks to you
お菓子	おかし		confections, sweets, candy
可笑しい	おかしい		strange, funny, amusing, ridiculous
侵す	おかす		to invade, to raid, to trespass, to violate, to intrude on
犯す	おかす		to commit, to perpetrate, to violate, to rape
お菜	おかず		side dish, accompaniment for rice dishes
お金	おかね		money
拝む	おがむ		worship, beg
お代わり	おかわり		second helping, another cup
沖	おき		open sea
置き換える	おきかえる	物をどかして他の物をそのあとに置く。「床の間の置物を生け花にー・える」「ここはもう少し的確な表現にー・えたい」	〔置く場所を変える〕change the location ((of))，change [shift, move]((a thing from A to B)); 〔配列し直す〕rearrange〔他の物と取り替える〕replace ((A with B)); substitute ((B for A))
置き去り	おきざり	あとに残したまま、行ってしまうこと。置き捨て。「子供をーにする」「絶海の孤島にーにされる」	leave; 〔見捨てる〕desert ((one's family))
お気遣いなく	おきづかいなく	気をつかわないように相手に丁寧に述べる表現。気遣い無用。	no worries!
補う	おぎなう		compensate for
起きる	おきる		get up, rise
置く	おく		put, place
奥	おく		interior
億	おく		a hundred million
屋外	おくがい		outdoors
奥さん	おくさん		(polite) wife, your wife, his wife, married lady, madam
屋上	おくじょう		the roof top
臆病	おくびょう		cowardice, timidity
遅らす	おくらす		to retard, to delay
送り仮名	おくりがな		kana written after a kanji to complete the full (usually kun) reading of the word
贈り物	おくりもの		gift
贈る	おくる		send, give to, award to, confer on
送る	おくる		send (a thing), take or escort (a person somewhere), see off (a person), spend a period of time, live a life
遅れ	おくれ		delay, lag
遅れる	おくれる		to be late
於ける	おける	作用・動作の行われる場所・時間を表す。…の中の。…での。…にあっての。「日本にー生活」「過去にー経験」	in (a field); within (a country)
起す	おこす		raise, cause, wake someone
起こす1	おこす	 横になっているものを立たせる。「からだを―・す」	〔横になったものを立てる〕raise
起こす2	おこす	 目を覚まさせる。「寝入りばなを―・される」	〔目を覚まさせる〕wake (up)
起こす3	おこす	今までなかったものを新たに生じさせる。「風力を利用して電気を―・す」「波を―・す」	〔始める〕start; begin
起こす4	おこす	平常と異なる状態や、好ましくない事態を生じさせる。ひきおこす。「革命を―・す」「事故を―・す」	〔引き起こす〕cause; bring about
起こす5	おこす		〔設立する〕establish; found
厳か	おごそか		austere, majestic, dignified, stately, awful, impressive
怠る	おこたる	すべきことをしないでおく。なまける。また、気をゆるめる。油断する。無視する。「学業を―・る」「注意を―・る」	neglect, be off guard, be feeling better
行い	おこない		deed, conduct, behavior, action, asceticism
行う	おこなう	物事をする。なす。やる。実施する。「儀式を―・う」「合同演習を―・う」「四月五日に入学式が―・われる」	to perform, to do, to conduct oneself, to carry out
起こる	おこる	今までなかったものが新たに生じる。おきる。「静電気が―・る」「さざ波が―・る」	occur, happen
怒る2	おこる		get angry
長	おさ		chief, head
押さえる	おさえる		to stop, to restrain, to seize, to repress, to suppress, to press down
押える	おさえる		stop, restrain, seize, repress, suppress, press down
抑える	おさえる	感情・欲望などが高ぶるのをとどめる。抑制する。スポーツで、相手の勢いをとどめる。	surpress; restrain; control
お先に	おさきに		before, ahead, previously
お酒	おさけ		(polite) wine, sake
幼い	おさない	年齢が若い。幼少である。いとけない。「息子はまだー・い」	very young, childish
治まる	おさまる		to be at peace, to clamp down, to lessen (storm terror anger)
納まる	おさまる		to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered
収まる	おさまる		to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered
治める	おさめる		govern, manage, subdue
納める	おさめる		to obtain, to reap, to pay, to supply, to accept
収める	おさめる		to obtain, to reap, to pay, to supply, to accept
お皿	おさら		(polite) dish, plate
お産	おさん		(giving) birth
叔父	おじ		uncle (younger than one´s parent)
惜しい	おしい		regrettable, disappointing, precious
お祖父さん	おじいさん		grandfather, male senior-citizen
押し入れ	おしいれ		closet
教え	おしえ		teachings, precept, lesson, doctrine
教える	おしえる		teach, inform, instruct
御辞儀	おじぎ		bow
押し込む	おしこむ		to push into, to crowd into
小父さん	おじさん		middle-aged gentleman, uncle
伯父さん	おじさん		middle-aged gentleman, uncle
惜しむ	おしむ		to be frugal, to value, to regret
お邪魔します	おじゃまします		Excuse me for disturbing (interrupting) you
お洒落	おしゃれ		smartly dressed, someone smartly dressed, fashion-conscious
お嬢さん	おじょうさん		daughter (polite)
押し寄せる	おしよせる		to push aside, to advance on
雄	おす		male (animal)
押す	おす		push, press, stamp (e.g. a passport)
お薦め	おすすめ		recommendation
お世辞	おせじ		flattery, compliment
汚染	おせん		pollution, contamination
遅い	おそい		late, slow
襲う	おそう		to attack
遅くとも	おそくとも		at the latest
恐らく	おそらく		perhaps
恐るべき	おそるべき	恐れなければならない。恐れるのが当然の。ひどく恐ろしい「ー自然破壊」	terrifying; terrible; dreadful
恐れ	おそれ		fear, horror
