来	らい		since (last month), for (10 days), next (year)
雷雨	らいう		thunderstrom
来月	らいげつ	次の月	next month
来週	らいしゅう		next week
来場	らいじょう		attendance
来日	らいにち		arrival in Japan, coming to Japan, visit to Japan
来年	らいねん		next year
楽	らく		comfort, ease
落第	らくだい		failure, dropping out of a class
酪農	らくのう		dairy (farm)
落下	らっか		fall, drop, come down
楽観	らっかん		optimism
欄	らん		column of text (as in a newspaper)
乱交	らんこう		promiscuous
乱取り	らんどおり	柔道で、互いに自由に技をかけ合って練習すること。	〔柔道で〕free exercises (in judo)
乱暴	らんぼう		rude, violent, rough, lawless, unreasonable, reckless
濫用	らんよう		abuse, misuse, misappropriation, using to excess
