廊下	ろうか		corridor
楼閣	ろうかく		multistoried building
老人	ろうじん		the aged, old person
老衰	ろうすい		senility, senile decay
労働	ろうどう		manual labor, toil, work
朗読	ろうどく		reading aloud, recitation
浪人	ろうにん	古代、本籍地を離れ、他国を流浪している者。浮浪人。	a person out of work; an unemployed person
浪費	ろうひ		waste, extravagance
浪費癖	ろうひぐせ	金銭をむだに使うくせ	Extravagant spending habits
ローマ字1	ローマじ		romanization, Roman letters
ローマ字2	ローマじ		Romaji
労力	ろうりょく		labour, effort, toil, trouble
六2	ろく		six
録音	ろくおん		(audio) recording
六十代	ろくじゅうだい		sixties
露骨	ろこつ		frank, blunt, plain, outspoken, conspicuous, open, broad, suggestive
論議	ろんぎ		discussion
論じる	ろんじる		argue, discuss, debate
論ずる	ろんずる		argue, discuss, debate
論争	ろんそう		controversy, dispute
論文	ろんぶん		thesis, essay, treatise, paper
論理	ろんり		logic
