差	さ		difference, variation
佐	さ		help
歳	さい		-years-old
差異	さい		difference, disparity
際2	さい		edge, brink, verge, side
再	さい		re-, again, repeated
再会	さいかい		another meeting, meeting again, reunion
災害	さいがい	地震・台風などの自然現象や事故・火事・伝染病などによって受ける思わぬわざわい。また、それによる被害。「不慮の―」「―に見舞われる」	calamity, disaster, misfortune
再稼動	さいかどう		a restart; restarting
再稼働	さいかどう		a restart; restarting
再起動	さいきどう	コンピューターや周辺機器の使用を中止し、起動しなおすこと。リブート。リスタート。→ブート	〔コンピュータで〕restart; reboot
最強	さいきょう		strongest
最近	さいきん		recently
細菌	さいきん		bacillus, bacterium, germ
細工	さいく		work, craftsmanship, tactics, trick
採掘	さいくつ		mining
採決	さいけつ		vote, roll call
再建	さいけん		rebuilding, reconstruction, rehabilitation
再現	さいげん		reappearance, reproduction, return, revival
最後	さいご		last time
最高	さいこう		highest, supreme, the most
再三	さいさん		again and again, repeatedly
採算	さいさん		profit
祭司	さいし	1.祭儀を執り行う者。2.ユダヤ教で、神殿に奉仕して儀式をつかさどる者。	a [an officiating] priest
妻子	さいし		mother & child
祭日	さいじつ		national holiday, festival day
採集	さいしゅう		collecting, gathering
最終	さいしゅう		last, final, closing
最初	さいしょ		first time
斎場	さいじょう	神社、寺院などのある清浄な場所	holy precincts
再生	さいせい		playback, regeneration, resuscitation, return to life, rebirth, reincarnation, narrow escape, reclamation, regrowth
最善	さいぜん		the very best
催促	さいそく		request, demand, claim, urge (action), press for
最多	さいた	一番大きい	most
採択	さいたく		adoption, selection, choice
最中	さいちゅう	進行中のとき	midst; in the middle of
最低	さいてい		least, lowest, worst, nasty, disgusting, horrible, yuck!
最適	さいてき	いちばん適していること。また、そのさま。「会計には彼が―だ」「スキーに―な雪質」	optimum (most suitible)
最適化	さいてきか	《optimization》システム工学などで、特定の目的に最適の計画・システムを設計すること。コンピューターでは、プログラムを特定の目的に最も効率的なように書き換えること。オプティマイズ。オプティマイゼーション。	optimization
採点	さいてん		marking, grading, looking over
災難	さいなん		calamity, misfortune
才能	さいのう		talent, ability
栽培	さいばい		cultivation
再発	さいはつ		return, relapse, reoccurrence
裁判	さいばん		trial, judgement
裁判所	さいばんしょ	司法権を行使する国家機関。具体的事件について公権的な判断を下す権限をもつ。最高裁判所、および下級裁判所の高等・地方・家庭・簡易の各裁判所がある。	a court (of law, of justice); a law court
財布	さいふ		purse, wallet
裁縫	さいほう		sewing
細胞	さいぼう		cell (biology)
債務	さいむ		debt
採用	さいよう	適当であると思われる人物・意見・方法などを、とり上げて用いること。	adoption; employment
幸い	さいわい	その人にとって望ましく、ありがたいこと。また、そのさま。しあわせ。幸福。「不幸中の―」「君たちの未来に―あれと祈る」「御笑納いただければ―です」	happiness, blessedness
遮る	さえぎる		to interrupt, to intercept, to obstruct
坂	さか		slope, hill
境	さかい		border, boundary, mental state
栄える	さかえる		to prosper, to flourish
差額	さがく		balance, difference, margin
逆さ	さかさ		reverse, inversion, upside down
逆様	さかさま		inversion, upside down
捜す	さがす		search, seek, look for
探す	さがす		search for, look for
杯	さかずき		wine cups
逆立ち	さかだち		handstand, headstand
逆上る	さかのぼる		to go back, to go upstream, to make retroactive
遡る	さかのぼる		go back, go upstream, make retroactive
酒場	さかば		bar, bar-room
逆らう	さからう		go against, oppose, disobey, defy
盛り	さかり		summit, peak, prime
盛る1	さかる	勢いが盛んになる。「火が―・る」「燃え―・る炎」	to prosper, to flourish, to copulate (animals)
下る2	さがる		hang down, abate, retire, fall, step back
下がる	さがる		down
盛ん	さかん		prosperous
先	さき		the future, forward, priority, precedence, former, previous, old, late
詐欺	さぎ		fraud, swindle
一昨昨日	さきおととい		two days before yesterday
先に	さきに		before, earlier than, ahead, beyond, away, previously, recently
先程	さきほど		some time ago
作業	さぎょう		work, operation, manufacturing, fatigue duty
裂く	さく		to tear, split
策	さく		plan, policy
昨	さく		last (year), yesterday
作	さく		a work, a harvest
咲く	さく		to bloom
柵	さく		fence, paling
索引	さくいん		index, indices
削減	さくげん		cut, reduction, curtailment
錯誤	さくご		mistake
作者	さくしゃ		author
削除	さくじょ		elimination, cancellation, deletion, erasure
作成	さくせい		frame, draw up, make, producing, creating, preparing, writing,
作製	さくせい		manufacture
作戦	さくせん		military or naval operations, tactics, strategy
昨年	さくねん		last year
昨晩	さくばん	きのうの晩。ゆうべ。昨夜。	last night; yesterday evening
作品	さくひん		work, opus, performance, production
作物1	さくぶつ		literary work
作文	さくぶん		composition, writing
作物2	さくもつ		literary work
昨夜	さくや		last night
探る	さぐる		search, look for, sound out
炸裂	さくれつ	着弾した砲弾などがはげしく爆発すること。「榴弾(りゅうだん)が―する」	(an) explosion; 炸裂する explode; go off
酒	さけ		alcohol, sake
叫び	さけび		shout, scream, outcry
叫ぶ	さけぶ		shout, cry out
裂ける	さける		to split, to tear, to burst
避ける	さける		avoid (situation), ward off, to avert
下げる	さげる		hang, let down
些細	ささい	あまり重要ではないさま。取るに足らないさま。「ーなことを気にする」	〜な trifling; trivial
支える	ささえる		support, prop up
査察	ささつ	状況を視察すること。物事が規定どおり行われているかどうかを調べること。「上空から両国の緩衝地帯を―する」	(an) inspection (e.g. of a factory)
刺さる	ささる		stick, be stuck
些事	さじ		something small or petty, trifle
差し上げる	さしあげる		give
差し掛かる	さしかかる		to come near to, to approach
指図	さしず		instruction, mandate
差し出す	さしだす		to present, to submit, to tender, to hold out
差出人	さしだしにん	郵便物などの発送者。	the sender; 〔為替の〕the remitter
差し出し人	さしだしにん	郵便物などの発送者。	the sender; 〔為替の〕the remitter
差し支え	さしつかえ		hindrance, impediment
差し支える	さしつかえる		to interfere, to hinder, to become impeded
