背1	せ		height, stature
瀬	せ		rapids
正	せい		(logical) true, regular
制	せい		system, organization, imperial command, laws, regulation, control, government, suppression, restraint, holding back, establishment
製	せい		-made, make
背2	せい		height, stature
所為	せい		act, deed, one´s doing
姓	せい		surname, family name
性	せい		sex, gender
生育	せいいく		growth, development, breeding
征夷大将軍	せいいたいしょうぐん		shogun
精液	せいえき		semen
成果	せいか	あることをして得られたよい結果。	Achievement
正解	せいかい		correct, right, correct interpretation (answer solution)
制海権	せいかいけん		control of the seas
性格	せいかく		character, personality
正確	せいかく		accurate, punctual, exact, authentic, veracious
生活	せいかつ		living, life (one´s daily existence), livelihood
生活必需品	せいかつひつじゅひん	生活していくうえで欠かすことのできない品。食品・衣類・洗剤・燃料など。	necessities of life; daily necessities [essentials]
世紀	せいき		century, era
正規	せいき		regular, legal, formal, established, legitimate
正義	せいぎ		justice, right, righteousness, correct meaning
請求	せいきゅう		claim, demand, application, request
請求書	せいきゅうしょ	物品や代金の支払いなどを請求するために出す文書。	invoice
生計	せいけい		livelihood, living
清潔	せいけつ		clean
政権	せいけん		administration, political power
制限	せいげん		restriction, restraint, limitation
成功	せいこう	物事を目的どおりに成し遂げること。「失敗はーの母」「新規事業がーをおさめる」「実験にーする」	success, hit
精巧	せいこう		elaborate, delicate, exquisite
星座	せいざ		constellation
制裁	せいさい		restraint, sanctions, punishment
政策	せいさく		political measures, policy
制作	せいさく		work (film, book)
製作	せいさく		manufacture, production
清算	せいさん		liquidation, settlement
生産	せいさん		production, manufacture
静止	せいし		stillness, repose, standing still
生死	せいし		life and death
政治	せいじ		politic
政治家	せいじか		politician
正式	せいしき		due form, official, formality
性質	せいしつ		nature, property, disposition
誠実	せいじつ		sincere, honest, faithful
成熟	せいじゅく		maturity, ripeness
青春	せいしゅん		youth, springtime of life, adolescent
清純	せいじゅん		purity, innocence
聖書	せいしょ		Bible, scriptures
清書	せいしょ		clean copy
正常	せいじょう		normalcy, normality, normal
青少年	せいしょうねん		youth, young person
精神	せいしん		mind, soul, heart, spirit, intention
成人	せいじん		adult
整数	せいすう		integer
制する	せいする		to control, to command, to get the better of
精々	せいぜい		at the most, at best, to the utmost, as much (far) as possible
成績	せいせき		results, record
整然	せいぜん		orderly, regular, well-organized, trim, accurate
盛装	せいそう		be dressed up, wear rich clothes
清掃	せいそう		cleaning
精巣	せいそう		testicle
製造	せいぞう		manufacture, production
生存	せいぞん		existence, being, survival
盛大	せいだい		grand, prosperous, magnificent
清濁	せいだく		good and evil, purity and impurity
成長	せいちょう		growth, grow to adulthood
生長	せいちょう		growth, increment
制定	せいてい		enactment, establishment, creation
静的	せいてき		static
製鉄	せいてつ		iron manufacture
晴天	せいてん		fine weather
生徒	せいと		pupil
制度	せいど		system, institution, organization
正当	せいとう		just, justifiable, right, due, proper, equitable, reasonable, legitimate, lawful
政党	せいとう		(member of) political party
成年	せいねん		majority, adult age
青年	せいねん		youth, young man
生年月日	せいねんがっぴ		birth date
性能	せいのう		ability, efficiency
整備	せいび		adjustment, completion, consolidation
製品	せいひん		manufactured goods
政府	せいふ	政治を行う所。立法・司法・行政のすべての作用を包含する、国家の統治機構の総称。日本では、内閣および内閣の統轄する行政機構をさす。内閣。	government, administration
制服	せいふく		uniform
征服	せいふく		conquest, subjugation, overcoming
生物	せいぶつ		living things, creature
成分	せいぶん		ingredient, component, composition
性別	せいべつ		distinction by sex, sex, gender
製法	せいほう		manufacturing method, recipe, formula
正方形	せいほうけい		square
精密	せいみつ		precise, exact, detailed, minute, close
声明	せいめい		declaration, statement, proclamation
姓名	せいめい		full name
生命	せいめい		life, existence
正門	せいもん		main gate, main entrance
制約	せいやく		limitation, restriction, condition, constraints
西洋	せいよう		West, Western countries
生理	せいり		physiology, menses
整理	せいり		sorting, arrangement, adjustment, regulation
成立	せいりつ		coming into existence, arrangements, establishment, completion
勢力	せいりょく		influence, power, might, strength, potency, force, energy
精霊	せいれい		spirit; ghost; soul
西暦	せいれき		Christian Era, Anno Domini (A.D.)
整列	せいれつ		stand in a row, form a line
背負う2	せおう		be burdened with, carry on back or shoulder
世界	せかい		world
急かす	せかす		to hurry, to urge on
席	せき		seat
積	せき		〔数学で〕the product
隻	せき	比較的大きい船を数えるのに用いる。「駆逐艦二―」	vessels
赤色2	せきしょく		red
石炭	せきたん		coal
赤道	せきどう		equator
責任	せきにん		duty, responsibility
責務	せきむ		duty, obligation
石油	せきゆ		oil, petroleum, kerosene
世間	せけん		world, society
世辞	せじ		flattery, compliment
世帯	せたい	住居および生計を同じくする者の集まり。所帯。「一―当たりの収入」	household〔家族〕a family
世代	せだい		generation, the world, the age
背丈	せたけ	かかとから頭頂までの背の高さ。身長。	〔身長〕height; ((文)) stature⇒しんちょう(身長)
説	せつ		theory
節1	せつ		node, section, occasion, time
切開	せっかい		clearing (land), opening up, cutting through
石灰岩	せっかいがん		limestone
折角	せっかく		with trouble, at great pains, long-awaited
積極的	せっきょくてき		positive, active, proactive
接近	せっきん		getting closer, approaching
設計	せっけい	建造物の工事、機械の製造などに際し、対象物の構造・材料・製作法などの計画を図面に表すこと。「ビルを―する」	plan, design
石鹸	せっけん		soap
摂氏	せっし		celsius
切実	せつじつ		compelling, serious, severe, acute, earnest, pressing, urgent
摂取	せっしゅ		ingestion
接触	せっしょく		touch, contact
接する	せっする		come in contact with, connect, attend, receive
拙速	せっそく	できはよくないが、仕事が早いこと。また、そのさま。「―に事を運ぶ」⇔巧遅 (こうち) 	hasty; more haste than caution
接続	せつぞく		connection, union, join, link, changing trains
接続詞	せつぞくし		conjunction
設置	せっち		establishment, institution
折衷	せっちゅう	いくつかの異なった考え方のよいところをとり合わせて、一つにまとめ上げること。「両者の意見を―する」「和洋―」「―案」	compromise, cross, blending, eclecticism
折中	せっちゅう	いくつかの異なった考え方のよいところをとり合わせて、一つにまとめ上げること。「両者の意見を―する」「和洋―」「―案」	compromise, cross, blending, eclecticism
設定	せってい		establishment, creation
窃盗	せっとう	盗難	theft
説得	せっとく		persuasion
切ない	せつない		painful, trying, oppressive, suffocating
設備	せつび		equipment, device, facilities, installation
