すっかり		残るもののないさま。ことごとく。まったく。完全に。	completely; really (aged; pleased)
清々しい	すがすがしい	さわやかで気持ちがいい。涼しい	refreshing
即ち	すなわち	前に述べた事を別の言葉で説明しなおすときに用いる。言いかえれば。つまり。	namely; that is (to say); or
術	すべ	方法や道など	a way; means
酢	す		vinegar
巣	す		nest, rookery, breeding place, beehive, cobweb, den
水位	すいい	一定の基準面から測った水面の高さ。	water level
推移	すいい	時がたつにつれて状態が変化すること。移り変わっていくこと。「情勢が―する」	〔変化〕a change; 〔移行〕a transition
水泳	すいえい		swimming
西瓜	すいか		watermelon
水気	すいき		moisture, dampness, vapor, dropsy, edema
水源	すいげん		source of river, fountainhead
水産	すいさん		marine products, fisheries
水死	すいし	水におぼれて死ぬこと。溺死(できし)。「池にはまって―する」	death from drowning
水死体	すいしたい		corpse of a drowned individual
炊事	すいじ		cooking, culinary arts
水準	すいじゅん		water level, level, standard
水晶	すいしょう		crystal
水蒸気	すいじょうき		water vapour, steam
推進	すいしん	物を前へおし進めること。「スクリューで＿する」	promote; propel
水洗	すいせん		flushing
推薦	すいせん		recommendation
推薦状	すいせんじょう		Letter of recommendation
水素	すいそ		hydrogen
吹奏	すいそう		playing wind instruments
推測	すいそく		guess, conjecture
衰退	すいたい	減少	decline
垂直	すいちょく		vertical, perpendicular
推定	すいてい		presumption, assumption, estimation
水滴	すいてき		drop of water
水田	すいでん		(water-filled) paddy field
水筒	すいとう		canteen, flask, water bottle
水道	すいどう		water works
水分	すいぶん		moisture
水平	すいへい		water level, horizon
水平線	すいへいせん		horizon
睡眠	すいみん		sleep
水曜	すいよう		Wednesday
水曜日	すいようび		Wednesday
推理	すいり		reasoning, inference, mystery or detective genre (movie novel etc.)
吸う	すう		to smoke, breathe in, sip, suck
数2	すう		number, (mathematics) function
数学	すうがく		mathematics
崇敬	すうけい	あがめうやまうこと。尊崇。「生き仏として―する」「―の念」	veneration; adoration
数詞	すうし		numeral
数字	すうじ		numeral, figure
崇拝	すうはい		worship, adoration, admiration, cult
数量	すうりょう		quantity
末2	すえ		end, close, future, finally, tip, top, trivialities, posterity, youngest child
据え付ける	すえつける		to install, to equip, to mount
末っ子	すえっこ		youngest child
据える	すえる		to set (table), to lay (foundation), to place (gun), to apply (moxa)
姿	すがた		figure, shape, appearance
好き	すき		liking, fondness, love
過ぎ	すぎ		past, after
杉	すぎ		Japanese cedar
好き嫌い	すききらい		likes and dislikes, taste
好き好き	すきずき		matter of taste
透き通る	すきとおる		be or become transparent
隙間	すきま		crevice, crack, gap, opening
過ぎる	すぎる		pass
空く1	すく	ある空間を満たしていた人や物が少なくなって、あきができる。まばらになる。減る。「がらがらに―・いた電車」「道路が―・く」	be less crowded, open, become open, become empty
直ぐ	すぐ		immediately, soon, easily, right (near), honest, upright
救い	すくい		help, aid, relief
巣喰う	すくう	悪い考えや病気などが宿る「妄想が―・う」「病魔が―・う」	infest, build a nest
救う	すくう		rescue from, help out of
少ない	すくない		few, a little, scarce, insufficient, seldom
少なくとも	すくなくとも		at least
優れる	すぐれる		surpass, outstrip, excel
凄い	すごい		terrible, dreadful, terrific, amazing, great, wonderful, to a great extent
少し	すこし		small quantity, little, few, something, little while, short distance
少しずつ	すこしずつ		little-by-little
少しも	すこしも		anything of, not one bit
過ごす	すごす		pass, spend, go through, tide over
健やか	すこやか		vigorous, healthy, sound
筋	すじ		muscle, string, line, stripe, plot, plan, sinew
濯ぐ	すすぐ		to rinse, to wash out
進み	すすみ		progress
進む	すすむ		make progress, advance, improve
勧め	すすめ		recommendation, advice, encouragement
進める	すすめる		advance, promote, hasten
勧める	すすめる		recommend, advise, encourage
薦める	すすめる	ある人や物をほめて、採用するように説く。推薦する。「有望株を―・める」	recommend
鈴	すず		bell
涼しい	すずしい		cool, refreshing
裾	すそ		(trouser) cuff, (skirt) hem, cut edge of a hairdo, foot of mountain
廃れる	すたれる		to go out of use, to become obsolete, to die out, to go out of fashion
酸っぱい	すっぱい		sour, acid
素敵	すてき		lovely, dreamy, beautiful, great, fantastic, superb, cool, capital
既に	すでに	ある動作が過去に行われていたことを表す。以前に。前に。「―述べた事柄」	already, too late
已に	すでに	ある動作が過去に行われていたことを表す。以前に。前に。「―述べた事柄」	already, too late
既にして	すでにして	そうこうしているうちに。かれこれする間に。やがて。	in the meantime; soon; before long
捨てる	すてる		throw
棄てる	すてる	不用のものとして、手元から放す。ほうる。投棄する。「ごみを―・てる」「武器を―・てて投降する」⇔拾う。	throw away, cast aside, abandon, resign
砂	すな		sand
素直	すなお		obedient, meek, docile, unaffected
脛	すね	膝 (ひざ) からくるぶしまでの間の部分。はぎ。	〔向こうずね〕the shin
臑	すね	膝 (ひざ) からくるぶしまでの間の部分。はぎ。	〔向こうずね〕the shin
すね	臑・脛	膝 (ひざ) からくるぶしまでの間の部分。はぎ。	〔向こうずね〕the shin
素早い	すばやい		fast, quick, prompt, agile
素晴らしい	すばらしい		wonderful, splendid, magnificent
全て	すべて		all, the whole, entirely, in general, wholly
滑る	すべる		to slide, to slip, to glide
住まい	すまい		dwelling, house, residence, address
澄ます	すます		to clear, to make clear, to be unruffled, to look unconcerned, to look demure, look prim, put on airs
済ます	すます		to finish, to get it over with, to settle, to conclude, to pay back
済ませる	すませる		be finished
済まない	すまない		sorry (phrase)
墨	すみ		ink
角2	すみ		corner, nook
隅	すみ		corner
住む	すむ		abide, reside, live in, inhabit, dwell
清む	すむ		to clear (e.g. weather), become transparent
澄む	すむ		to clear (e.g. weather), to become transparent
済む	すむ		end
天皇1	すめらぎ		Emperor of Japan
相撲	すもう		sumo wrestling
刷り	すり		printing
刷る	する		print, publish
為る1	する		do, try, play, practice, cost, serve as, pass, elapse
鋭い	するどい		pointed, sharp
擦れ違い	すれちがい		chance encounter
すれ違う	すれちがう		to pass by one another, to disagree, to miss each other
擦れる	すれる		to rub, to chafe, to wear, to become sophisticated
座る	すわる		sit
寸法	すんぽう		measurement, size, dimension
