但し	ただし	しかし。前述の事柄に対して、その条件や例外などを示す。	but; however; given that; provided that
ただし	但し	しかし。前述の事柄に対して、その条件や例外などを示す。	but; however; given that; provided that
辿り着く	たどりつく	尋ね求めながら、やっと目的地に行き着く。	arrive at; work your way to
民	たみ	国家や社会を構成する人々。国民。	people; citizen
単なる	たんなる	それだけで、ほかに何も含まないさま。ただの。	mere; simple
田	た		rice field
他1	た		other (especially people and abstract matters)
他意	たい		ill will, malice, another intention, secret purpose, ulterior motive, fickleness, double-mindedness
対	たい		ratio, versus, against, opposition
体育	たいいく		physical education, gymnastics, athletics
退院	たいいん		leave hospital
対応	たいおう		interaction, correspondence, coping with, dealing with
体温	たいおん		temperature (body)
退化	たいか		degeneration, retrogression
大会	たいかい		convention, tournament, mass meeting, rally
大概	たいがい		in general, mainly
体格	たいかく		physique, constitution
退学	たいがく		dropping out of school
体幹	たいかん	体の主要部分。胴体のこと。また、その部分にある筋肉。コア。「―を鍛える運動器具」	core
大気	たいき		atmosphere
大金	たいきん		great cost
待遇	たいぐう		treatment, reception
退屈	たいくつ		tedium, boredom
体系	たいけい		system, organization
対決	たいけつ		confrontation, showdown
体験	たいけん		personal experience
太鼓	たいこ		drum, tambourine
対抗	たいこう		opposition, antagonism
滞在	たいざい		stay, staying「不法滞在者：illegal immigrant」
対策	たいさく	相手の態度や事件の状況に対応するための方法・手段。「人手不足の―を立てる」「―を練る」「税金―」	〔方策〕measures, a step; 〔対抗策〕a countermeasure
大使	たいし		ambassador
退治	たいじ		extermination
胎児	たいじ		fetus
大使館	たいしかん		embassy
大した	たいした		considerable, great, important, significant, a big deal
大して	たいして		(not so) much, (not) very
対して	たいして		for, in regard to, per
大衆	たいしゅう		general public
対処	たいしょ		deal with, cope
対照	たいしょう		contrast, antithesis, comparison
対象	たいしょう	行為の目標となるもの。めあて。「幼児をーとする絵本」「調査のー」	object; subject; target
対象外	たいしょうがい		not covered (by); not subject (to); exempt
退職	たいしょく		retirement (from office)
対人	たいじん		interpersonal
対する	たいする		face, confront, oppose
体制	たいせい	各部分が統一的に組織されて一つの全体を形づくっている状態。「経営の―を立て直す」「厳戒―」	order, system, structure, set-up, organization
大勢	たいせい	からだの構え。姿勢。「崩れた―を立て直す」	a posture; a physical position [stance]
態勢	たいせい		attitude, conditions, preparations
体積	たいせき		capacity, volume
大切	たいせつ		important
大戦	たいせん		great war, great battle
大層	たいそう		very much, exaggerated, very fine
体操	たいそう		gymnastics, physical exercises, calisthenics
対談	たいだん		talk, dialogue, conversation
隊長	たいちょう	軍隊で、一隊の兵士の指揮権をもつ人。	指導者〕a leader, a captain; 〔一般に，指揮する人〕a commander; 〔軍の〕a commanding officer
大抵	たいてい		usually, generally
