手	て		hand
手当て	てあて		allowance, compensation, treatment, medical care
手洗い	てあらい		restroom, lavatory, hand-washing
体1	てい		appearance, air, condition, state, form
艇	てい	細長い小舟	a boat
提案	ていあん	議案や意見を提出すること。また、その議案や意見。「具体策を―する」「―者」	proposal, proposition, suggestion
定員	ていいん		fixed number of regular personnel, capacity (of boat, hall, aeroplane, etc.)
低下	ていか		decline, deterioration
定価	ていか		established price
定期	ていき		fixed term
定義	ていぎ	物事の意味・内容を他と区別できるように、言葉で明確に限定すること。「敬語の用法をーする」	definition
定期券	ていきけん		commuter pass, season ticket
定休日	ていきゅうび		regular holiday
提供	ていきょう	申し出。差し出し	offer; provide
提携	ていけい		cooperation, tie-up, joint business, link-up
抵抗	ていこう		electrical resistance, resistance, opposition
体裁	ていさい		decency, style, form, appearance, show, get-up, format
梯子1	ていし		ladder, stairs
停止	ていし		suspension, interruption, stoppage, ban, standstill, deadlock, stalemate, abeyance
提示	ていじ		presentation, exhibit, suggest, citation
停車	ていしゃ		stopping (e.g. train)
提出	ていしゅつ		presentation, submission, filing
提唱	ていしょう	意見・主張などを唱え、発表すること。「改革をーする」	proposal; advocation
定食	ていしょく		set meal, special (of the day)
訂正	ていせい		correction, revision
停滞	ていたい		stagnation, tie-up, congestion, retention, accumulation, falling into arrears
邸宅	ていたく		mansion, residence
停電	ていでん		failure of electricity
程度	ていど		degree, amount, grade, standard, of the order of (following a number)
丁寧	ていねい		polite, courteous
定年	ていねん		retirement age
堤防	ていぼう		bank, weir
停留所	ていりゅうじょ		bus or tram stop
手入れ	ていれ		repairs, maintenance
手遅れ	ておくれ		too late, belated treatment
て居ります	て居ります	「…ている」の丁寧な言い方。「ただ今、外出して―・ります」	～ており is equivalent to ～ていて (which itself comes from ～ている, e.g. 書いている, "currently writing")
手掛かり	てがかり		contact, trail, scent, on hand, hand hold, clue, key
手掛ける	てがける		to handle, to manage, to work with, to rear, to look after, to have experience with
手数	てかず		number of moves, trouble
手紙	てがみ		letter
手軽	てがる		easy, simple, informal, offhand, cheap
的1	てき		-like, typical
敵2	てき		foe, enemy, rival
適応	てきおう		adaptation, accommodation, conformity
的確	てきかく		precise, accurate
適確	てきかく		precise, accurate
適宜	てきぎ		suitability
適する	てきする		fit, suit
適性	てきせい		aptitude
適切	てきせつ		pertinent, appropriate, adequate, relevance
適度	てきど		moderate
適当	てきとう		appropriate
適用	てきよう		applying
手際	てぎわ		performance, skill, tact
手首	てくび		wrist
手頃	てごろ		moderate, handy
手品	てじな		sleight of hand, conjuring trick, magic, juggling
手順	てじゅん		process, procedure, protocol
手錠	てじょう		handcuffs, manacles
手近	てぢか		near, handy, familiar
手帳	てちょう		notebook
鉄	てつ		iron
撤回	てっかい	いったん提出・公示したものなどを、取り下げること	withdrawal; retreat; reinstate
哲学	てつがく		philosophy
鉄橋	てっきょう		railway bridge, iron bridge
鉄鋼	てっこう		iron and steel
徹する	てっする		to sink in, to penetrate, to devote oneself, to believe in, to go through, to do intently and exclusively
撤退	てったい		retreat
手伝い	てつだい		help, helper, assistant
手伝う	てつだう		help
手続き	てつづき		procedure, (legal) process, formalities
徹底	てってい		thoroughness, completeness
鉄道	てつどう		railroad
鉄片	てっぺん		iron scraps
鉄砲	てっぽう		gun
徹夜	てつや		all night, all-night vigil, sleepless night
手並み	てなみ	腕前。技量。「おー拝見」	skill
手拭い	てぬぐい		(hand) towel
手の施しようがない	てのほどこしようがない	処置のしようがない	beyond help; there's nothing that can be done
手配	てはい		arrangement, search (by police)
手筈	てはず		arrangement, plan, programme
手引き	てびき		guidance, guide, introduction
手袋	てぶくろ		gloves
手本	てほん		model, pattern
手間	てま		time, labour
手前	てまえ		before, this side, we, you
手回し	てまわし		preparations, arrangements
手元	てもと		on hand, at hand, at home
寺	てら		temple
照らす	てらす		shine on, illuminate
照り返す	てりかえす		to reflect, to throw back light
照る	てる		shine
手分け	てわけ		division of labour
点	てん		point, mark, grade
店1	てん		store, shop, establishment
店員	てんいん		salesclerk
点火	てんか		ignition, lighting, set fire to
転回	てんかい		revolution, rotation
展開	てんかい		develop, expansion (opposite of compression)
転換	てんかん		convert, divert
典雅	てんが		grace
天気	てんき		weather, the elements, fine weather
転居	てんきょ		moving, changing residence
天気予報	てんきよほう		weather forecast
転勤	てんきん		transfer, transmission
典型	てんけい		type, pattern, archetypal
点検	てんけん		inspection, examination, checking
転校	てんこう		change schools
天候	てんこう		weather
天国	てんごく		paradise, heaven, Kingdom of Heaven
天災	てんさい		natural calamity, disaster
天才	てんさい		genius, prodigy, natural gift
展示	てんじ		exhibition, display
天守	てんしゅ	城の本丸に築かれた最も高い物見やぐら。・・閣。	a castle tower [keep]; a donjon
天守閣	てんしゅかく	城の本丸に築かれた最も高い物見やぐら。	a castle tower [keep]; a donjon
天井	てんじょう		ceiling, ceiling price
転じる	てんじる		to turn, to shift, to alter, to distract
点数	てんすう		marks, points, score, number of items, credits
点線	てんせん		dotted line, perforated line
天体	てんたい		heavenly body
点々	てんてん		here and there, little by little, sporadically, scattered in drops, dot, spot
転々	てんてん		rolling about, moving from place to place, being passed around repeatedly
店舗	てんぽ	商品を並べて売るための建物。みせ。「―を広げる」「大型―」	みせ(店)，しょうてん(商店)
転任	てんにん		change of post
天然	てんねん		nature, spontaneity
天皇2	てんのう		Emperor of Japan
展望	てんぼう		view, outlook, prospect
転落	てんらく		fall, degradation, slump
展覧会	てんらんかい		exhibition
