戸2	と		door (Japanese style)
都1	と		metropolitan, municipal
問い	とい		question, query
問い合わせ	といあわせ		enquiry
問い合わせる	といあわせる		to enquire, to seek information
問屋	といや		wholesale store
塔	とう		tower, pagoda
棟	とう	むねの長い建物。大きい建物。	place, section, building
党	とう		party (political), faction, -ite
等1	とう		et cetera, etc., and the like
問う	とう		to ask, to question, to charge (i.e. with a crime), to accuse, without regard to (neg)
答案	とうあん		examination paper, examination script
統一	とういつ		unity, consolidation, uniformity, unification, compatible
当該	とうがい		the (above said)
唐辛子	とうがらし		cayenne pepper; red pepper
冬季	とうがん	冬の季節。冬のシーズン。冬。「―料金」	winter; wintertime; the winter season
冬瓜	とうがん	ウリ科の蔓性 (つるせい) の一年草。茎に巻きひげがあり、葉は手のひら状に裂けている。(a white gourd-melon; a wax gourd)
陶器	とうき		pottery, ceramics
討議	とうぎ		debate, discussion
等級	とうきゅう		grade, class
峠	とうげ		ridge, (mountain) pass, difficult part
統計	とうけい		statistics
統計者	とうけいしゃ		statistician
統計学	とうけいがく	確率論を基盤にして、集団全体の性質を一部の標本を調べることによって推定するための処理・分析方法について研究する学問。	statistics; statistical
登校	とうこう		attendance (at school)
統合	とうごう		integration, unification, synthesis
搭載	とうさい	機器・自動車などに、ある装備や機能を組み込むこと	powered by; loading on board (e.g. missile on a boat)
東西	とうざい		East and West, Orient and Occident, whole country, Your attention, please!
倒産	とうさん		(corporate) bankruptcy, insolvency
投資	とうし		investment
当時	とうじ		at that time, in those days
統治	とうじ		rule, reign, government, governing
陶磁器	とうじき		pottery
当日	とうじつ		appointed day
東芝	とうしば		Toshiba
投書	とうしょ		letter to the editor, letter from a reader, contribution
登場	とうじょう		entry (on stage), appearance (on screen), entrance, introduction (into a market)
統制	とうせい	多くの物事を一つにまとめておさめること。管理	(スル) control; place ((a thing)) under one's control; regulate
当選	とうせん		being elected, winning the prize
逃走	とうそう		flight, desertion, escape
統率	とうそつ		command, lead, generalship, leadership
灯台	とうだい		lighthouse
到達	とうたつ		reaching, attaining, arrival
到底	とうてい	どうやってみても。どうしても。つまるところ。つまり。	absolutely; most; utterly; simply; possibly
到着	とうちゃく	目的地などに行きつくこと。到達。	arrival
丁々	とうとう		clashing of swords, felling of trees, ringing of an ax
等々	とうとう		etc.
党内	とうない	政党の内部。仲間うち。	inside party; intraparty; internal party (reasons)
盗難	とうなん		theft, robbery
投入	とうにゅう		throw, investment, making (an electrical circuit)
当人	とうにん		the one concerned, the said person
当番	とうばん		being on duty
逃避	とうひ	困難などに直面したとき逃げたり、意識しないようにしたりして、それを避けること。「現実から―する」	escape; flight (perfom flee)
投票	とうひょう		voting, poll
豆腐	とうふ		Tofu
等分	とうぶん		division into equal parts
謄本	とうほん	原本の内容を全部写して作った文書。戸籍謄本・登記簿謄本など。→抄本	a (certified) copy; a transcript
逃亡	とうぼう		escape
冬眠	とうみん		hibernation, winter sleep
透明	とうめい	すきとおって向こうがよく見えること。物体が光をよく通すこと。	transparency, cleanness
灯油	とうゆ		lamp oil, kerosene
東洋	とうよう		Orient
登用	とうよう	任命(昇進appointment)
棟梁	とうりょう	一族・一門の統率者。集団のかしら。頭領。また、一国を支える重職。武家の統率者のこと。	leader (e.g. of a clan; group of carpenters etc.)
登録	とうろく		registration, register, entry, record
討論	とうろん		debate, discussion
十2	とお		10, ten
遠い	とおい		far, distant
十日	とおか		ten days, the tenth day of the month
遠く	とおく		far
遠ざかる	とおざかる		to go far off
通す	とおす		let pass, overlook, continue, keep, make way for, persist in
遠回り	とおまわり		detour, roundabout way
通り	とおり		street, road
通り掛かる	とおりかかる		happen to pass by
通りかかる	とおりかかる		to happen to pass by
通り過ぎる	とおりすぎる		pass, pass through
通る1	とおる	往来する。通過する。突き抜ける。入る	pass, go along
通る2	とおる	認められて成り立つ。認められる。論理的である「法案がー・る」	be accepted; make sense; be reasonable
都会	とかい		city
兎角	とかく		anyhow, anyway, somehow or other, generally speaking, in any case, this and that, many, be apt to
溶かす	とかす		melt, dissolve
時	とき		time, hour, occasion, moment
時折	ときおり		sometimes
時々	ときどき		sometimes
解き放つ	ときはなつ	つながっているものをほどいて別々にする。	set free; let loose; unleash
跡切れる	とぎれる		to pause, to be interrupted
説く	とく		to explain, to advocate, to preach, to persuade
溶く	とく		dissolve (e.g. paint)
解く2	とく	筋道をたどって解答を出す。「問題を―・く」	solve, answer, unravel, untie
研ぐ	とぐ		to sharpen, to grind, to scour, to hone, to polish, to wash (rice)
得意	とくい		pride, triumph, prosperity, one´s strong point, one´s forte, one´s specialty, customer, client
特技	とくぎ		special skill
特産	とくさん		specialty, special product
特殊	とくしゅ		special, unique
特集	とくしゅう		feature (e.g. newspaper), special edition, report
特色	とくしょく		characteristic, feature
特長	とくちょう		forte, merit
特徴	とくちょう		feature, characteristic
特定	とくてい		specific, special, particular
得点	とくてん		score, points made, marks obtained, runs
特に	とくに		specially
特派	とくは		send specially, special envoy
特売	とくばい		special sale
特別	とくべつ		special
匿名	とくめい		anonymity, pseudonym
特命	とくめい	特別の命令・任命。「ーを帯びる」	special mission
特有	とくゆう		characteristic (of), peculiar (to)
刺	とげ		thorn, splinter, spine, biting words
溶け合う	とけあう	とけて、まざり合い一つになる。「―・わない物質」	〔溶けて入り混じる〕melt together
時計	とけい		watch, clock
溶け込む	とけこむ		melt into
溶ける	とける		melt, thaw, fuse, dissolve
解ける	とける		loosen
遂げる	とげる		to accomplish, to achieve, to carry out
床1	とこ		bed, sickbed, alcove, padding
床に就く	とこにつく	寝床に入る。就寝する。「毎晩早く―・く」	go to bed
床の間	とこのま		alcove
床屋	とこや		barber
所	ところ		place
所が	ところが		however, while, even if
所で	ところで		by the way, even if, no matter what
所々2	ところどころ		here and there, some parts (of something)
登山	とざん		mountain climbing
都市	とし		town, city, municipal, urban
年	とし		year
年上	としうえ	年齢が上であること。また、その人。年長。年嵩 (としかさ) 。⇔年下。	(three years) older (than); (a wife) older (than oneself)
年頃	としごろ		age, marriageable age, age of puberty, adolescence, for some years
年月1	としつき		months and years
戸締り	とじまり		closing up, fastening the doors
図書	としょ		books
途上	とじょう		en route, half way
図書館	としょかん		library
年寄り	としより		old people, the aged
閉じる	とじる		close (e.g. book, eyes, meeting, etc.), shut
都心	としん		heart of city
渡世	とせい		making a living; earning a livelihood
途絶える	とだえる		to stop, to cease, to come to an end
戸棚	とだな		cupboard, locker, closet, wardrobe
途端	とたん		just (now, at the moment, etc.)
土地	とち		plot of land, lot, soil
途中2	とちゅう	出発してから目的地に着くまでの間。まだ目的地に到着しないうち。「出勤―の事故」「―で引き返す」	on the way
特急	とっきゅう		limited express (train, faster than an express)
特許	とっきょ		special permission, patent
特権	とっけん		privilege, special right
とっく	疾っく	ずっと以前。とう。「―からここに住んでいる」	long ago
とっくに	疾っくに	ずっと前に。とうに。「食事は―に済ませた」	long ago; (had) long since (forgotten); (is) well (past 12); (is) well (over 60);
突如	とつじょ		suddenly, all of a sudden
突然	とつぜん		abruptly, suddenly, unexpectedly, all at once
当然	とつぜん	それがあたりまえであるさま。もちろん	only natural .. of course; ought to; deserves; proper; naturally
取っ手	とって		handle, grip, knob
突破	とっぱ		breaking through, breakthrough, penetration
届く	とどく	送った品物や郵便物が相手の所に着く。到着する「母から便りがー・く」	reach; receive; arrive
届け	とどけ		report, notification, registration
届ける	とどける		deliver
滞る	とどこおる		to stagnate, to be delayed
整う	ととのう		be prepared, be in order, be put in order, be arranged
整える	ととのえる		to put in order, to get ready, to arrange, to adjust
止まる1	とどまる		to be limited to
留まる1	とどまる		remain, abide, stay (in the one place), come to a halt, be limited to, stop
止める1	とどめる		to stop, to cease, to put an end to
留める	とどめる		to stop, to cease, to put an end to
都内	とない		inner-metropolis; inner-city
唱える	となえる		to recite, to chant, to call upon
隣	となり		next to, next door to
とにかく	兎に角	他の事柄は別問題としてという気持ちを表す。何はともあれ。いずれにしても。ともかく。「―話すだけ話してみよう」「間に合うかどうか、―行ってみよう」	anyhow; in any case; anyway
殿様	とのさま		feudal lord
飛ばす	とばす		skip over, omit
幕1	とばり		curtain, bunting, act (in play)
帳	とばり		curtain
飛び	とび		jump
飛び込む	とびこむ		jump in, leap in, plunge into, dive
飛び出す	とびだす		jump out, rush out, fly out, appear suddenly, protrude, project
扉	とびら		door, opening
跳ぶ	とぶ		jump, fly, leap, spring, bound, hop
飛ぶ	とぶ	空中を移動する。飛行する。「鳥が＿・ぶ」	jump, fly, leap, spring, bound, hop
徒歩	とほ		walking, going on foot
乏しい	とぼしい		meagre, scarce, limited, destitute, hard up, scanty, poor
泊まる	とまる		stay at (e.g. hotel)
止まる2	とまる		come to a halt
留まる2	とまる		fasten, turn off, detain
富	とみ		wealth, fortune
富む	とむ		to be rich, to become rich
泊める	とめる		stay
友	とも		friend, companion, pal
共稼ぎ	ともかせぎ		working together, (husband and wife) earning a living together
灯1	ともしび		light
友達	ともだち		friend
伴う	ともなう		to accompany, to bring with, to be accompanied by, to be involved in
共に	ともに		sharing with, participate in, both, alike, together, along with, with, including
共働き	ともばたらき		dual income
虎2	とら		〔酔っぱらい〕a drunk
捕らえる	とらえる		to seize, to grasp, to capture, to arrest
捕える	とらえる		seize, grasp, capture, arrest
鳥	とり		bird, fowl, poultry
取り敢えず1	とりあえず	ほかのことはさしおいて、まず第一に。なにはさておき。何はさておき	first of all
取り敢えず2	とりあえず	何する間もなく。すぐに。差し当たり。	for the time being
取り上げる	とりあげる		take up, pick up, disqualify, confiscate, deprive
取り扱い	とりあつかい		treatment, service, handling, management
取り扱う	とりあつかう		to treat, to handle, to deal in
鳥居	とりい		torii (Shinto shrine archway)
取り入れる	とりいれる		harvest, take in, adopt
取り替え	とりかえ		swap, exchange
取り替える	とりかえる		exchange
取り組む	とりくむ		to tackle, to wrestle with, to engage in a bout, to come to grips with
取り消す	とりけす		cancel
取り下げる	とりさげる		??
取締まり	とりしまり	不正や不法が行われないように監視すること。管理・監督すること。「管内の―にあたる」	control, management, supervision
取り締まり	とりしまり	不正や不法が行われないように監視すること。管理・監督すること。	control, management, supervision
取り締まる	とりしまる	不正や不法が行われないように監視する。管理・監督する。「違法行為を―・る」	to manage, to control, to supervise
取り調べ	とりしらべ	特に、捜査機関が、被疑者や参考人の出頭を求めて犯罪に関する事情を聴取すること。尋問	取り調べること。 interrogation; examination; inquiry
取り調べる	とりしらべる		to investigate, to examine
取り出す	とりだす		take out, produce, pick out
取り立てる	とりたてる		to collect, to extort, to appoint, to promote
取り次ぐ	とりつぐ		to act as an agent for, to announce (someone), to convey (a message)
取り除く	とりのぞく		to remove, to take away, to set apart
取り引き	とりひき		transactions, dealings, business
取り巻く	とりまく		to surround, to circle, to enclose
取り混ぜる	とりまぜる		to mix, to put together
取り戻す	とりもどす		to take back, to regain
取り寄せる	とりよせる		to order, to send away for
取り分	とりわけ		especially, above all
採る	とる		adopt (measure, proposal), pick (fruit), assume (attitude)
取る	とる		take, pick up, harvest, earn, choose
撮る	とる		take (a photo), make (a film)
捕る	とる		take, catch (fish), capture
取れる	とれる		come off, be taken off, be removed, be obtained, leave, come out (e.g. photo), be interpreted
