繋がる	つながる	一緒にする	unite; be connected; be tied together
摘み	つまみ	選び・取り	picked
詰まり1	つまり	物が詰まること	(pillow) is stuffed
詰まり2	つまり	別の語に置きかえれば。言い換えると。要するに；すなわち	in short; in other words; the long and short of it; what it all comes down to; that is to say
強者	つわもの	強い者。他にまさる力や権力をもつ者。「―の論理」反：弱者。	a strong man
強者揃い	つわものぞろい	すごく強い	incredibily skilled
追加	ついか		addition, supplement, appendix
追及	ついきゅう		gaining on, carrying out, solving (crime)
追従	ついじゅう	あとにつき従うこと	complience; follow
追跡	ついせき		pursuit
一日3	ついたち		first day of month
次いで	ついで		next, secondly, subsequently
遂に	ついに	長い時間ののちに、最終的にある結果に達するさま。とうとう。しまいに。「ー優勝を果たした」「ー完成した」「疲れ果ててー倒れた」	finally, at last
追放	ついほう		exile, banishment
費やす	ついやす		to spend, to devote, to waste
墜落	ついらく		falling, crashing
通	つう		connoisseur, counter for letters
通貨	つうか		currency
通過	つうか		passage through, passing
通学	つうがく		commuting to school
痛感	つうかん		feeling keenly, fully realizing
通勤	つうきん		commuting to work
通行	つうこう		passage, passing
通じる	つうじる	何かを伝って到達する。また、届かせる。「電話がー・ずる」	run to, lead to, communicate, understand, be well-informed
通常	つうじょう	特別でなく、普通の状態であること。普通	usual; normal; general
通信	つうしん		correspondence, communication, news, signal
通ずる	つうずる	何かを伝って到達する。また、届かせる。「電話がー・ずる」	run to, lead to, communicate, understand, be well-informed
痛切	つうせつ		keen, acute
通知	つうち		notice, notification
通帳	つうちょう		passbook
通用	つうよう		popular use, circulation
通路	つうろ		passage, pathway
通訳	つうやく	異なる言語を話す人の間に立って、双方の言葉を翻訳してそれぞれの相手方に伝えること。	interpretation; 〔人〕an interpreter
遣い	つかい		mission, simple task, doing
使い道	つかいみち		use
使う	つかう		use, handle, manipulate, employ, need, want, spend, consume, speak (English), practise (fencing), take (one´s lunch), circulate (bad money)
仕える	つかえる		to serve, to work for
司る	つかさどる		to rule, to govern, to administer
束の間	つかのま		moment, brief time, brief, transient
捕まえる	つかまえる		catch
捕まる	つかまる	取り押さえられて、逃げることができなくなる。とらえられる。「どろぼうがー・る」	be caught, be arrested
疲れ	つかれ		tiredness, fatigue
疲れる	つかれる		to get tired, to tire
月	つき		month, moon
付き	つき		attached to, impression, sociality, appearance, furnished with, under, to
次2	つぎ		next, stage station, stage, subsequent
付き合い	つきあい		association, socializing, fellowship
付き合う	つきあう		to associate with, to keep company with, to get on with
付合う	つきあう		associate with, keep company with, get on with
突き当たり	つきあたり		end (e.g. of street)
突き当たる	つきあたる		run into, collide with
次々	つぎつぎ		in succession, one by one
月並み	つきなみ		every month, common
月日2	つきひ		(the) date
継ぎ目	つぎめ		a joint, joining point
尽きる	つきる		to be used up, to be run out, to be exhausted, to be consumed, to come to an end
点く	つく		be lit, catch fire
着く	つく		arrive at, reach
付く	つく		adjoin, be attached, adhere, be connected with, be dyed, be stained, be scarred, be recorded, start (fires), follow, become allied to, accompany, study with, increase, be added to
突く2	つく		thrust, strike, attack, poke, nudge, pick at
就く	つく		settle in (place), take (seat, position), study (under teacher)
吐く1	つく	好ましくないことを口に出して言う。「悪態をー・く」「うそをー・く」	told/spit (a lie); drew (e.g. a sigh of relief)
継ぐ	つぐ	前の者のあとを受けて、その仕事・精神・地位などを引き続いて行う。続けてする。相続する。継承する。	succeed; inherit; resume
注ぐ2	つぐ		pour (in), fill (with)
次ぐ	つぐ		rank next to, come after
接ぐ	つぐ		to join, to piece together, to set (bones), to graft (trees)
机	つくえ		desk
尽くす	つくす		to exhaust, to run out, to serve (a person), to befriend
造り	つくり		make up, structure, physique
作り	つくり		make-up, sliced raw fish
作る	つくる		create; make
造る	つくる		make, create, manufacture, draw up, write, compose, build, organize, establish
繕う	つくろう		to mend, to repair, to fix, to patch up, to darn, to tidy up, to adjust, to trim
付け加える	つけくわえる		to add one thing to another
点ける	つける		turn on, switch on, light up
着ける	つける		to arrive, to wear, to put on
付ける	つける		to attach, to join, to stick, to glue, to fasten, to sew on, to furnish (a house with), to wear, to put on, to make an entry, to appraise, to set (a price), to apply (ointment), to bring alongside, to place (under guard or doctor), to follow, to shad
浸ける	つける		dip in, soak
漬ける	つける		soak, pickle
告げる	つげる		to inform
都合	つごう		circumstances, convenience
辻褄	つじつま		coherence, consistency
蔦	つた		ivy; 〔つる植物〕a vine, a creeper
伝える	つたえる		tell, report
伝わる	つたわる		be handed down, be introduced, be transmitted, be circulated, go along, walk along
土	つち		earth, soil
途中1	つちゅう		on the way, en route
銃1	つつ		gun
筒	つつ		pipe, tube
続き	つづき		sequel, continuation
突く1	つつく		to thrust, to strike, to attack, to poke, to nudge, to pick at
続く	つづく		continue (to be the case), keep up
続ける	つづける		continue, go on, follow
突っ込む	つっこむ		thrust something into something, plunge into, go into deeply, meddle, interfere
慎む	つつしむ	あやまちや軽はずみなことがないように気をつける。慎重に事をなす。「行動をー・む」「言葉をー・みなさい」	to be careful, to be chaste or discreet, to abstain or refrain
謹む	つつしむ	うやうやしくかしこまる。「ー・んで御礼申し上げます」	reverently tighten up
突っ張る	つっぱる		to support, to become stiff, to become taut, to thrust (ones opponent), to stick to (ones opinion), to insist on
包み	つつみ		bundle, package, parcel, bale
包む2	つつむ		wrap, pack
伝言1	つてごと		verbal message, rumor, word
勤まる	つとまる		to be fit for, to be equal to, to function properly
務め	つとめ		service, duty, business, responsibility, task
勤め	つとめ		service, duty, business, Buddhist religious services
勤め先	つとめさき		place of work
努めて	つとめて		make an effort!, work hard!
努める	つとめる		to exert oneself, to make great effort, to try hard
務める	つとめる		to serve, to fill a post, to serve under, to exert oneself, to endeavor, to be diligent, to play (the part of), to work (for)
勤める	つとめる		serve, fill a post, work (for), exert oneself, endeavor, be diligent, to play (the part of)
綱	つな		rope
津波	つなみ		tsunami, tidal wave
常に	つねに		always, constantly
募る	つのる		to invite, to solicit help participation etc
唾	つば		saliva, sputum
翼	つばさ		wing
粒	つぶ		grain
潰す	つぶす		smash, waste
潰れる	つぶれる		be smashed, go bankrupt
妻	つま		wife
摘む	つまむ		to pinch, to hold, to pick up
詰らない	つまらない		insignificant, boring, trifling
詰まる	つまる		be blocked, be packed
罪	つみ		crime, fault, indiscretion
積む	つむ		pile up, stack
爪	つめ		fingernail or toenail, claw, talon, hoof
爪切り	つめきり		nail clipper
冷たい	つめたい		cold (to the touch), chilly, icy, freezing, coldhearted
詰める	つめる		pack, shorten, work out (details)
積もり	つもり		intention, plan
積もる	つもる		pile up
艶2	つや		gloss, glaze
艶艶	つやつや	光沢があって美しいさま。「―（と）した肌」	glossy; glowing
つやつや	艶艶	光沢があって美しいさま。「―（と）した肌」	glossy; glowing
梅雨	つゆ		rainy season, rain during the rainy season
露	つゆ		dew
強い	つよい		strong, powerful, mighty, potent
強気2	つよき		firm, strong
強まる	つよまる		to get strong, to gain strength
強める	つよめる		to strengthen, to emphasize
辛い1	つらい		painful, heart-breaking
連なる	つらなる		to extend, to stretch out, to stand in a row
貫く	つらぬく		to go through
連ねる	つらねる		to link, to join, to put together
釣り	つり		fishing, angling
釣1	つり		change (e.g. for a dollar)
釣2	つり		fishing
釣り合う	つりあう		balance, be in harmony, suit
釣鐘	つりがね		hanging bell
吊り革	つりかわ		strap
釣る	つる		to fish
連れ	つれ		companion, company
連れる	つれる		bring
