嘘	うそ		真実でないこと〕a lie, an untruth; 〔軽いうそ〕a fib
上3	うえ		top, best, superior quality, going up, presenting, showing, aboard a ship or vehicle, from the standpoint of, as a matter of (fact)
植木	うえき		garden shrubs, trees, potted plant
植え込む	うえこむ	ある物を、他の物の中にしっかりとはめ入れる	implanted
上下1	うえした		high and low, up and down, unloading and loading, praising and blaming
植える	うえる		plant
飢える	うえる		starve
魚1	うお		fish
伺う1	うかがう	「聞く」の謙譲語。拝聴する。お聞きする。「おうわさはかねがね―・っております」	(polite) ask, inquire, hear, be told,
伺う1	うかがう	「尋ねる」「問う」の謙譲語。「この件について御意見をお―・いします」	(polite) 〔問う，尋ねる〕ask (about; a person something); inquire (about)
伺う2	うかがう	「聞く」の謙譲語。拝聴する。お聞きする。「おうわさはかねがね―・っております」	(polite) 〔聞く〕hear, be told (that)
伺う3	うかがう	「訪れる」「訪問する」の謙譲語。「明朝、こちらから―・います」	(polite) 〔訪問する〕visit; call on (a person); call at (a place); pay (a person) a visit
伺う4	うかがう	神仏の託宣を願う。「御神託を―・う」	 implore (a god for an oracle)
浮かぶ	うかぶ		to float, to rise to surface, to come to mind
浮ぶ	うかぶ		float, rise to surface, come to mind
浮かべる	うかべる		float, express, look (sad, glad)
受かる	うかる		to pass (examination)
浮き彫り	うきぼり	あるものがはっきりと見えるようになること。「問題点がーにされる」平面に絵・文字などを浮き上がるように彫ること。レリーフ。	bring out (a mean side of personality); relief; the state of being clearly visible due to being accentuated.; a method of moulding; carving in which the design stands out from the surface; to a greater (high relief) or lesser (low relief) extent
浮く	うく		float, become merry, become loose
受け入れ	うけいれ		receiving, acceptance
受け入れる	うけいれる		to accept, to receive
承る	うけたまわる		(humble) hear, be told, know
受け継ぐ	うけつぐ		to inherit, to succeed, to take over
受付	うけつけ		reception
受け付ける	うけつける		to be accepted, to receive (an application)
受け止める	うけとめる		to catch, to stop the blow, to react to, to take
受け取り	うけとり		receipt
受取人	うけとりにん	金・書類・物品などを受け取る人。	a recipient; 〔送金の〕a remittee; 〔手形の〕a payee; 〔保険の〕a beneficiary; 〔貨物の〕a consignee
受け取り人	うけとりにん	金・書類・物品などを受け取る人。	a recipient; 〔送金の〕a remittee; 〔手形の〕a payee; 〔保険の〕a beneficiary; 〔貨物の〕a consignee
受け取る	うけとる		to receive, to get, to accept, to take, to interpret, to understand
受身	うけみ		passive, passive voice
受け持つ	うけもつ	自分の仕事として引き受けて行う。担当する。担任する。「一年生を―・つ」「この地区の配達を―・つ」	take (be in) charge of
受ける	うける		have, take, receive
動かす	うごかす		move, shift, set in motion, operate, inspire,, rouse, ,influence, mobilize, deny, change
動き	うごき		movement, activity, trend, development, change
動く1	うごく		to move, to stir, to shift, to shake, to swing, to operate, to run, to go, to work, to be touched, to be influenced, to waver, to fluctuate, to vary, to change, to be transferred
動く2	うごく		move
氏1	うじ		family name
潮	うしお		tide
氏神	うじがみ	神として祭られた氏族の先祖。藤原氏の天児屋命 (あまのこやねのみこと) 、斎部 (いんべ) 氏の天太玉命 (あまのふとだまのみこと) など。	a tutelary [guardian/patron] deity; house god
失う	うしなう	今まで持っていたもの、備わっていたものをなくす。手に入れかけて、のがしてしまう。取り逃がす。「友情をー・う」「機会をー・う」	lose, part with
喪う	うしなう	失う・世界から消える「15歳にして母をー・う」「絶壁より堕ちてその命をー・う」	miss (something)
後4	うしろ		afterwards, since then, in the future
渦	うず		swirl
薄い	うすい		thin, weak, watery, diluted
薄暗い	うすぐらい		dim, gloomy
埋まる	うずまる		to be buried, to be surrounded, to overflow, to be filled
薄める	うすめる		dilute
歌	うた		song, poetry
歌う	うたう	音楽的な高低・調子などをつけて発声する。「歌を―・う」「ピアノに合わせて―・う」	sing
唄う	うたう	節をつけてことばを発する、主として日本古来の大衆的なもの。長唄、小唄、端唄、馬子唄など。	sing (a pop song);
謡う	うたう	節をつけてことばを発する、日本古来の文学的なもの。謡曲。	sing (Noh); (Noh) versify
謳う	うたう	多くの人々が褒めたたえる。謳歌する。「太平の世を―・う」	〔ほめたたえる〕sing the praises ((of)); ((文)) extol
詠う	うたう	詩歌を作る。また、詩歌に節をつけて朗読する。「望郷の心を―・った詩」	versify (a poem)?
疑い	うたがい		doubt, distrust
疑う	うたがう		doubt, distrust, be suspicious of, suspect
疑わしい	うたがわしい		doubtful, suspicious
宴	うたげ	酒宴。宴会。さかもり。「うちあげ（打ち上げ）」の音変化とも、歌酒の意ともいう。	banquet
打たす	うたす	《「す」はもと使役の助動詞。むちで打って馬を走らせる意から》馬に乗って行く。	ride horse?
打たれる	うたれる	ある物事から強い感動を受ける。「美談に胸を―◦れる」「意外の感に―◦れる」	get hammered
内	うち		inside
中3	うち	ある一定の区域・範囲の中。	out of (a group); inside (a group)
打ち明ける	うちあける	人に知られたくない事実や秘密などを、思い切って隠さずに話す。うちあかす。「思いのたけを―・ける」	confide ((in a person; a thing to a person))，confess ((to a person; a thing to a person))
打ち合わせ	うちあわせ		business meeting, previous arrangement, appointment
打合せ	うちあわせ		business meeting, appointment, previous arrangement
打ち合わせる	うちあわせる		to knock together, to arrange
打ち切る	うちきる		to stop, to abort, to discontinue, to close
打ち消し	うちけし		negation, denial, negative
打ち消す	うちけす		deny, negate, contradict
打ち込む	うちこむ		to drive in (e.g. nail stake), to devote oneself to, to shoot into, to smash, to throw into, to cast into
宇宙	うちゅう		universe, cosmos, space
宇宙人	うちゅうじん		alien
団扇	うちわ		fan
内訳	うちわけ		the items, breakdown, classification
討つ	うつ		attack, avenge
射つ	うつ	弾丸・矢などを発射する。「拳銃で―・つ」「標的を―・つ」	〔発射・射撃する〕shoot〔攻撃する〕attack
打つ2	うつ		hit, beat
撃つ	うつ	弾丸・矢などを発射する。「拳銃で―・つ」「標的を―・つ」	attack, defeat, destroy
美しい	うつくしい		beautiful, lovely
写し	うつし		copy, duplicate, facsimile, transcript
移す	うつす		remove, transfer, infect
写す	うつす		copy, photograph
映す	うつす		project, reflect, cast (shadow)
訴え	うったえ		lawsuit, complaint
訴える	うったえる	物事の善悪、正邪の判定を求めて裁判所などの機関に申し出る。	appeal; sue; accuse
鬱陶しい	うっとうしい		gloomy, depressing
映る	うつる	１鏡・水面などに反射して見える ２映像として見える	be reflected; show (a TV-image)
移る	うつる		move, change
写る	うつる		be photographed, be projected
空ろ	うつろ		blank, cavity, hollow, empty (space)
器	うつわ		bowl, vessel, container
腕	うで		arm
腕前	うでまえ	巧みに物事をなしうる能力や技術。手並み。技量。技能	skill; ability; talent
雨天	うてん		rainy weather
疎い	うとい	親しい間柄でない。疎遠だ。「二人の仲は―・くなった」「去る者は日々に―・し」	〔よく知らない〕know little; be ill-informed〔親しくない〕out-of-mind
饂飩	うどん	小麦粉を練って長く切った、ある程度の幅と太さを持つ麺。またその料理。
促す	うながす	物事を早くするようにせきたてる；促進する；勧める	stimulate; encourage
自惚れ	うぬぼれ		pretension, conceit, hubris
奪う	うばう		snatch away
甘い1	うまい	食物などの味がよい。おいしい。「―・い酒」「山の空気が―・い」⇔まずい。	delicious
美味い	うまい	食物などの味がよい。おいしい。「―・い酒」「山の空気が―・い」⇔まずい。	delicious
旨い	うまい	食物などの味がよい。おいしい。「―・い酒」「山の空気が―・い」⇔まずい。	〔おいしい〕delicious; tasty
味酒	うまさけ		sweet sake
