和	わ		sum, harmony, peace
輪2	わ		ring, hoop, circle
和英	わえい		Japanese-English
若い	わかい		young
若草色	わかくさいろ		grass green
沸かす	わかす		boil
我がまま	わがまま		selfishness, egoism, wilfulness, disobedience, whim
我が家	わがや	自分の家。また、自分の家庭。	〔家庭〕one's home; 〔建物〕one's house
分かる	わかる		to be understood
分る	わかる		be understood
別れ	わかれ		parting, separation, farewell, (lateral) branch, fork, offshoot, division, section
別れ際	わかれぎわ		parting (separating occasion)
別れる	わかれる		separate
分かれる	わかれる		branch off, diverge from, fork, split, dispense, scatter, divide into
若々しい	わかわかしい		youthful, young
脇	わき		side
枠	わく		frame, slide
沸く	わく		boil
湧く	わく		boil, grow hot, get excited, gush forth
惑星	わくせい		planet
訳2	わけ		reason
分ける	わける		divide, separate, make distinctions, differentiate (between)
技	わざ		art, technique
禍1	わざわい	災い。ふしあわせ。「―を転じて福となす」⇔福。	disaster
態々	わざわざ	他のことのついでではなく、特にそのためだけに行うさま。特にそのために。故意に。「御親切にも―忠告に来る人がいる」「―出掛けなくても電話で済むことだ」	expressly, purposely, intentionally, specially, doing something especially rather than incidentally
わざわざ	態々	他のことのついでではなく、特にそのためだけに行うさま。特にそのために。故意に。「御親切にも―忠告に来る人がいる」「―出掛けなくても電話で済むことだ」	expressly, purposely, intentionally, specially, doing something especially rather than incidentally
和室	わしつ		japanese-style room
和食	わしょく		japanese-style meal
僅か	わずか		only, merely, a little, small quantity
患う	わずらう	病気で苦しむ。古くは「…にわずらう」の形で用いることが多い。「目を―・う」	fall ill; become sick
煩う	わずらう	あれこれと心をいためる。思い悩む。	become sick
煩わしい	わずらわしい		troublesome, annoying, complicated
忘れ物	わすれもの		a thing left behind
忘れる	わすれる		forget, leave carelessly
綿2	わた		cotton, padding
話題	わだい		topic, subject
私2	わたくし		I (formal), myself, private affairs
私共	わたくしども	一人称の人代名詞。自分、または自分の家族・集団などをへりくだっていう語。手前ども。わたくしたち。「―もみな元気に暮らしております」	our
渡す	わたす		pass over, hand over
渡り鳥	わたりどり		migratory bird, bird of passage
渡る	わたる		cross over, go across
和風	わふう		Japanese style
和服	わふく		Japanese clothes
和文	わぶん		Japanese text, sentence in Japanese
和睦	わぼく	争いをやめて仲直りすること。和解。「―を結ぶ」「両国が―する」	peace (negotiations; settlements; talks)
笑い	わらい		laugh, laughter, smile
笑う	わらう		laugh
割	わり	比率。割合。「三日に一回の＿で通う」	per; out of; proportion
割合	わりあい		rate, ratio, proportion, comparatively, contrary to expectations
割合に	わりあいに		comparatively
割り当て	わりあて		allotment, assignment, allocation, quota, rationing
割り込む	わりこむ		to cut in, to thrust oneself into, to wedge oneself in, to muscle in on, to interrupt, to disturb
割り算	わりざん		division (math)
割算	わりざん		(mathematics) division
割と	わりと		relatively, comparatively
割引	わりびき		discount, reduction, rebate, tenths discounted
割る	わる		divide, cut, break, halve, separate, split, rip, crack, smash, dilute
悪い	わるい	１ 人の行動・性質や事物の状態などが水準より劣っているさま。２ 人の行動・性質や事物の状態が、正邪・当否の判断基準に達していないさま。	bad
悪口2	わるくち		abuse, insult, slander, evil speaking
悪者	わるもの		bad fellow, rascal, ruffian, scoundrel
割れる	われる		split, crack
我々	われわれ		we
湾	わん		bay, gulf, inlet
湾曲	わんきょく		curvature
腕力	わんりょく		force
