養う2	やしなう	養育する	bring up; rear; raise
止むを得ない	やむをえない	そうするよりほかに方法がない。しかたがない。「撤退もー・ない」	unavoidable
矢	や		arrow
刃2	やいば	刀剣・刃物などの総称。「―を交える」「―を向ける」	〔刀身〕a blade; 〔刀〕a sword
八百屋	やおや		greengrocer
野外	やがい		fields, outskirts, open air, suburbs
夜間	やかん		at night, nighttime
薬缶	やかん		kettle
野球	やきゅう		baseball
夜行1	やぎょう		walking around at night, night train, night travel
役2	やく		use, service, role, position
訳1	やく		translation
焼く	やく		bake, grill
約	やく		approximately, about, some
夜具	やぐ		bedding
役者	やくしゃ		actor, actress
役所	やくしょ		government office, public office
役職	やくしょく		post, managerial position, official position
訳す	やくす		translate
約束	やくそく		promise
役立つ	やくだつ		to be useful, to be helpful, to serve the purpose
役に立つ	やくにたつ		useful
役人	やくにん		government official
役場	やくば		town hall
薬品	やくひん		medicine(s), chemical(s)
役目	やくめ		duty, business
役割	やくわり		part, assigning (allotment of) parts, role, duties
火傷2	やけど		burn, scald
焼ける	やける		be burned
夜行2	やこう		walking around at night, night train, night travel
優	やさ		gentle, affectionate
野菜	やさい		vegetable
優しい	やさしい		kind
易しい	やさしい		easy, plain, simple
屋敷	やしき		mansion
矢印	やじるし		directing arrow
社	やしろ		Shinto shrine
野心	やしん		ambition, aspiration, designs, treachery
安い	やすい		cheap, inexpensive, peaceful, quiet, gossipy, thoughtless
易い	やすい		easy
安っぽい	やすっぽい		cheap-looking, tawdry, insignificant
休み	やすみ		rest, recess, respite, vacation, holiday, absence, suspension
休む	やすむ		to rest, have a break, take a day off, be finished, be absent, retire, sleep
休める	やすめる		to rest, to suspend, to give relief
安物	やすもの	値段が安く、粗悪な物。	shlook, cheap
安らぎ	やすらぎ	穏やかなゆったりとした気分。「あわただしさの中に一時の―を見いだす」	calmness
野生	やせい		wild
痩せる	やせる		lose weight
野戦	やせん	フィールド	field
夜中1	やちゅう		all night, the whole night
家賃	やちん		rent
厄介	やっかい		trouble, burden, care, bother, worry, dependence, support, kindness, obligation
薬局	やっきょく		pharmacy
奴	やっこ		servant, fellow
八つ	やっつ		eight
やっ付ける	やっつける		to beat
矢っ張り	やっぱり		also, as I thought, still, in spite of, absolutely
奴等	やつら		those guys
宿	やど		inn, lodging
野党	やとう		opposition party
雇う	やとう		employ, hire
家主2	やぬし		landlord
屋根	やね		roof
破く	やぶく		tear, violate, defeat, smash, destroy
破る	やぶる		tear, violate, defeat, smash, destroy
破れる	やぶれる		get torn, wear out
野望	やぼう	分不相応な望み。また、身の程を知らない大それた野心。「世界制覇の―を抱く」	ambition
山	やま		mountain, pile, heap, climax, critical point
病	やまい		illness, disease
闇	やみ		darkness, the dark, black-marketeering, dark, shady, illegal
止む	やむ		stop (e.g. rain)
病む	やむ		to fall ill, to be ill
止める2	やめる		quit smoking
辞める	やめる		retire
遣り通す	やりとおす		to carry through, to achieve, to complete
やり遂げる	やりとげる		to accomplish
遣る	やる		to do, to have sexual intercourse, to kill, to give (to inferiors animals etc.), to dispatch (a letter), to send, to study, to perform, to play (sports game), to have (eat drink smoke), to row (a boat), to run or operate (a restaurant)
軟らかい	やわらかい		soft, tender, limp
柔らかい	やわらかい		soft
和らげる	やわらげる		to soften, to moderate, to relieve
