世	よ		world, society, age, generation
夜1	よ		night
夜明け	よあけ		dawn, daybreak
好い	よい		good
宵	よい	日が暮れてまだ間もないころ。古代では夜を3区分した一つで、日暮れから夜中までの間。初夜。「―のうちから床に就く」	evening
様2	よう		way, manner, kind, sort, appearance, like, such as, so as to, in order to, so that
用	よう		business, errand
酔う	よう		get drunk, become intoxicated
用意	ようい	前もって必要なものをそろえ、ととのえておくこと。したく。「食事の―がととのう」「招待客の車を―する」	prepare
容易	ようい		easy, simple, plain
要因	よういん		primary factor, main cause
余韻	よいん		a lingering sound
溶液	ようえき		solution (liquid)
八日	ようか		eight days, the eighth (day of the month)
溶岩	ようがん		lava
容器	ようき		container, vessel
陽気	ようき		season, weather, cheerfulness
要求	ようきゅう		request, demand, requisition
謡曲	ようきょく		a Noh song; Noh singing
用具	ようぐ		tool, utensil
用件	ようけん		business
用語	ようご		term, terminology
養護	ようご		protection, nursing, protective care
擁護	ようご		protection, support
要旨	ようし		gist, essentials, summary, fundamentals
用紙	ようし		blank form
幼児	ようじ		infant, baby, child
用事	ようじ		business, errand
様式	ようしき		style, form, pattern
用心	ようじん		care, precaution, caution
様子	ようす	外から見てわかる物事のありさま。状況。状態。「当時の―を知る人」「室内の―をうかがう」	aspect, state, appearance
要する	ようする		to demand, to require, to take
要するに	ようするに		in a word, after all, the point is ..., in short ...
養成	ようせい		training, development
要請	ようせい	必要だとして、強く願い求めること。「会長就任をーする」	request
容積	ようせき		capacity, volume
要素	ようそ	あるものごとを成り立たせている基本的な内容や条件。成分。要因。	elements
様相	ようそう		aspect
幼稚	ようち		infancy, childish, infantile
幼稚園	ようちえん		kindergarten
要点	ようてん		gist, main point
用途	ようと		use, usefulness
様な	ような	例示の意を表す。たとえば＿のようだ。〜似ている；〜と同様である；例示して；〜とかいう	like; such as
ような 		…に似ている。…と同様である。例示して。	like; such as
様に1	ように	〜に似て，同様に	similar to; (light) as (a feather); likewise
様に2	ように	〜の通りに	(I did) as (told)
様に3	ように	〜するために	in order to; for the sake of; so that; as
ように1	様に	〜に似て，同様に	similar to; (light) as (a feather); likewise
ように2	様に	〜の通りに	(I did) as (told)
ように3	様に	〜するために	in order to; for the sake of; so that; as
曜日	ようび		day of the week
用品	ようひん		articles, supplies, parts
洋品店	ようひんてん		shop which handles Western-style apparel and accessories
洋風	ようふう		western style
洋服	ようふく		Western-style clothes
養分	ようぶん		nourishment, nutrient
用法	ようほう		directions, rules of use
要望	ようぼう		demand for, request
羊毛	ようもう		wool
漸く	ようやく		gradually, finally, hardly
擁立	ようりつ		fielded(?)
要領	ようりょう		point, gist, essentials, outline
容量	ようりょう	器物の中に入れることのできる分量。容積。	capacity; 〔容積〕volume
余暇	よか		leisure, leisure time, spare time
予感	よかん		presentiment, premonition
予期	よき	前もって期待すること。「―に反する」「―した以上の成果」	expectation, assume will happen, forecast
余興	よきょう		side show, entertainment
預金	よきん		deposit, bank account
抑圧	よくあつ		check, restraint, oppression, suppression
抑止	よくし	おさえつけて活動などをやめさせること。「地価の高騰をーする」「核のー力」	barestraint; deterrence
浴室	よくしつ		bathroom, bath
翌日	よくじつ		next day
浴する	よくする	水や湯を浴びる。入浴する。「温泉に―・する」	⇒あびる(浴びる)，にゅうよく(入浴)
抑制	よくせい		suppression
浴槽	よくそう	湯ぶね。ふろおけ。	bathtub
翌年	よくねん		next year
欲張り	よくばり		avarice, covetousness, greed
欲深い	よくふかい		greedy
欲望	よくぼう		desire, appetite
余計	よけい		too much, unnecessary, abundance, surplus, excess
横	よこ		beside, side, width
横文字	よこもじ	横に書きつづる文字。西洋文字・梵字 (ぼんじ) ・アラビア文字など。特に、西洋文字をいう。	〔西洋の文字〕the Roman alphabet; 〔外国語〕a Western [European] language
横切る	よこぎる		cross (e.g. arms), traverse
寄こす	よこす		to send, to forward
汚す2	よごす		disgrace, dishonour, pollute, contaminate, soil, make dirty, stain
邪	よこしま	正しくないこと。道にはずれていること。また、そのさま。「―な考えをいだく」	wicked; evil; not doing the right thing; on the wrong path
横しま	よこしま	正しくないこと。道にはずれていること。また、そのさま。「―な考えをいだく」	wicked; evil; not doing the right thing; on the wrong path
横しま風	よこしまかぜ	横なぐりに吹く風。暴風。「思はぬに―のにふふかに覆ひ来ぬれば」	violent wind;
横綱	よこづな		sumo grand champion
横手	よこて	横に当たる方向。わき。「寺の―にある堂」「―から入る」	side; beside; next
汚れる2	よごれる		get dirty
予算	よさん		estimate, budget
善し悪し	よしあし		good or bad, merits or demerits, quality, suitability
予習	よしゅう		preparation
止す	よす		cease, abolish, resign, give up
寄せる	よせる		collect, gather, add, put aside
余所	よそ		another place, somewhere else, strange parts
予想	よそう		expectation, anticipation, prediction, forecast
装い	よそい	身なりを整えたり、身を飾ったりすること。また、その装束や装飾。「農家の婦人の―したる媼ありて」「何ばかりの御―なく、うちやつして」	〔服装〕clothing〔飾り付け〕decoration
粧い	よそい	身なりを整えたり、身を飾ったりすること。また、その装束や装飾。「農家の婦人の―したる媼ありて」「何ばかりの御―なく、うちやつして」	〔服装〕clothing〔飾り付け〕decoration
予測	よそく		prediction, estimation
余所見	よそみ		looking away, looking aside
余地	よち		place, room, margin, scope
予兆	よちょう		omen, portent
四日	よっか		fourth day of the month, four days
四つ角	よつかど		four corners, crossroads
四つ	よっつ		four
依って	よって		therefore, consequently, accordingly, because of
酔っ払い	よっぱらい		drunkard
余程	よっぽど		very, greatly, much, to a large extent, quite
予定	よてい		plan
与党	よとう		government party, (ruling) party in power, government
夜中2	よなか		all night, the whole night
世の中1	よのなか	々が互いにかかわり合って生きて暮らしていく場。世間。社会。「―が騒がしくなる」「暮らしにくい―になる」	society, the world, the times
世の中2	よのなか	当世。その時分。「入道殿をはじめ参らせて―におはしある人、参らぬはなかりけり」	〔時勢〕times; 〔時代〕an age;
予備	よび		preparation, preliminaries, reserve, spare
呼び掛ける	よびかける		call out to, accost, address (crowd), make an appeal
呼び出す	よびだす		summon, call (e.g. via telephone)
呼び止める	よびとめる		to challenge, to call somebody to halt
呼ぶ	よぶ		call out, invite
夜更かし	よふかし		staying up late, keeping late hours, sitting up late at night, nighthawk
夜更け	よふけ		late at night
余分	よぶん		extra, excess, surplus
予報	よほう		forecast, prediction
予防	よぼう	悪い事態の起こらないように前もってふせぐこと。「病気の蔓延を―する」	prevention, precaution, protection against
読み	よみ		reading
読み上げる	よみあげる		to read out loud (and clearly), to call a roll
読む	よむ		read
嫁	よめ		bride, daughter-in-law
予約	よやく		reservation
余裕	よゆう	必要分以上に余りがあること。また、限度いっぱいまでには余りがあること。「金にーがある」「時間のーがない」	allowance; margin; room
より1		比較の標準・基準を表す。「思ったー若い」	(younger) than (you); (better) than (movies); (looks younger) than (her age); (rather have tea) than (coffee)
より2		ある事物を、他との比較・対照としてとりあげる意を表す。「僕ー君のほうが金持ちだ」「音楽ー美術の道へ進みたい」	even (harder/taller);
より3		事柄の理由・原因・出自を表す。...がもとになって。...から。...のために。	as a result of; due to 「河川の汚染より伝染病が発生した」
より4		動作・作用の起点を表す。…から。「午前一〇時―行う」「父―手紙が届いた」「東―横綱登場」	from (6 o'clock); as of (April); according to
より5		動作の移動・経由する場所を表す。…を通って。…を。…から。	〔出発点，起点〕⇒−からfrom; (depart) from (Haneda); (1k away) from (the park); (within 100m) of (the station)
寄り道	よりみち	目的地へ行く途中で、他の所へ立ち寄ること。また、回り道して立ち寄ること。回り道。「ーして帰る」	stop on the way; detour; go the long way aaround
寄り掛かる	よりかかる		to lean against, to recline on, to lean on, to rely on
寄る	よる		drop in, stop by
因る	よる	それを原因とする。起因する。「濃霧にー・る欠航」「成功は市民の協力にー・る」	come from
由る	よる	それを原因とする。起因する。「濃霧にー・る欠航」「成功は市民の協力にー・る」	come from
依る1	よる	動作の主体をだれと指し示す。「市民楽団にー・る演奏」	〔基づく〕based on; attributed to
依る2	よる	物事の性質や内容などに関係する。応じる。従う。「時と場合にー・る」「人にー・って感想が違う」「成功は努力いかんにー・る」	depending on; according to
拠る	よる	根拠とする。よりどころとする。「実験にー・る結論」「天気予報にー・ると大雨らしい」「法律の定めるところにー・る」	〔基づく〕based on; according; relying upon
夜2	よる		evening, night
喜び	よろこび		joy, (a) delight, rapture, pleasure, gratification, rejoicing, congratulations, felicitations
慶び	よろこび		joy, delight, rapture, pleasure, gratification, rejoicing, congratulations, felicitations
喜ぶ	よろこぶ		be delighted
慶ぶ	よろこぶ		be delighted, be glad
宜しい	よろしい		good
宜しく	よろしく		well, properly, suitably, best regards, please remember me
弱い	よわい		weak
弱まる	よわまる		to abate, to weaken, to be emaciated, to be dejected, to be perplexed
弱める	よわめる		to weaken
弱る	よわる		to weaken, to be troubled, to be downcast, to be emaciated, to be dejected, to be perplexed, to impair
四1	よん		four, fourth, quadruple
