財宝	ざいほう	財産や宝物。財産となる価値の高い物品。宝物。富。	treasure(s); riches
財	ざい		fortune, riches
在学	ざいがく		(enrolled) in school
財源	ざいげん		source of funds, resources, finances
在庫	ざいこ		stockpile, stock
財産	ざいさん		property, fortune, assets
財政	ざいせい		economy, financial affairs
材木	ざいもく		lumber, timber
材料	ざいりょう		ingredients, material
座敷	ざしき		tatami room
座席	ざせき		seat
座卓	ざたく		sitting table
座談会	ざだんかい		symposium, round-table discussion
雑	ざつ		rough, crude
雑音	ざつおん		noise (jarring, grating)
雑貨	ざっか		miscellaneous goods, general goods, sundries
雑誌	ざっし		journal, magazine
雑多	ざった	いろいろなものが入りまじっていること。また、そのさま。「―な展示物」	miscellaneous; mixed
雑談	ざつだん		chatting, idle talk
雑木	ざつぼく		various kinds of small trees, assorted trees
座標	ざひょう		coordinate(s)
座布団	ざぶとん		cushion (Japanese-- square cushion used when sitting on one´s knees on a tatami-mat floor)
残金	ざんきん		remaining money
残酷	ざんこく		cruelty, harshness
残高	ざんだか		(bank) balance, remainder
残念	ざんねん		sorry
