前係長	ぜんかかりちょう	 前の係長	 previous chief
税	ぜい		tax
税関	ぜいかん		customs house
税金	ぜいきん		tax, duty
贅沢	ぜいたく		luxury, extravagance
税務署	ぜいむしょ		tax office
是正	ぜせい		correction, revision
絶対	ぜったい		absolute, unconditional, absoluteness
絶版	ぜっぱん		out of print
絶壁	ぜっぺき	切り立ったがけ。懸崖 (けんがい) 。「断崖ー」	a precipice; 〔特に海岸の〕a cliff
絶望	ぜつぼう		despair, hopelessness
絶滅	ぜつめつ		destruction, extinction
是非	ぜひ		certainly, without fail
是非とも	ぜひとも		by all means (with sense of not taking "no" for an answer)
全	ぜん		all, whole, entire, complete, overall, pan-
善	ぜん		good, goodness, right, virtue
禅	ぜん		Zen (Buddhism)
膳	ぜん		(small) table, tray, meal
全員	ぜんいん		all members (unanimity), all hands, the whole crew
全快	ぜんかい		complete recovery of health
全形	ぜんけい	全体の形。すべての形。	whole-form
前後	ぜんご		around, throughout, front and back, before and behind, before and after, about that (time), longitudinal, context, nearly, approximately
全国	ぜんこく		nation-wide, whole country, national
禅師	ぜんじ		zen master
前者	ぜんしゃ		the former
全集	ぜんしゅう		complete works
全身	ぜんしん		the whole body, full-length (portrait)
前進	ぜんしん		advance, drive, progress
漸進	ぜんしん		progressive, steady advance, gradual process
全盛	ぜんせい		height of prosperity
全然	ぜんぜん		wholly, entirely, completely, not at all (with neg. verb)
全体	ぜんたい	あるひとまとまりの物事のすべての部分。「組織の―にかかわる問題」「―の構造を把握する」「画用紙の―を使って描く」「―像」	whole, entirety, whatever (is the matter)
前提	ぜんてい		preamble, premise, reason, prerequisite
前途	ぜんと		future prospects, outlook, the journey ahead
全般	ぜんぱん		whole, universal, wholly, general
全部	ぜんぶ		all, entire, whole, altogether
全滅	ぜんめつ		annihilation
善良	ぜんりょう		goodness, excellence, virtue
前例	ぜんれい		precedent
