続行	ぞっこう	引き続いて行うこと。	continue; resume
沿い	ぞい		along
象2	ぞう		elephant
像	ぞう		statue, image, figure, picture, portrait
増加	ぞうか		increase, addition
臓器	ぞうき		organ (entrails)
増強	ぞうきょう		augment, reinforce, increase
雑巾	ぞうきん		dust cloth
増減	ぞうげん		increase and decrease, fluctuation
蔵相	ぞうしょう		Minister of Finance
増殖	ぞうしょく	ふえること。また、ふやすこと。「資本をーする」	increase, multiplication, propagation
増進	ぞうしん		promoting, increase, advance
造船	ぞうせん		shipbuilding
増大	ぞうだい		enlargement
草履	ぞうり		sandals
族	ぞく		〔家族〕a family; 〔種族〕a race; 〔部族〕a tribe; 〔元素などの〕a group
属する	ぞくする		belong to, come under, be affiliated with, be subject to
続々	ぞくぞく		successively, one after another
揃い	ぞろい	衣服の色や柄などが同じであること。一組。揃っていること。	team; gathering
存知	ぞんじ	よく知っていること。理解していること。「今は礼儀を―してこそふるまふべきに」	well-known
存じる	ぞんじる		(humble) to know
存ずる	ぞんずる		(humble) to think, feel, consider, know, etc.
存知	ぞんち	よく知っていること。理解していること。「今は礼儀を―してこそふるまふべきに」	well-known
