図	ず		drawing, picture, illustration
随筆	ずいひつ		essays, miscellaneous writings
随分	ずいぶん		pretty much, very much
図々しい	ずうずうしい		impudent, shameless
図鑑	ずかん		picture book
図形	ずけい		figure
涼む	すずむ		cool oneself, cool off, enjoy evening cool
ずつ		等しい量の繰り返し「少しー元気を回復した」	(one) by (one); (little) by (little)
頭痛	ずつう		headache
ずっと1		ほかのものと比べてかけ離れているさま。段違いに。はるかに。「このほうがー大きい」「それよりー以前の話だ」「駅は学校のー先にある」	long (distance; time)
ずっと2		ある範囲内に、残す所なく動作を及ぼすさま。くまなく。隅から隅まで。「広い校内をー探しまわる」「町じゅうをー見まわる」	all the (time; way); the whole (night; way)
ずっと3		ためらわずに、また、とどこおらずに動作をするさま。ずいと。「さあ、ーお通りください」	straight (to a location); (go) right (in)
頭脳	ずのう		head, brains, intellect
図表	ずひょう		chart, diagram, graph
滑れる	ずれる		slide, slip off
